Williams Trend Test
Data Source: P2_Perfluoro_3_methoxypropanoic_acid_Male_Thymus_NoOutlier-expression1
Work Source: null
BMDExpress3 Version: BMDExpress 3.20.119 BETA
Timestamp (Start Time): 12/14/2025 07:33.10
Number of Permutations: 10000
Unadjusted P-Value Cutoff: 0.05
Multiple Testing Correction: false
Filter Out Control Genes: true
NOTEL/LOTEL Test: T-Test
NOTEL/LOTEL p-Value Threshold: 0.05
NOTEL/LOTEL Fold Change Threshold: 2.0
Total Run Time: 16 seconds

Chip: BioSpyder S1500_Rat
Provider: BioSpyder

=== Experiment Description ===
Experiment Type: in vivo
Test Article: Perfluoro-3-methoxypropanoic acid | CAS: 377-73-1 | DSSTOX: DTXSID70191136
Subject Type: in vivo
Species: rat
Strain: Sprague-Dawley
Sex: male
Organ: thymus
Article Route: oral
Article Vehicle: feed
Administration Means: dietary
Study Duration: 28d
Platform: BioSpyder S1500+ Rat
Provider: BioSpyder
Article Type: chemical
Chip File Creation Date: 10/31/24
Log Transformation: NONE
BMDExpress3 Version: BMDExpress 3.20.119 BETA
Timestamp: 12/14/2025 07:06.33

Probe ID	Gene ID	Gene Symbol	Unadjusted P-Value	Adjusted P-Value	Max Fold Change	Max Fold Change Unsigned	FC Dose Level 1	FC Dose Level 2	FC Dose Level 3	FC Dose Level 4	FC Dose Level 5	FC Dose Level 6	FC Dose Level 7	FC Dose Level 8	FC Dose Level 9	NOTEL/LOTEL T-Test p-Value Level 1	NOTEL/LOTEL T-Test p-Value Level 2	NOTEL/LOTEL T-Test p-Value Level 3	NOTEL/LOTEL T-Test p-Value Level 4	NOTEL/LOTEL T-Test p-Value Level 5	NOTEL/LOTEL T-Test p-Value Level 6	NOTEL/LOTEL T-Test p-Value Level 7	NOTEL/LOTEL T-Test p-Value Level 8	NOTEL/LOTEL T-Test p-Value Level 9	NOTEL	LOTEL
ANXA5_32426	25673	anxa5	0.002607823470411234	0.09523689877961233	-1.0893537	1.0893537	1.0145284	-1.0265841	-1.0272272	-1.019942	-1.02505	-1.0235697	1.0031404	-1.0496054	-1.0893537	0.41296807	0.31520483	0.4042559	0.3851597	0.25536835	0.4096459	0.9183611	0.030578315	0.028836148			
APEX1_8058	79116	apex1	0.01784640064166834	0.18842070557204088	1.040615	1.040615	-1.0001247	-1.0295032	1.0211363	1.009002	1.0146924	1.0045657	1.0001966	-1.0014497	1.040615	0.99656045	0.049457345	0.23274775	0.58015925	0.29866374	0.810207	0.9925808	0.89944243	0.045899674			
APOD_33207	25239	apod	0.03306435740995867	0.26886196603077944	1.319449	1.319449	1.1504785	1.2546184	1.1014699	1.1916775	1.1952322	1.06599	1.319449	1.2205284	1.306361	0.30817595	0.10705973	0.52647793	0.23649512	0.15053211	0.5456879	0.13719214	0.065745406	0.012094256			
ARHGAP30_32923	498282	arhgap30	0.03162134944612286	0.2634252008960684	-1.0390164	1.0390164	-1.010179	-1.0035169	-1.0028049	-1.0163292	-1.0281576	-1.0032341	1.0041637	-1.0215636	-1.0390164	0.3429707	0.83525485	0.65670186	0.29446837	0.19471602	0.7381764	0.86784935	0.03190966	0.03564635			
ARHGDIB_32723	362456	arhgdib	0.0039541320680110716	0.10915897847305792	-1.0599396	1.0599396	-1.0403872	1.0074226	-1.0084419	-1.0188336	-1.0225278	-1.0052719	1.0077184	-1.009297	-1.0599396	0.053986315	0.5889881	0.67180276	0.38210633	0.35743877	0.7395414	0.6251178	0.4728707	0.0058625033			
ASPM_8092	289054	aspm	0.011762360446570972	0.1607793816449266	1.138519	1.138519	1.0500333	1.138519	1.0676112	1.0884506	1.0654006	1.075198	1.0709487	1.0299214	1.1240767	0.0341391	0.10404587	0.025651423	0.16270784	0.040842477	0.041288104	0.060496926	0.18080987	2.6038874E-4			
ATP2C1_8107	170699	atp2c1	7.905138339920949E-4	0.06560064282844516	1.0815746	1.0815746	1.0480616	1.0326208	1.0170658	1.0410444	1.0142684	1.0286733	1.0265213	-1.0058433	1.0815746	0.043953486	0.1632017	0.4761743	0.025828455	0.36595675	0.18036233	0.22955495	0.8206653	0.0034385263			
ATP5L_33116	300677	atp5mg	0.0015723270440251573	0.08175445623873423	-1.1199859	1.1199859	-1.0306233	-1.0094466	-1.0292656	-1.0364951	1.007643	-1.019465	-1.0101092	-1.0034716	-1.1199859	0.28160715	0.689415	0.4153878	0.049428623	0.6213486	0.47869146	0.66766423	0.889649	0.018783504			
ATP6AP1_33058	83615	atp6ap1	0.021162974683544302	0.21118402878442238	1.0604032	1.0604032	1.0168045	1.0372344	1.0356452	1.0211204	-1.0013765	1.0206019	1.0252101	-1.0176804	1.0604032	0.39746398	0.24617003	0.054447412	0.447948	0.9528861	0.3936425	0.24723314	0.31709924	0.0015118852			
ATP6V1F_8114	116664	atp6v1f	0.010943095901313172	0.15403350851434608	-1.0197625	1.0197625	-1.0091709	-1.0143051	-1.0075737	-1.0029231	-1.0031332	1.0001068	1.0005805	-1.0097066	-1.0197625	0.120656304	0.08269266	0.24172543	0.638733	0.58593744	0.9872182	0.89450955	0.084469445	0.051391605			
