Williams Trend Test
Data Source: P2_Perfluoro_3_methoxypropanoic_acid_Male_Adrenal_NoOutlier-expression1
Work Source: null
BMDExpress3 Version: BMDExpress 3.20.119 BETA
Timestamp (Start Time): 12/14/2025 07:34.54
Number of Permutations: 10000
Unadjusted P-Value Cutoff: 0.05
Multiple Testing Correction: false
Filter Out Control Genes: true
NOTEL/LOTEL Test: T-Test
NOTEL/LOTEL p-Value Threshold: 0.05
NOTEL/LOTEL Fold Change Threshold: 2.0
Total Run Time: 14 seconds

Chip: BioSpyder S1500_Rat
Provider: BioSpyder

=== Experiment Description ===
Experiment Type: in vivo
Test Article: Perfluoro-3-methoxypropanoic acid | CAS: 377-73-1 | DSSTOX: DTXSID70191136
Subject Type: in vivo
Species: rat
Strain: Sprague-Dawley
Sex: male
Organ: adrenal
Article Route: oral
Article Vehicle: feed
Administration Means: dietary
Study Duration: 28d
Platform: BioSpyder S1500+ Rat
Provider: BioSpyder
Article Type: chemical
Chip File Creation Date: 10/31/24
Log Transformation: NONE
BMDExpress3 Version: BMDExpress 3.20.119 BETA
Timestamp: 12/14/2025 07:06.33

Probe ID	Gene ID	Gene Symbol	Unadjusted P-Value	Adjusted P-Value	Max Fold Change	Max Fold Change Unsigned	FC Dose Level 1	FC Dose Level 2	FC Dose Level 3	FC Dose Level 4	FC Dose Level 5	FC Dose Level 6	FC Dose Level 7	FC Dose Level 8	FC Dose Level 9	NOTEL/LOTEL T-Test p-Value Level 1	NOTEL/LOTEL T-Test p-Value Level 2	NOTEL/LOTEL T-Test p-Value Level 3	NOTEL/LOTEL T-Test p-Value Level 4	NOTEL/LOTEL T-Test p-Value Level 5	NOTEL/LOTEL T-Test p-Value Level 6	NOTEL/LOTEL T-Test p-Value Level 7	NOTEL/LOTEL T-Test p-Value Level 8	NOTEL/LOTEL T-Test p-Value Level 9	NOTEL	LOTEL
ASAH1_8089	84431	asah1	0.012050653594771242	0.25655074612434325	-1.0353711	1.0353711	-1.0128992	-1.0282652	-1.0092309	1.0042782	1.0039668	-1.0116493	-1.0269144	-1.0353711	-1.0338031	0.23422106	0.08929804	0.27436453	0.6725317	0.7827333	0.17404822	0.05807076	7.178496E-4	0.056928128			
ATP1A1_32617	24211	atp1a1	0.020232371794871796	0.3170269281243691	-1.090007	1.090007	-1.0559403	-1.0662916	-1.0464623	1.0037297	-1.0090195	-1.0169138	-1.0356398	-1.0582173	-1.090007	0.13923877	0.026897993	0.06557605	0.92067623	0.8195987	0.58923984	0.41308743	0.042926814	0.020502636			
ATP1B1_8103	25650	atp1b1	0.0249500998003992	0.32664933291312115	-1.0732061	1.0732061	-1.043867	-1.0217816	-1.0346935	1.0152255	1.02213	-1.0132177	-1.0517622	-1.0732061	-1.0409191	0.07640255	0.4621757	0.18354858	0.54549974	0.4362105	0.5031787	0.020101033	0.0046662036	0.13493833			
ATP5L_33116	300677	atp5mg	0.02735868034600684	0.3373074667125173	-1.0617348	1.0617348	1.0129379	1.0091219	1.018774	1.0296983	1.0584093	1.0068773	-1.0037259	-1.0617348	-1.0213745	0.57455313	0.78510875	0.42051578	0.23880398	0.042491943	0.72714925	0.8887794	0.023633676	0.46890098			
ATP6V1F_8114	116664	atp6v1f	2.003606491685033E-4	0.045627550786444725	1.0395713	1.0395713	1.0036888	1.0081203	1.0023932	1.0113032	1.0128988	1.0121865	1.0090328	1.0089157	1.0395713	0.47006333	0.27315345	0.6776232	0.08364367	0.05581199	0.04316392	0.12083499	0.2604875	0.0024585149			
B4GALT1_8124	24390	b4galt1	0.0043358297201418995	0.1835808753847315	-1.1052067	1.1052067	-1.0353117	-1.0461826	-1.0287188	-1.0231484	-1.0106384	-1.06473	-1.0527318	-1.0751505	-1.1052067	0.36040798	0.2057655	0.31939492	0.49050274	0.72671676	0.114695765	0.26326787	0.06721334	0.020957734			
BAI3_32984	301309	adgrb3	0.003822937625754527	0.17290104261935246	1.7294506	1.7294506	1.0637543	1.4255259	-1.0216051	1.163625	-1.1142346	1.0556464	1.1247011	1.2766898	1.7294506	0.7976997	0.04028194	0.9222316	0.60281837	0.7493253	0.81823534	0.5304881	0.14727752	0.0032392927			
BCL2_8135	24224	bcl2	0.006602641056422569	0.20164751323255922	-2.0159996	2.0159996	1.0764351	1.0630534	1.2502441	1.3592947	1.2942977	-1.0842605	-1.0875801	1.0038062	-2.0159996	0.73568183	0.7709574	0.19475678	0.1108692	0.2722986	0.68717414	0.6900335	0.98887867	0.11478967			
BEX1_32763	501625;100912195	bex1;loc100912195	0.00263477908390758	0.1377482657859216	1.1649861	1.1649861	1.0331081	1.0194197	1.0150309	1.0194743	1.0178385	-1.0155565	-1.0013597	1.0273554	1.1649861	0.5293733	0.6944405	0.7195275	0.7237655	0.74821883	0.73263377	0.98057795	0.69866234	0.005297185			
BEX4_32358	501624	bex4	0.04712666534102207	0.4154568356761251	1.1537476	1.1537476	1.0626261	1.0393363	1.0463637	1.1040771	1.0748804	-1.0132084	-1.0309249	1.004753	1.1537476	0.29990977	0.46908247	0.4601629	0.24134356	0.30535015	0.8463549	0.5378314	0.963253	0.015922531			
BNIP3L_8155	140923	bnip3l	0.04218561671353958	0.40095281135841526	-1.0220928	1.0220928	-1.0100192	-1.0119524	-1.0058255	1.010675	1.0210661	-1.0013566	-1.0220928	-1.0191668	-1.0207036	0.38016957	0.27613556	0.66016906	0.23612686	0.08645039	0.86783516	0.1308852	0.046314027	0.03548628			
C1R_8171	312705	c1r	0.022433306386418755	0.322858850653232	-1.4696181	1.4696181	-1.0618858	-1.1223141	1.0695229	1.0372953	-1.1201414	-1.0475264	-1.174947	-1.3730528	-1.4696181	0.63152975	0.4249806	0.41562307	0.74608654	0.44306853	0.59289163	0.24163212	0.028839726	0.061018452			
C1S_8172	192262	c1s	0.023435948361469713	0.32464551949919257	1.1410325	1.1410325	1.0180655	1.0999424	1.1341273	1.1076627	1.1410325	1.0472882	1.0149761	1.0378345	-1.0259622	0.67889214	0.040247496	0.0014319678	0.15475568	0.0011469566	0.2334424	0.663533	0.3714497	0.37516043			
C7_8179	117517	c7	0.006144697720515362	0.20164751323255922	1.1343238	1.1343238	1.0150893	1.0674744	1.075532	1.1343238	1.124466	1.0429952	1.00826	-1.0102509	-1.0397625	0.4287776	0.058048446	0.058640823	0.0065625524	0.0024638122	0.1474414	0.7625867	0.8296285	0.17592825			
CALR_8190	64202	calr	0.0036429872495446266	0.1685940610835769	-1.0326195	1.0326195	1.0062022	1.002132	-1.005756	-1.0012742	-1.0326195	1.0143278	1.0200914	1.0245198	1.0243464	0.55546236	0.83279485	0.59535563	0.90276337	0.019984324	0.11401177	0.051229086	0.020660833	0.12303426			
CASQ1_32992	686019	casq1	0.004910988336402701	0.20164751323255922	-2.3038611	2.3038611	-1.100734	1.1356521	1.100758	1.2077031	1.0370593	-1.5378973	-1.1465523	-1.2578217	-2.3038611	0.6543996	0.35720474	0.516614	0.14887778	0.693315	0.19108528	0.5601797	0.172392	0.007973761	100.0	300.0	
CBLB_8207	171136	cblb	2.0420665713702266E-4	0.045627550786444725	-1.4943367	1.4943367	-1.1475458	-1.0083743	-1.0233415	-1.0359617	-1.1551319	-1.0730879	-1.2900355	-1.1587518	-1.4943367	0.072443165	0.88462347	0.6887143	0.6824457	0.024101773	0.23515439	0.022081787	0.05365745	0.0016580678			
CCDC80_8213	64387	ccdc80	0.03286477925163334	0.3682239393670249	1.8270663	1.8270663	1.1693456	1.3026673	1.7434629	1.6685057	1.8270663	1.3450375	1.0393144	1.2472261	1.2188249	0.32190102	0.23859529	9.536088E-4	0.010217318	0.0022573457	0.1153522	0.87026685	0.19521667	0.22220188			
CCL11_33230	29397	ccl11	0.017947166767493448	0.3019515779531533	1.2568953	1.2568953	1.0525894	1.1268265	-1.0104465	1.0385321	1.1815798	1.0449401	1.0020452	1.0403835	1.2568953	0.5919874	0.26990023	0.92738813	0.7850671	0.06143883	0.645776	0.98064566	0.7272261	0.017446475			
CCNA2_8221	114494	ccna2	0.013668341708542713	0.2739112565526226	-1.2977808	1.2977808	-1.0714585	-1.0247618	1.0607806	-1.0107157	-1.2209238	-1.0223873	-1.1319144	-1.1968069	-1.2977808	0.35056844	0.75093734	0.40804455	0.8735206	0.043274935	0.8030789	0.26146343	0.07566308	0.07250744			
CCNB2_8223	100364016;363088	ccnb2-ps2;ccnb2	0.04926206621459912	0.42260889383067324	-1.1737411	1.1737411	-1.0549583	1.0222937	-1.0258573	-1.0389848	-1.0774488	-1.0066451	-1.1737411	-1.0454674	-1.1215075	0.25913766	0.7144826	0.6131816	0.37389642	0.13072252	0.9201558	0.00691621	0.41337952	0.030909684			
CCND3_8225	25193	ccnd3	0.024285714285714285	0.32664933291312115	-1.1469488	1.1469488	-1.061138	-1.0824912	-1.0226653	-1.0367813	-1.0473518	1.013354	-1.1158265	-1.0341468	-1.1469488	0.2785442	0.066200994	0.6192525	0.54792225	0.38606107	0.7903028	0.14755198	0.41144913	0.02888914			
CCT2_8233	299809	cct2	0.007930214115781126	0.22544465843434913	-1.0459764	1.0459764	-1.0447874	-1.0350318	-1.022276	-1.032982	-1.0004282	-1.0122637	-1.0201269	-1.0437485	-1.0459764	0.018847285	0.032038067	0.13713609	0.04510258	0.980746	0.41813573	0.26112804	0.023486832	0.061130192			
CD74_8252	25599	cd74	0.029118468288791385	0.34698055026763386	1.0825384	1.0825384	-1.021159	1.0399567	1.0390022	1.0504898	1.0825384	1.0321822	-1.0019248	1.0317609	1.0707252	0.22371194	0.26270145	0.1481314	0.22945563	0.0036106484	0.121924095	0.95022756	0.42752597	0.03178122			
CDC6_32573	360621	cdc6	0.02544580244439992	0.33096174421147606	-2.3324609	2.3324609	-2.3324609	-1.5593764	-1.5759511	-2.315652	-1.1502723	-1.2886155	-1.262759	1.329293	1.2472023	0.08117445	0.15461893	0.23111041	0.057290394	0.6352036	0.40433565	0.5112643	0.2088717	0.35398328			
CEBPB_8282	24253	cebpb	0.00920846394984326	0.23678481012658228	-1.0740716	1.0740716	-1.0019063	-1.0131042	-1.0547085	-1.0173442	-1.0464723	-1.0460578	-1.045412	-1.0335311	-1.0740716	0.920467	0.666636	0.04904493	0.50875294	0.07425066	0.16922836	0.03367124	0.19908343	0.0069399504			
CENPF_8287	257649	cenpf	0.04259554140127388	0.40095281135841526	-1.2112966	1.2112966	-1.1856451	-1.0314195	-1.058464	-1.1894244	-1.137748	-1.0876015	-1.0861899	-1.002891	-1.2112966	0.014630862	0.6883488	0.30834645	0.06524128	0.0847696	0.40790692	0.22238688	0.96988	0.053385444			
CHKB_8309	29367	chkb	0.005825632784250703	0.20164751323255922	-1.0824283	1.0824283	-1.0147083	-1.0098076	1.0236769	-1.0010788	1.0305641	1.0310556	-1.039293	-1.03098	-1.0824283	0.62442845	0.75609624	0.30948016	0.974414	0.3007388	0.35304177	0.25165707	0.20526291	0.026013622			
CIAPIN1_8319	307649	ciapin1	0.04264937106918239	0.40095281135841526	-1.3417038	1.3417038	-1.3417038	1.0397362	1.1253924	1.0420581	1.1273587	1.0258862	1.1319381	1.0178496	1.2184196	0.21118526	0.7421878	0.2882157	0.85966855	0.25814778	0.8504797	0.26155055	0.8993091	0.13547216			
CISD1_8322	294362	cisd1	0.0017660910518053376	0.11429191341637737	1.0351676	1.0351676	1.0173674	1.0235163	1.01837	1.015776	1.0328677	1.0281407	1.0207932	1.0135127	1.0351676	0.07596919	0.053076696	0.06837473	0.10330264	0.050641164	0.011674811	0.08823895	0.325005	0.0137541415			
