Subject Type: In Vivo
Species: Rat
Strain: Sprague-Dawley
Sex: Female
Organ: Uterus
Test Article: Perfluoro-3-methoxypropanoic acid
CASRN: 377-73-1
DSSTOX: DTXSID70191136
Study Duration: 28d
Article Type: Chemical
Article Route: Oral
Article Vehicle: Feed
Administration Means: Dietary
Platform: BioSpyder S1500+ Rat
Provider: BioSpyder

	A52	A53	A54	A55	A56	A57	A58	A59	A60	A61	A62	A63	A64	A65	A66	A67	A68	A69	A70	A71	A72	A73	A74	A75	A76	A77	A78	A79	A80	A81	A82	A83	A84	A85	A86	A87	A88	A89	A90	A91	A92	A93	A94	A95	A96	A97	A98	A99	A100	A101	A102
ABCC5_7942	4.165824	3.5853152	4.982081	5.230378	4.0826373	4.2602386	5.197113	3.8004537	5.4963627	4.5634103	4.2696276	5.0091634	4.213671	4.859393	4.786146	4.9299545	5.2584867	4.769731	5.659961	3.7103271	5.1934924	4.084898	4.3077855	4.651983	5.138626	3.8575566	4.8291135	4.739975	4.95785	5.095366	4.611311	4.60189	4.019107	5.329013	4.004831	4.9704056	5.6234937	3.6448398	4.9361863	5.351537	4.4557586	4.9800353	4.846948	5.6013827	5.415108	4.3774157	4.6516194	3.7594655	5.894724	4.224861	4.8525934
ABCF1_7945	6.7775087	6.679079	7.8829265	7.4476423	6.318867	7.4333625	7.467306	7.0543985	7.5481234	7.4619656	7.497444	7.597562	8.27045	7.4859147	6.208593	7.687766	7.517698	7.681318	7.60339	6.631773	7.6033645	6.7805314	6.844285	6.9741807	6.766179	6.357102	7.5775757	7.2511806	7.5299277	7.3679576	7.6363173	6.8479824	7.055841	7.740005	6.9662714	7.61905	7.596453	6.6487064	7.2587256	7.799069	7.4451346	7.5725374	7.110557	7.4466486	7.671214	7.190656	6.427049	6.032202	7.8619843	6.6956053	6.6185923
ABCF3_7946	6.8596673	6.429128	7.852683	7.3049164	5.9671364	6.8350196	7.2218456	6.8831973	7.538227	6.907664	7.378396	7.243734	8.02681	7.256576	6.140507	7.236723	7.374994	7.4396796	7.535363	6.3953214	7.4742446	6.7349095	6.8710194	6.6988792	6.524468	6.813608	6.9590135	7.145429	7.273657	7.4080744	7.4554524	6.993163	6.9813695	7.4126687	6.319784	8.059862	7.4125967	6.412679	7.2587256	7.318804	7.193171	7.9002047	6.5542026	7.60318	7.4615116	6.702071	6.3978515	6.301085	7.832669	6.7519693	6.937581
ABCG2_32656	4.536607	4.1463423	5.1154284	5.158399	3.7911015	5.6808043	3.265075	3.9285133	4.624671	4.9173474	5.0704	5.5553794	5.0523567	5.482987	3.8715098	5.1898437	4.6130633	5.498152	4.7048283	4.1244593	4.650266	3.6330826	4.3840127	4.143143	2.7681208	4.950717	4.615155	5.228428	4.6854525	5.2796407	5.467218	4.3893657	3.1555746	5.053001	3.9496768	3.7403793	4.3819065	3.6448398	4.3336325	4.5989504	3.903299	4.8954268	3.4860137	4.9661875	4.7407436	4.246837	4.1889715	4.3549547	5.0771503	4.2696757	3.9357936
ABCG5_7947	3.7304602	4.471892	4.0801973	2.0161564	3.7441928	2.1676314	4.0339875	2.769758	2.0699131	4.0302987	2.8799067	2.6916866	2.5061731	1.697005	4.000025	2.2048354	3.9539585	3.226751	3.5543718	0.5690789	4.4374175	3.6330826	2.8967357	3.350024	3.3278599	4.612992	3.432267	2.9222238	2.50561	2.8883953	2.7506819	4.60189	4.3556533	2.1698365	4.10919	4.288903	4.335381	3.5732307	4.374595	1.2188725	2.061203	4.0513477	4.5654016	4.4642143	3.8560963	3.40495	3.2659776	1.8460255	5.0771503	2.5159233	4.620636
ABCG8_7948	0.0	0.0	0.0	0.0	0.0	1.6302708	0.0	0.0	0.713452	1.6741749	0.0	0.0	0.0	0.6420712	0.0	1.4880571	0.0	0.0	1.1337266	0.5690789	0.0	1.0980828	0.62038267	0.0	1.5545398	0.0	1.2053773	1.7624664	0.0	0.0	1.6246924	0.6363238	0.0	1.6321912	0.0	1.0868406	0.7326021	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8991973	2.6914537	2.1826055	1.2811667
ABHD1_7949	1.7388889	1.7845443	2.5599322	3.4254794	1.8707418	2.558266	2.8384602	2.0817819	3.9739442	2.6119258	3.162094	3.373115	2.7763965	2.723707	2.3479445	2.9295514	0.7573259	3.400003	2.6722252	2.659773	2.3272717	2.144732	0.0	1.7221004	1.5545398	2.1765227	2.6378195	0.6764427	2.324949	3.959362	2.04462	2.4422553	2.217601	3.6891942	1.1403162	1.699626	3.0492766	1.1449754	1.7323898	2.9332397	2.6034417	1.1364802	2.6093478	3.4939494	3.349314	1.9991368	2.3284006	2.290609	2.6914537	3.0142577	1.9488657
ABHD4_7950	3.9645026	3.7252483	5.7452536	5.158399	2.8480263	4.8551335	5.4413733	4.350482	5.043788	5.577404	4.9641614	4.301759	4.6091375	4.914064	4.554614	4.1081886	5.562357	3.821671	5.8210096	3.8619683	5.604326	3.6330826	3.5540555	2.6259995	5.138626	5.312044	3.9416447	4.604639	4.894419	4.567225	3.8097773	5.745897	4.220906	5.224856	3.1420712	6.023982	5.805178	3.4978807	5.3393946	4.190569	4.4134173	5.2076273	3.3320944	5.753626	4.081695	4.0520296	2.4846854	4.8200965	6.1849794	4.585457	4.887871
ABHD6_7951	3.52607	3.6800954	3.6587713	3.5050218	2.8480263	4.0931478	4.4940295	3.5041819	4.380688	4.471397	4.2696276	2.6916866	4.119679	3.7962928	5.2410336	3.6360283	4.13492	3.226751	4.9474883	2.7661526	3.9403527	4.178755	4.003955	4.2340813	4.637761	5.717974	3.1433697	3.3180149	3.3726442	5.0453696	3.1398158	4.3506894	3.8467653	3.1209147	4.057954	5.045984	4.633362	4.16671	5.1635656	4.137142	4.2304115	3.9431038	4.7889585	4.9154286	4.4074616	4.152719	4.2771287	4.1239586	4.561846	3.8051891	4.488985
ABL1_7952	6.0669994	5.568544	8.346128	6.961495	5.758733	6.961704	7.064962	6.1198936	7.3360195	6.9593883	6.993509	6.853925	8.090136	6.911703	6.0394435	7.605468	7.326177	7.0290594	7.9829154	6.666527	7.4317036	6.1757994	5.4936857	5.992139	7.121028	6.513534	6.8407135	6.550287	6.73619	7.362864	6.7381063	6.8822846	6.334814	6.8020806	5.1668963	7.714792	7.3554554	5.9299207	7.2965198	7.147008	6.6801405	7.7636666	5.8644066	7.255822	6.7742777	6.0519776	5.58858	5.9026017	8.219945	6.3122287	6.937581
ACAA1A_7954	3.52607	4.3034697	5.3282046	5.108337	4.532528	5.3756332	4.570735	3.9885182	4.2892413	4.8820453	4.635397	4.7411013	5.1506896	5.3305497	4.000025	4.4234376	4.52928	4.4919295	5.836168	4.9756894	5.3438153	4.2234883	3.9039402	3.887036	5.1119328	4.577977	4.6530914	4.8031616	5.313535	4.7024155	5.3796697	5.1890044	5.2056823	4.504512	4.424451	5.4866905	5.459634	3.957644	5.6541786	5.0955524	4.1293964	5.2761564	4.3007355	5.0152216	5.215437	4.642751	4.4764915	4.2275157	5.9684577	5.012014	5.255093
ACAA2_7955	9.672957	9.235778	9.531001	10.153854	9.848187	10.214163	9.84772	9.838222	10.13816	10.532973	10.215438	10.083925	9.311273	9.943683	10.527281	9.987079	10.241389	9.921466	10.260797	9.542465	10.259843	9.777466	9.809266	9.4151125	10.277213	10.762594	9.122429	9.362854	10.032138	9.767233	10.162427	10.210142	9.455387	10.17743	9.365772	10.2427435	10.487924	10.040456	10.528009	9.360894	9.465058	10.318249	9.83385	11.201988	10.256062	9.413747	9.807821	9.712148	10.768982	9.715113	10.710143
ACACA_32532	6.8669095	6.8721156	8.285156	8.150708	6.7213283	8.549727	7.30839	7.3284497	7.7883244	7.5090075	7.6191306	7.68766	8.599083	8.074206	5.9307632	8.047375	7.5918484	8.280657	7.681002	7.0236416	7.5469074	6.6224895	6.5372243	6.650173	5.962341	6.494883	7.784006	7.6624293	8.145018	7.6861	7.983766	6.4690623	7.421131	8.0831	6.424631	7.912841	7.401348	6.5402164	7.312419	7.853914	7.0485015	7.739599	7.213339	7.815312	8.150268	7.315364	6.337622	6.3246317	7.709058	7.361219	6.2898183
ACADL_32776	3.2878675	3.6800954	5.165498	4.732182	3.6455355	3.9699311	5.267934	3.7318923	4.507831	4.373113	4.3839254	4.3577237	4.6091375	5.1141205	4.9542217	3.0392153	4.3455334	4.147563	5.5539303	3.8619683	5.1934924	4.4661674	3.796472	3.887036	5.138626	4.3888936	4.8291135	4.604639	4.1465197	4.7960944	3.913168	4.78709	4.628351	4.412673	3.7051964	5.41248	5.145879	4.012819	4.73067	3.4538279	4.6866164	4.6420546	4.6973553	5.466848	4.7072935	3.886452	4.3602076	4.9669833	6.0724406	4.9853926	5.308141
ACADM_7957	9.752334	9.082632	8.719432	9.302238	9.977396	9.234743	8.737272	9.737997	9.581405	8.828496	8.980457	9.475062	8.730099	9.196709	9.926726	9.031435	8.841423	8.973537	8.879389	7.2189193	8.766788	9.670461	10.312513	9.727354	10.089872	9.819307	9.711031	9.82728	9.685009	9.72617	8.757757	10.506348	9.185244	9.889847	9.630855	9.072299	9.44098	9.963774	9.389181	9.658586	9.653069	8.839849	9.919954	9.858314	9.295729	10.0976715	9.639253	7.9337225	9.047193	9.26616	10.028519
ACADSB_7959	5.6465483	4.822912	6.107334	6.199125	5.151521	6.1181083	6.283682	5.571661	6.0074773	6.5397396	5.9594193	6.33217	5.866503	5.8624	6.009218	5.976717	5.848224	5.9099717	6.229653	5.162592	6.2733765	5.5606647	6.0209613	5.6887846	5.94732	7.2178736	4.5361514	5.538003	6.490233	5.8738174	5.9889784	6.2761645	5.2753425	6.2591605	5.3484335	6.6181393	6.2180314	5.7304015	6.352556	5.8436074	5.1404552	6.477116	5.6035156	6.7181506	6.7580338	5.998867	4.6516194	5.4534807	6.4133644	4.654672	6.0922637
ACADVL_7960	7.7396994	7.8884497	8.68766	8.453565	7.4071198	8.640914	8.278328	7.9841175	8.449763	8.231158	8.262679	8.587995	8.516199	8.715292	7.8026896	8.418551	8.261282	8.505946	8.556855	7.949186	8.417866	7.8543787	7.365196	7.773771	7.670877	8.221553	8.005464	8.304914	8.377354	8.216028	8.508175	7.773896	8.27675	8.268078	7.6109757	8.693838	8.297441	7.654569	8.189468	8.195163	7.772752	8.878936	7.655993	8.535778	8.504424	7.9852643	7.699541	7.757503	8.758528	7.9992127	7.8844347
ACAT2_7961	7.1541667	6.4085135	6.241768	6.5850444	6.7689743	7.04801	5.3132873	6.733429	5.5951304	5.9625096	5.803843	6.2158566	6.9864664	6.139765	4.889322	6.108367	6.2129116	6.3189983	5.836168	6.1224203	5.3840365	6.527571	7.4868584	7.0821605	4.4373345	5.1062627	6.790537	7.0509667	6.745207	6.2718616	6.558397	4.8714757	7.188151	6.9564085	6.895069	5.67304	5.5642056	7.1325126	5.8264637	6.6897025	7.2782116	5.984564	6.8233685	5.5852365	6.708175	6.9807105	6.93368	5.1712723	6.200363	6.916008	4.779341
ACBD3_7962	4.7396092	4.390137	5.35002	4.479963	4.0051756	2.9974196	2.7086964	4.481542	4.6616054	3.964317	4.9641614	5.1425886	5.2427454	4.6498694	4.000025	4.9299545	4.730266	4.890848	4.1950793	4.2761908	4.6169014	3.931565	4.3840127	4.3196254	3.7301183	4.171236	5.044237	4.494095	4.033292	4.669787	5.1660347	3.2196255	4.795737	4.892281	4.3411813	4.246814	3.4494956	4.4325724	4.2032666	5.203455	4.2304115	4.774296	4.258627	3.74714	5.2622576	4.8368325	3.8295176	3.0622492	4.5133996	4.224861	4.1250787
