Subject Type: In Vivo
Species: Rat
Strain: Sprague-Dawley
Sex: Female
Organ: Spleen
Test Article: Perfluoro-3-methoxypropanoic acid
CASRN: 377-73-1
DSSTOX: DTXSID70191136
Study Duration: 28d
Article Type: Chemical
Article Route: Oral
Article Vehicle: Feed
Administration Means: Dietary
Platform: BioSpyder S1500+ Rat
Provider: BioSpyder

	A52	A53	A54	A55	A56	A57	A58	A59	A60	A61	A62	A63	A64	A65	A66	A67	A68	A69	A70	A71	A72	A73	A74	A75	A76	A77	A78	A79	A80	A81	A82	A83	A84	A85	A86	A87	A88	A89	A90	A91	A92	A93	A94	A95	A96	A97	A98	A99	A100	A101	A102
ABCC5_7942	4.4824686	2.9649875	4.4608426	4.1252584	4.598719	4.0293164	4.450316	5.490636	4.4013605	4.701108	4.396294	3.811492	5.0393243	4.8378067	4.7937274	4.158402	4.2691016	4.0672865	4.1759663	5.3157783	3.6274617	4.351885	4.928464	4.7232246	4.6217628	4.3542914	3.6705136	3.7900825	4.6042633	4.848656	3.624456	4.475143	2.9744682	4.871987	5.074606	3.7204854	4.7359815	4.4286256	4.7894897	4.7594447	4.476251	4.5910425	4.588737	6.2370214	4.765319	4.926626	4.635504	4.367464	3.5508068	3.5534492	4.471372
ABCF1_7945	6.362994	5.873019	6.2764664	6.0839195	6.31445	6.61589	6.41909	7.2453346	5.566549	6.6589	6.0264792	6.0487814	6.236427	6.307289	6.5317245	6.643021	5.5169053	6.2257657	6.3662677	6.1542954	6.3183417	6.6042047	6.1778927	6.5055137	6.6701536	6.8792443	6.287312	6.314778	6.526267	5.728942	6.636773	5.979311	6.00588	5.96795	7.3094563	6.352353	6.1471033	6.27821	6.189224	6.681494	6.970377	5.857567	6.254343	7.907315	6.970746	6.451367	6.212519	6.400464	6.5372834	6.284943	6.091274
ABCF3_7946	5.7431912	5.042036	6.0931563	5.4654694	5.8038006	6.0131207	5.5444117	6.962011	5.9400764	6.114828	5.732017	6.3081794	6.2673793	6.110057	5.946541	6.080963	5.627736	5.5937037	5.849492	6.356925	6.393363	6.038526	5.9676623	6.254254	6.148766	6.2486067	5.771809	6.2248116	6.337433	5.9955735	6.611271	5.7133746	5.569652	5.8936377	7.1819777	6.4180527	5.825763	6.2334795	5.9406114	6.4034934	5.592157	5.9858117	5.383511	7.050545	6.6039233	6.316935	6.04888	5.623075	6.4131637	6.0056453	5.928777
ABCG2_32656	3.2036898	3.3822134	4.221729	3.560242	4.656408	2.7392445	3.2414339	4.7071476	3.629821	3.755531	4.396294	2.0033424	3.3209164	4.528436	2.354268	4.3777084	3.342051	4.496441	2.6855197	4.8624353	3.6274617	4.513938	4.0154467	4.819114	3.5730798	4.2874246	4.0809574	4.2815495	3.4455554	4.2436676	4.2710676	3.7283952	2.8273072	3.292653	3.0952108	4.268497	3.9213305	3.3892624	3.5437636	2.677392	4.424294	3.4608197	3.7333758	4.1930833	4.5401845	3.2706704	4.4899354	4.309099	4.332099	2.9191062	3.8991902
ABHD4_7950	3.7354877	2.757188	3.471231	3.8953745	4.538627	3.6917722	4.293234	5.8937273	2.6442807	3.8547962	2.0031328	3.7045522	3.6375666	3.589634	2.6186345	4.775291	4.047781	3.5589817	3.568792	3.743354	4.383899	4.61267	4.8855495	3.9562628	3.0474882	3.7051795	3.6705136	4.091	4.1669044	4.022579	4.5647483	4.306701	4.1512156	3.6221294	5.60851	3.341476	3.1634786	3.276195	3.4294353	3.944105	3.1494753	2.49064	3.964074	5.764935	5.0765977	3.1351821	3.600823	3.7307305	2.8329465	2.671375	4.348173
ABHD6_7951	3.4403868	3.3822134	3.3574777	4.2859683	3.891333	3.6269543	3.9689555	4.1231184	3.9073622	5.3377852	3.8112326	3.9110487	3.974144	4.2077594	3.496126	4.476008	2.4777367	4.6473546	4.5066843	4.592916	3.9258518	3.8831878	3.8467202	3.196725	4.0394797	4.0659385	3.4668822	3.1732662	4.1669044	3.5565996	3.815225	3.5385935	3.544806	4.35641	4.6132803	2.9731178	3.6435788	4.3187203	3.6496935	4.660291	3.846459	3.8166785	3.458633	4.3608313	4.619198	3.5085726	2.8800027	2.5632396	3.809025	4.565284	3.6437702
ABL1_7952	3.9032605	4.4900546	2.9498878	3.7375178	4.3060913	4.4220943	4.5228767	5.8937273	4.516183	5.0750217	3.3256865	3.7045522	3.434366	4.2077594	3.8448255	4.3777084	3.9657598	4.739851	3.1311955	4.490592	3.9917138	4.033324	4.1664906	4.18944	3.5730798	4.143607	4.0809574	4.220787	4.426008	3.9406538	5.613162	3.9731734	4.211811	3.5465431	6.141367	4.975205	3.5376894	4.5307474	4.2971025	4.0260434	3.846459	4.5910425	3.7333758	6.58084	5.3088484	4.385236	5.137223	3.8170319	3.4533303	4.3287373	4.011728
ACAA1A_7954	4.253147	3.3822134	4.8870025	4.082119	3.791877	3.8703935	4.450316	4.7071476	3.4098487	4.470149	4.2518835	4.3261604	4.183362	3.974397	3.8448255	4.2164326	3.2057698	3.0818703	4.5066843	4.1976695	3.9258518	3.7155933	4.5972085	3.7768347	4.773229	4.5380926	4.400122	4.9008727	4.87138	4.374231	3.9019144	3.1968548	3.7219155	4.2170954	4.754406	4.0203567	3.5376894	3.8506863	4.835112	4.6080365	3.6791975	3.7356005	4.4934773	5.1530976	4.580232	4.124063	3.162193	3.6389363	4.21802	3.8204393	4.0648675
ACAA2_7955	9.454462	9.017983	9.448973	9.629725	9.715512	9.13419	8.972228	9.795938	9.713462	10.077305	9.509981	9.43699	9.740344	9.674122	9.377873	9.808336	9.470427	9.541527	9.773068	9.848899	10.119899	9.607723	9.62073	9.875747	9.882621	10.030588	9.6717415	10.06688	9.895281	9.259483	9.530193	8.615896	8.788898	9.670513	9.660417	9.804268	9.682558	9.416588	9.591226	9.728476	9.892578	9.603581	9.696491	9.405922	9.774694	9.546078	9.234011	9.823587	9.667759	9.485926	9.731538
ACACA_32532	5.3074894	5.8470025	5.6613736	5.061275	5.69789	5.571467	5.6775136	7.286095	5.1349173	6.3541727	5.1333394	5.430616	5.5224624	6.2030616	5.683374	5.2622128	5.5169053	5.380393	5.3969994	5.458142	5.6637588	5.699788	5.12575	4.9936614	5.7946196	6.3172545	5.1094937	6.1615577	6.0293555	5.370651	6.4765267	4.762489	5.498466	5.073926	7.190284	5.4220734	5.1130486	5.731396	6.0413637	5.8940253	5.592157	4.919422	5.5584435	7.526991	6.7775917	5.74875	5.3490634	5.4716625	5.68744	4.8602285	5.6445236
