Subject Type: In Vivo
Species: Rat
Strain: Sprague-Dawley
Sex: Female
Organ: Lung
Test Article: Perfluoro-3-methoxypropanoic acid
CASRN: 377-73-1
DSSTOX: DTXSID70191136
Study Duration: 28d
Article Type: Chemical
Article Route: Oral
Article Vehicle: Feed
Administration Means: Dietary
Platform: BioSpyder S1500+ Rat
Provider: BioSpyder

	A52	A53	A54	A55	A56	A57	A58	A59	A60	A61	A62	A63	A64	A65	A66	A67	A68	A69	A70	A71	A72	A73	A74	A75	A76	A77	A78	A79	A80	A81	A82	A83	A84	A85	A86	A87	A88	A89	A90	A91	A92	A93	A94	A95	A96	A97	A98	A99	A100	A101	A102
ABCC5_7942	5.299917	5.1983953	6.374219	5.16118	4.3527355	3.98924	4.8785534	5.0506268	5.410771	4.8871737	4.953644	5.275001	4.750736	5.5062504	5.3639607	5.2840137	5.4915533	6.145136	5.023595	4.4929523	5.1194477	5.204693	5.9680996	5.0247917	5.2757955	4.372984	5.098085	4.7747	4.453743	3.679096	6.0047107	5.2171025	5.5750475	4.9028397	5.065261	5.260549	5.8223395	5.383696	5.081088	4.1065955	5.8075	4.820182	3.743769	4.6903453	4.523364	5.527662	5.9571676	5.897917	4.4612255	5.8691525	4.9478703
ABCF1_7945	7.0031514	6.684856	8.223111	7.041086	6.8701525	6.9567027	7.216899	7.253775	7.085289	6.889329	6.481978	6.968085	6.4450865	7.0606866	7.0949836	7.007778	7.2482557	7.849269	6.9727993	6.7125397	7.5249567	7.1550126	7.3195767	7.116479	7.5730257	7.1029267	7.3411026	6.9609056	6.9287624	6.8181224	8.121112	6.965867	7.616405	7.0142198	7.204521	6.6906257	7.5979905	6.8341722	7.003311	7.2216387	7.1966324	7.289886	7.2849813	6.74517	7.022902	7.4340215	7.5811353	8.171311	7.0359983	7.648213	6.6763687
ABCF3_7946	7.0724416	6.8550477	8.14882	6.5986514	6.553171	6.7959776	6.430444	6.875806	7.1726565	7.1775007	6.4432516	6.6088033	6.755348	6.9150023	6.6914186	6.861309	6.8409986	7.3147616	6.5786815	6.7428393	7.239685	7.407353	7.0281134	7.23914	7.1783533	7.0264263	6.79422	6.7847795	6.946991	6.826977	8.054071	7.077476	8.029604	6.8196216	7.198023	6.440753	7.492061	6.895922	6.7239637	6.9901342	6.992817	6.504062	6.540511	6.7956276	7.094312	7.2895665	7.4168267	8.08049	6.911466	7.5267015	7.0809736
ABCG2_32656	2.2270174	3.1063354	3.3371212	2.648481	3.501194	4.0423255	3.720114	2.820627	4.232902	2.8785198	2.8705208	1.9107283	3.2268276	2.398943	3.5378246	3.8879676	2.9257333	4.3555555	3.6158724	3.843529	3.800145	2.498472	3.6832728	3.242737	3.7884514	3.4924479	2.6124887	3.2154872	4.5991473	4.19899	3.3405955	6.102264	1.2108148	2.6299462	3.6928413	1.3180891	2.7602274	0.8731264	3.5789425	4.386459	3.8459663	3.5133817	4.1557193	1.1844418	2.9258196	4.003929	3.7096663	3.493121	4.271587	4.165159	3.5893838
ABHD1_7949	2.7624447	3.7329402	3.8998158	1.0384456	2.550388	2.3692462	4.0379176	2.0116196	3.5874841	2.7136316	3.5907528	2.8952975	3.845923	2.970608	2.8207483	2.3621504	3.1802998	3.0534363	2.80844	4.0514927	3.4668658	3.6959236	3.927467	2.675224	3.7884514	3.4924479	2.9673107	4.3102026	2.994786	3.962336	3.5279317	3.7076976	3.0410252	2.939771	3.6169267	2.8018675	2.7602274	2.5824997	2.8398373	2.2289553	3.3103156	3.0379531	2.847632	3.966862	2.779433	2.5884557	3.7096663	2.7787962	2.9603305	4.041553	2.774635
ABHD4_7950	4.238963	5.078517	6.227245	4.801021	4.9139667	4.970737	4.2981963	4.587715	4.1663437	4.8871737	4.0689483	4.970848	3.66754	3.8755176	4.144009	4.971313	4.272728	5.432578	5.2680197	4.539725	5.5089793	4.4327383	5.3672724	4.034965	5.6271	4.713816	3.5949967	4.693002	4.6445317	4.252549	6.0047107	5.13692	5.74382	4.3936005	4.0220194	4.060068	5.6254425	3.9200716	4.6801877	3.8355803	3.688528	4.1563087	4.225667	5.008204	4.3265324	5.115578	5.3755593	5.9155397	4.814145	5.52135	4.3094335
ABHD6_7951	3.234992	3.5285196	3.3371212	3.3904092	3.5765603	3.4749753	4.10752	2.9394453	4.415924	3.3965607	3.4930193	4.277979	3.845923	3.598464	4.2627234	4.529025	3.4937096	3.805406	3.93192	4.1751513	3.4668658	3.6959236	3.4939969	4.1011577	3.455408	3.9988768	4.174081	4.3102026	4.292024	4.354048	3.7699685	4.6514034	3.681691	1.9875869	4.384477	2.6384788	4.0773573	3.997229	3.5789425	4.0434637	3.7693937	2.8898196	4.356143	4.0797563	2.9258196	3.7964468	3.7859895	3.8995757	3.4821427	3.8336887	3.933852
ABL1_7952	5.1369605	5.7624407	7.9444065	5.4835434	4.660472	5.549479	4.7966337	5.629868	5.4945426	6.081435	5.3662252	5.1683154	4.4532	6.2999372	5.607749	5.4064555	6.172292	7.0223646	4.9554214	5.5772524	6.918429	4.293037	6.278089	6.3405814	6.5480156	6.3197956	5.7281485	5.97244	5.725094	5.730611	7.831948	5.562283	7.62123	5.8602257	5.4838033	5.6732016	7.2671456	5.063222	5.3467393	5.214974	5.534263	5.38802	5.1146693	5.0641603	5.2066503	6.641809	6.796653	7.5480027	5.1807733	7.57208	6.0427
ACAA1A_7954	4.977514	5.1033025	6.0166097	4.956028	4.728142	4.9148984	4.9560704	4.2625895	5.3520923	5.5070863	4.317584	3.9745238	4.6582117	5.4224625	5.715755	4.69199	4.813913	5.7035737	5.427501	4.4929523	5.6394477	4.1383424	5.252407	5.5121727	5.8747945	5.392955	5.024411	4.3639865	5.0337496	5.5498867	5.801712	6.0881186	5.6525044	4.829495	5.505017	4.9126716	5.421862	4.602028	5.7467704	5.214974	6.263383	4.9752607	5.038978	5.4474893	5.1481905	5.361641	5.134133	5.897917	5.3582497	6.250356	4.8210707
ACAA2_7955	10.644704	10.369103	10.446327	10.103728	10.38405	9.517966	10.35153	9.989871	10.677756	10.638665	10.505659	10.434372	10.52017	10.321737	10.319382	10.446317	10.036417	10.047326	10.241161	10.133915	9.938905	11.129321	10.462196	10.3546505	10.209203	10.564105	10.071629	10.51381	10.342526	9.741664	9.850427	11.007153	10.376655	10.26913	10.337917	10.123851	10.154976	10.121168	10.393516	10.175926	10.537366	10.28458	10.42638	10.067832	10.060489	10.072773	10.040245	9.586888	10.562488	10.700551	10.478465
