Williams Trend Test
Data Source: P2_Perfluoro_3_methoxypropanoic_acid_Female_Uterus_NoOutlier-expression1
Work Source: null
BMDExpress3 Version: BMDExpress 3.20.119 BETA
Timestamp (Start Time): 12/14/2025 07:29.41
Number of Permutations: 10000
Unadjusted P-Value Cutoff: 0.05
Multiple Testing Correction: false
Filter Out Control Genes: true
NOTEL/LOTEL Test: T-Test
NOTEL/LOTEL p-Value Threshold: 0.05
NOTEL/LOTEL Fold Change Threshold: 2.0
Total Run Time: 16 seconds

Chip: BioSpyder S1500_Rat
Provider: BioSpyder

=== Experiment Description ===
Experiment Type: in vivo
Test Article: Perfluoro-3-methoxypropanoic acid | CAS: 377-73-1 | DSSTOX: DTXSID70191136
Subject Type: in vivo
Species: rat
Strain: Sprague-Dawley
Sex: female
Organ: uterus
Article Route: oral
Article Vehicle: feed
Administration Means: dietary
Study Duration: 28d
Platform: BioSpyder S1500+ Rat
Provider: BioSpyder
Article Type: chemical
Chip File Creation Date: 10/31/24
Log Transformation: NONE
BMDExpress3 Version: BMDExpress 3.20.119 BETA
Timestamp: 12/14/2025 07:06.33

Probe ID	Gene ID	Gene Symbol	Unadjusted P-Value	Adjusted P-Value	Max Fold Change	Max Fold Change Unsigned	FC Dose Level 1	FC Dose Level 2	FC Dose Level 3	FC Dose Level 4	FC Dose Level 5	FC Dose Level 6	FC Dose Level 7	FC Dose Level 8	FC Dose Level 9	NOTEL/LOTEL T-Test p-Value Level 1	NOTEL/LOTEL T-Test p-Value Level 2	NOTEL/LOTEL T-Test p-Value Level 3	NOTEL/LOTEL T-Test p-Value Level 4	NOTEL/LOTEL T-Test p-Value Level 5	NOTEL/LOTEL T-Test p-Value Level 6	NOTEL/LOTEL T-Test p-Value Level 7	NOTEL/LOTEL T-Test p-Value Level 8	NOTEL/LOTEL T-Test p-Value Level 9	NOTEL	LOTEL
BUB1_8163	296137	bub1	0.03863591563177607	0.8693920173267327	1.9506617	1.9506617	1.3743156	1.4437264	1.4595227	1.4334356	1.2437961	1.5356934	1.6375169	1.5866725	1.9506617	0.43117383	0.2204991	0.3486349	0.1859502	0.5253047	0.10232035	0.06707017	0.06918511	0.0050722845			
C3_8175	24232	c3	0.019423307969563475	0.8495048367014654	-1.275291	1.275291	-1.275291	-1.1437484	1.0769874	1.1232955	-1.0561099	1.0849407	1.0468994	-1.0539699	1.2496002	0.05574651	0.477735	0.3465076	0.28771746	0.69554436	0.5249093	0.72097707	0.68628365	0.006799996			
CASP9_8204	58918	casp9	0.019042232277526393	0.8495048367014654	1.2298195	1.2298195	1.1996126	1.1780746	1.0845703	1.1355414	1.1730629	1.1519637	1.1805282	-1.0044779	1.2298195	0.05543754	0.08031514	0.49250522	0.18242499	0.1000348	0.17145607	0.102752954	0.9738619	0.06590827			
CAST_8205	25403	cast	0.036342089670156036	0.8693920173267327	1.0333481	1.0333481	1.0024812	1.001678	1.0193375	1.013455	1.0253977	1.0091294	1.012303	1.0263844	1.0333481	0.8628731	0.8882583	0.21536541	0.30348876	0.06956325	0.460096	0.4562244	0.050945036	0.1596169			
CCT7_8237	297406	cct7	0.019450571485863245	0.8495048367014654	-1.0705005	1.0705005	1.0226095	1.0049336	1.0236913	1.0035678	1.0064903	1.0377879	1.0499291	1.046809	-1.0705005	0.15488406	0.8760284	0.37897685	0.8902587	0.8313181	0.0349992	0.026470317	0.18529008	0.16480425			
CD300A_32694	501736	cd300a	0.0343663090981327	0.8693920173267327	-2.796094	2.796094	-2.796094	1.3570611	1.3605092	1.601246	-1.0710424	-1.0581645	-1.0228919	1.1959085	1.5575457	0.07805519	0.2962375	0.4210853	0.0872032	0.8263036	0.8916641	0.9327937	0.52431446	0.15837169			
CDH1_8262	83502	cdh1	0.011611887423735485	0.8495048367014654	1.2380382	1.2380382	1.0374247	1.0747309	1.1915936	1.2380382	1.1286054	1.181625	1.2149873	1.1960387	1.2285639	0.6935512	0.41546273	0.054683153	0.07023153	0.28346738	0.069894455	0.043830562	0.04971966	0.027245749			
CDH3_8263	116777	cdh3	0.0450652528548124	0.8693920173267327	-1.1396219	1.1396219	1.0916069	-1.0180272	-1.0213058	-1.0770363	-1.134468	-1.0673184	1.036508	-1.1000171	-1.1396219	0.17803894	0.7308666	0.72408956	0.43964133	0.13403808	0.20745797	0.47094503	0.18130602	0.21461138			
CHCHD4_8302	312559	chchd4	0.04454957618766016	0.8693920173267327	-1.1561443	1.1561443	-1.0789448	-1.1099402	-1.0136211	-1.011083	-1.0413654	1.0655997	1.0369129	1.0226146	-1.1561443	0.21721597	0.07229935	0.81849396	0.8361426	0.39558306	0.07028983	0.47451815	0.6839126	0.00165827			
CHP1_33118	500462;64152	chp1l1;chp1	0.03670456812288051	0.8693920173267327	1.2332827	1.2332827	1.0557916	1.1090502	1.1343695	1.116434	1.1171966	1.103416	1.171919	1.2332827	1.1481498	0.52155846	0.15708846	0.040257238	0.1347264	0.2783946	0.05135767	0.055333845	0.004056646	0.17773052			
CLDN4_8328	304407	cldn4	0.022659511031604056	0.8693920173267327	1.4900237	1.4900237	1.2201225	1.1052977	1.2408528	1.2533107	1.2839363	1.3629762	1.0808377	1.4900237	1.2672986	0.15145957	0.4090339	0.06458031	0.067732766	0.09344134	0.0069037694	0.71244174	0.011648951	0.033691682			
