Williams Trend Test
Data Source: P2_Perfluoro_3_methoxypropanoic_acid_Male_Thyroid-expression1
Work Source: null
BMDExpress3 Version: BMDExpress 3.20.119 BETA
Timestamp (Start Time): 12/14/2025 07:32.54
Number of Permutations: 10000
Unadjusted P-Value Cutoff: 0.05
Multiple Testing Correction: false
Filter Out Control Genes: true
NOTEL/LOTEL Test: T-Test
NOTEL/LOTEL p-Value Threshold: 0.05
NOTEL/LOTEL Fold Change Threshold: 2.0
Total Run Time: 15 seconds

Chip: BioSpyder S1500_Rat
Provider: BioSpyder

=== Experiment Description ===
Experiment Type: in vivo
Test Article: Perfluoro-3-methoxypropanoic acid | CAS: 377-73-1 | DSSTOX: DTXSID70191136
Subject Type: in vivo
Species: rat
Strain: Sprague-Dawley
Sex: male
Organ: thyroid
Article Route: oral
Article Vehicle: feed
Administration Means: dietary
Study Duration: 28d
Platform: BioSpyder S1500+ Rat
Provider: BioSpyder
Article Type: chemical
Chip File Creation Date: 10/31/24
Log Transformation: NONE
BMDExpress3 Version: BMDExpress 3.20.119 BETA
Timestamp: 12/14/2025 07:06.33

Probe ID	Gene ID	Gene Symbol	Unadjusted P-Value	Adjusted P-Value	Max Fold Change	Max Fold Change Unsigned	FC Dose Level 1	FC Dose Level 2	FC Dose Level 3	FC Dose Level 4	FC Dose Level 5	FC Dose Level 6	FC Dose Level 7	FC Dose Level 8	FC Dose Level 9	NOTEL/LOTEL T-Test p-Value Level 1	NOTEL/LOTEL T-Test p-Value Level 2	NOTEL/LOTEL T-Test p-Value Level 3	NOTEL/LOTEL T-Test p-Value Level 4	NOTEL/LOTEL T-Test p-Value Level 5	NOTEL/LOTEL T-Test p-Value Level 6	NOTEL/LOTEL T-Test p-Value Level 7	NOTEL/LOTEL T-Test p-Value Level 8	NOTEL/LOTEL T-Test p-Value Level 9	NOTEL	LOTEL
ATF6B_32767	406169	atf6b	0.01319529029638652	0.30755176613885504	-1.1635684	1.1635684	1.0103551	-1.0599955	-1.0755032	-1.0659431	-1.086759	-1.0019051	-1.0454218	-1.0283744	-1.1635684	0.8093977	0.14319229	0.21613729	0.36684048	0.1412213	0.96773595	0.24994098	0.6048759	0.04314137			
ATP6V0B_8112	298451	atp6v0b	0.049291558571143486	0.44673509786185295	1.224665	1.224665	1.224665	1.1482221	1.1613235	-1.0153702	1.043322	-1.0163898	1.0335586	-1.0048939	-1.0973088	0.058216352	0.124547005	0.07578755	0.84242433	0.6444181	0.87579274	0.6643638	0.9534498	0.48125046			
B4GALT1_8124	24390	b4galt1	0.008860249697946033	0.2823866340335849	-1.1042345	1.1042345	1.0135707	-1.0603026	-1.0042473	1.008583	-1.0272877	-1.0181144	-1.0213213	1.0042099	-1.1042345	0.36898088	0.127203	0.9093359	0.77222383	0.10612943	0.66480124	0.6838146	0.760241	0.056621138			
BBOX1_8133	64564	bbox1	0.02099737532808399	0.3556338028169014	-1.625082	1.625082	1.0881741	1.0152723	-1.020627	-1.3973529	1.009033	-1.2095506	-1.0632287	-1.14927	-1.625082	0.46834135	0.90153456	0.88059205	0.12125936	0.95677465	0.16824472	0.82352084	0.3226365	0.064638995			
BCL2A1_8136	170929	bcl2a1	0.01841620626151013	0.3518988601861531	-1.1831815	1.1831815	-1.0432539	-1.1612511	-1.0086476	-1.0737994	-1.0008714	1.0039208	1.0612422	-1.0061663	-1.1831815	0.2155952	0.18599439	0.88870424	0.30079183	0.9810073	0.93541294	0.13876021	0.9059112	0.003531405			
BCL2L1_8137	24888	bcl2l1	0.03353097526068289	0.4001800500258755	-1.0910237	1.0910237	1.0129334	-1.0476713	-1.020565	-1.0547948	-1.0365767	1.0343349	1.0340545	1.0109532	-1.0910237	0.563046	0.13655615	0.61444145	0.34816393	0.20652801	0.3586903	0.57791656	0.7224395	0.025219718			
BECN1_8140	114558	becn1	0.004739336492890996	0.2823866340335849	-1.067398	1.067398	-1.0165931	-1.0296633	-1.0228425	-1.0312473	1.0058489	-1.0010854	1.0074532	-1.0180156	-1.067398	0.27272213	0.030979108	0.18185338	0.084031075	0.8208513	0.9570967	0.6516619	0.3424872	0.07022673			
BID_8145	64625	bid	0.0030432136335970784	0.2823866340335849	-1.3798145	1.3798145	1.007361	-1.0549502	-1.2712781	-1.0686616	-1.2859288	-1.0116603	1.0699099	-1.1604266	-1.3798145	0.92261004	0.46712628	0.113491066	0.32073	0.019556616	0.8589509	0.32435635	0.07682758	0.01670535			
BIRC2_8146	60371	birc2	0.015531660692951015	0.33275406393685963	-1.0719988	1.0719988	-1.0207156	-1.0396134	-1.0147965	1.0115508	-1.0484995	1.0083903	-1.0273123	-1.0293329	-1.0719988	0.2528271	0.18594949	0.42706844	0.76349795	0.0058689313	0.7959398	0.39843044	0.04303855	0.011252433			
BLCAP_8149	171113	blcap	0.00343226327478296	0.2823866340335849	-1.0820607	1.0820607	-1.0147226	-1.0508288	-1.0629057	-1.0820607	-1.0431075	-1.0068492	-1.065069	-1.0425469	-1.0789748	0.41298875	0.120797284	0.1021046	4.9613614E-4	0.06029326	0.7482241	0.008523324	7.13909E-4	0.020168303			
