Williams Trend Test
Data Source: P2_Perfluoro_3_methoxypropanoic_acid_Female_Ovary_NoOutlier-expression1
Work Source: null
BMDExpress3 Version: BMDExpress 3.20.119 BETA
Timestamp (Start Time): 12/14/2025 07:30.46
Number of Permutations: 10000
Unadjusted P-Value Cutoff: 0.05
Multiple Testing Correction: false
Filter Out Control Genes: true
NOTEL/LOTEL Test: T-Test
NOTEL/LOTEL p-Value Threshold: 0.05
NOTEL/LOTEL Fold Change Threshold: 2.0
Total Run Time: 17 seconds

Chip: BioSpyder S1500_Rat
Provider: BioSpyder

=== Experiment Description ===
Experiment Type: in vivo
Test Article: Perfluoro-3-methoxypropanoic acid | CAS: 377-73-1 | DSSTOX: DTXSID70191136
Subject Type: in vivo
Species: rat
Strain: Sprague-Dawley
Sex: female
Organ: ovary
Article Route: oral
Article Vehicle: feed
Administration Means: dietary
Study Duration: 28d
Platform: BioSpyder S1500+ Rat
Provider: BioSpyder
Article Type: chemical
Chip File Creation Date: 10/31/24
Log Transformation: NONE
BMDExpress3 Version: BMDExpress 3.20.119 BETA
Timestamp: 12/14/2025 07:06.33

Probe ID	Gene ID	Gene Symbol	Unadjusted P-Value	Adjusted P-Value	Max Fold Change	Max Fold Change Unsigned	FC Dose Level 1	FC Dose Level 2	FC Dose Level 3	FC Dose Level 4	FC Dose Level 5	FC Dose Level 6	FC Dose Level 7	FC Dose Level 8	FC Dose Level 9	NOTEL/LOTEL T-Test p-Value Level 1	NOTEL/LOTEL T-Test p-Value Level 2	NOTEL/LOTEL T-Test p-Value Level 3	NOTEL/LOTEL T-Test p-Value Level 4	NOTEL/LOTEL T-Test p-Value Level 5	NOTEL/LOTEL T-Test p-Value Level 6	NOTEL/LOTEL T-Test p-Value Level 7	NOTEL/LOTEL T-Test p-Value Level 8	NOTEL/LOTEL T-Test p-Value Level 9	NOTEL	LOTEL
ATP2C1_8107	170699	atp2c1	0.04275348107472053	0.5470555920942141	-1.0797653	1.0797653	1.0023919	-1.0173022	-1.0411716	1.0306338	-1.0100509	-1.0533245	-1.0487368	-1.0530577	-1.0797653	0.9539616	0.6066657	0.11238781	0.46061757	0.7420736	0.09042177	0.04855305	0.038425956	0.12395109			
ATP5C1_8109	116550	atp5f1c	0.04986149584487535	0.5770426712590893	1.0223229	1.0223229	1.0070792	1.0032872	1.0078506	-1.0090644	1.004932	1.0196286	1.0144386	1.0015306	1.0223229	0.52073336	0.76679987	0.35779515	0.36757782	0.61839205	0.052079294	0.17189462	0.87414277	0.16114724			
BCL2A1_8136	170929	bcl2a1	0.04207771290517415	0.5470555920942141	-1.1004533	1.1004533	-1.0021547	-1.0042303	1.099076	1.0062367	1.0062988	1.0570061	1.0405991	1.0939487	-1.1004533	0.96315646	0.93863523	0.040252622	0.90642625	0.897874	0.34034052	0.33489227	0.11429047	0.15781924			
BDH1_8139	117099	bdh1	0.003537735849056604	0.23017292784734644	1.1877849	1.1877849	-1.0330491	1.122009	1.0511242	1.156204	1.0166425	1.1388024	1.1102622	1.1877849	1.1127355	0.5862247	0.029100774	0.4000395	0.0067764954	0.80131036	0.044857766	0.060084682	0.0030440148	0.08254352			
BHLHE40_8141	79431	bhlhe40	0.0306474528110412	0.5171071937397665	1.1145171	1.1145171	-1.0441426	-1.0113173	-1.0242952	1.1062869	-1.0573997	-1.0168651	-1.0015826	1.0687824	1.1145171	0.107610844	0.80898935	0.41942254	0.08546079	0.42701194	0.5753543	0.95155936	0.121772215	0.18161483			
CAR9_32677	313495	car9	0.032341269841269844	0.5171071937397665	-1.1741314	1.1741314	1.1517808	-1.0206314	1.0614424	1.0142494	1.1331139	1.0052061	1.0785724	1.11609	-1.1741314	0.14012645	0.8410874	0.35942614	0.8136565	0.04341973	0.9398074	0.19594522	0.123534955	0.015184442			
CASP2_8200	64314	casp2	0.04040601210228382	0.5470555920942141	-1.0603417	1.0603417	-1.0100466	1.0094314	-1.0310128	-1.0175598	-1.0230242	-1.0259763	-1.0425892	-1.0603417	-1.0528514	0.66680276	0.67841315	0.107867785	0.43688005	0.25210667	0.31970888	0.028296199	0.032340985	0.14751059			
CBR1_8208	29224;102556347	cbr1;cbr1l2	0.026710499280871172	0.5171071937397665	1.1047732	1.1047732	-1.0054985	1.0209043	1.0047224	1.04173	-1.0028193	1.0391994	1.0126644	1.0515519	1.1047732	0.7459174	0.6379812	0.7507969	0.427083	0.858499	0.039246798	0.48525912	0.109469146	0.2123922			
CCNH_8229	84389	ccnh	5.938242280285036E-4	0.1541225793571571	-1.0521069	1.0521069	-1.0283433	-1.021763	1.0205059	-1.0092639	1.0262568	1.0056633	1.0142643	-1.0043525	-1.0521069	0.0063322447	0.15569407	0.10693721	0.3374393	0.059160646	0.5874948	0.32556725	0.67688787	0.020165347			
CCT2_8233	299809	cct2	0.040567545963229416	0.5470555920942141	1.0340399	1.0340399	1.0011227	1.0340399	1.0262537	1.0171131	1.0211213	1.0108256	1.0121527	1.0206126	-1.0296841	0.93998235	0.11259342	0.06754601	0.4361099	0.3878245	0.46488038	0.31566542	0.0968881	0.0479347			
