Williams Trend Test
Data Source: P2_Perfluoro_3_methoxypropanoic_acid_Female_Brain-expression1
Work Source: null
BMDExpress3 Version: BMDExpress 3.20.119 BETA
Timestamp (Start Time): 12/14/2025 07:32.05
Number of Permutations: 10000
Unadjusted P-Value Cutoff: 0.05
Multiple Testing Correction: false
Filter Out Control Genes: true
NOTEL/LOTEL Test: T-Test
NOTEL/LOTEL p-Value Threshold: 0.05
NOTEL/LOTEL Fold Change Threshold: 2.0
Total Run Time: 16 seconds

Chip: BioSpyder S1500_Rat
Provider: BioSpyder

=== Experiment Description ===
Experiment Type: in vivo
Test Article: Perfluoro-3-methoxypropanoic acid | CAS: 377-73-1 | DSSTOX: DTXSID70191136
Subject Type: in vivo
Species: rat
Strain: Sprague-Dawley
Sex: female
Organ: brain
Article Route: oral
Article Vehicle: feed
Administration Means: dietary
Study Duration: 28d
Platform: BioSpyder S1500+ Rat
Provider: BioSpyder
Article Type: chemical
Chip File Creation Date: 10/31/24
Log Transformation: NONE
BMDExpress3 Version: BMDExpress 3.20.119 BETA
Timestamp: 12/14/2025 07:06.33

Probe ID	Gene ID	Gene Symbol	Unadjusted P-Value	Adjusted P-Value	Max Fold Change	Max Fold Change Unsigned	FC Dose Level 1	FC Dose Level 2	FC Dose Level 3	FC Dose Level 4	FC Dose Level 5	FC Dose Level 6	FC Dose Level 7	FC Dose Level 8	FC Dose Level 9	NOTEL/LOTEL T-Test p-Value Level 1	NOTEL/LOTEL T-Test p-Value Level 2	NOTEL/LOTEL T-Test p-Value Level 3	NOTEL/LOTEL T-Test p-Value Level 4	NOTEL/LOTEL T-Test p-Value Level 5	NOTEL/LOTEL T-Test p-Value Level 6	NOTEL/LOTEL T-Test p-Value Level 7	NOTEL/LOTEL T-Test p-Value Level 8	NOTEL/LOTEL T-Test p-Value Level 9	NOTEL	LOTEL
CEBPD_8283	25695	cebpd	0.04483391073975953	0.8718624072264416	1.179538	1.179538	-1.0661832	-1.0172831	1.0167853	-1.0071181	1.0212364	1.1362873	-1.0316278	1.179538	1.1002076	0.30078283	0.76777995	0.8025274	0.90474594	0.7436807	0.040890943	0.63087404	0.11406718	0.082964			
CENPF_8287	257649	cenpf	0.04308300395256917	0.8718624072264416	1.3864659	1.3864659	1.001433	1.1748358	-1.0635461	1.2821487	1.1555817	1.1695749	-1.3004397	1.1064583	1.3864659	0.99206865	0.30849326	0.76049185	0.047692277	0.528503	0.18494342	0.2417491	0.45459756	0.013329548			
CENPI_32983	25448	cenpi	0.026217228464419477	0.8718624072264416	-1.5949194	1.5949194	-1.5949194	-1.0981141	-1.018542	-1.2704113	-1.1007856	-1.1349176	-1.3172507	-1.3882284	1.3576348	0.054289237	0.5795759	0.91544694	0.43629384	0.6035689	0.48295078	0.23808026	0.21268438	0.10845581			
CENPK_8288	294712	cenpk	0.028361761205870688	0.8718624072264416	1.2701131	1.2701131	1.0005457	1.0507782	1.0748024	1.107891	1.1154807	1.1232272	1.0773076	1.081472	1.2701131	0.9951009	0.65587676	0.39885598	0.28632784	0.24396385	0.2827872	0.49671552	0.44357437	0.03940848			
CEP57_8291	315423	cep57	0.03881188118811881	0.8718624072264416	1.0789373	1.0789373	1.0074877	1.0210158	1.030846	1.0120361	1.0342877	1.0585676	-1.0035112	1.0459825	1.0789373	0.76824623	0.5724729	0.2525067	0.7691005	0.3139293	0.052523553	0.90648574	0.13130131	0.12828867			
CKAP2_8324	306575	ckap2	0.039724680432645036	0.8718624072264416	-1.6635433	1.6635433	-1.1554279	1.0130228	1.2547076	1.249167	1.3960733	-1.6635433	-1.2788063	1.5455674	1.4640218	0.62383926	0.96527624	0.16696335	0.29692534	0.022582393	0.18072832	0.27106735	0.025175992	0.038174134			
COL1A1_8352	29393	col1a1	0.008608608608608608	0.6754839431576593	-3.3966901	3.3966901	-1.2430621	-1.5938376	-1.4189259	-1.3885114	-1.3212848	1.0033302	-1.3363944	1.138653	-3.3966901	0.27595937	0.021896686	0.2996163	0.24435279	0.20724103	0.98604214	0.21671163	0.6073542	0.033961825	100.0	300.0	
CPS1_32421	497840	cps1	0.03643564356435643	0.8718624072264416	1.3840051	1.3840051	-1.0401906	-1.0696765	-1.1231037	1.077938	-1.0490489	1.1262221	-1.3017074	1.0106466	1.3840051	0.7474253	0.6130459	0.41869846	0.69559425	0.7841542	0.45656845	0.24317692	0.9553452	0.045046456			
CSNK1A1_8393	113927	csnk1a1	0.011441647597254004	0.7358409610983981	1.0380803	1.0380803	1.0120109	1.0228635	1.01701	1.0273588	1.01913	1.0285531	1.0263072	1.0380803	1.0320722	0.46866396	0.24560124	0.26392215	0.10904459	0.1996945	0.07341314	0.1269163	0.032297716	0.07449706			
CYP2B1_32451	24300	cyp2b1	2.0588840848260242E-4	0.07061972410953263	-9.298706	9.298706	1.4020561	1.5681714	1.5331312	1.5716898	1.4756728	1.5906374	1.5156512	1.4052577	-9.298706	0.050767317	0.006258574	0.0061800964	0.003334997	0.004484414	0.00545569	0.0050588925	0.043653835	9.070631E-4	100.0	300.0	
