Williams Trend Test
Data Source: P2_Perfluoro_3_methoxypropanoic_acid_Female_Kidney-expression1
Work Source: null
BMDExpress3 Version: BMDExpress 3.20.119 BETA
Timestamp (Start Time): 12/14/2025 07:31.34
Number of Permutations: 10000
Unadjusted P-Value Cutoff: 0.05
Multiple Testing Correction: false
Filter Out Control Genes: true
NOTEL/LOTEL Test: T-Test
NOTEL/LOTEL p-Value Threshold: 0.05
NOTEL/LOTEL Fold Change Threshold: 2.0
Total Run Time: 15 seconds

Chip: BioSpyder S1500_Rat
Provider: BioSpyder

=== Experiment Description ===
Experiment Type: in vivo
Test Article: Perfluoro-3-methoxypropanoic acid | CAS: 377-73-1 | DSSTOX: DTXSID70191136
Subject Type: in vivo
Species: rat
Strain: Sprague-Dawley
Sex: female
Organ: kidney
Article Route: oral
Article Vehicle: feed
Administration Means: dietary
Study Duration: 28d
Platform: BioSpyder S1500+ Rat
Provider: BioSpyder
Article Type: chemical
Chip File Creation Date: 10/31/24
Log Transformation: NONE
BMDExpress3 Version: BMDExpress 3.20.119 BETA
Timestamp: 12/14/2025 07:06.33

Probe ID	Gene ID	Gene Symbol	Unadjusted P-Value	Adjusted P-Value	Max Fold Change	Max Fold Change Unsigned	FC Dose Level 1	FC Dose Level 2	FC Dose Level 3	FC Dose Level 4	FC Dose Level 5	FC Dose Level 6	FC Dose Level 7	FC Dose Level 8	FC Dose Level 9	NOTEL/LOTEL T-Test p-Value Level 1	NOTEL/LOTEL T-Test p-Value Level 2	NOTEL/LOTEL T-Test p-Value Level 3	NOTEL/LOTEL T-Test p-Value Level 4	NOTEL/LOTEL T-Test p-Value Level 5	NOTEL/LOTEL T-Test p-Value Level 6	NOTEL/LOTEL T-Test p-Value Level 7	NOTEL/LOTEL T-Test p-Value Level 8	NOTEL/LOTEL T-Test p-Value Level 9	NOTEL	LOTEL
ALDOA_8031	24189	aldoa	0.012984496124031008	0.1989032443296009	-1.0339857	1.0339857	-1.0092424	-1.0121883	1.0272485	-1.002728	-1.0012149	-1.005343	-1.0067118	-1.0091276	-1.0339857	0.45081353	0.16887942	0.10354693	0.82752794	0.9346825	0.50336564	0.544552	0.4150147	0.009981483			
AMDHD2_8039	302972	amdhd2	0.02353639240506329	0.2377618804292284	-1.0822263	1.0822263	-1.0110619	1.01316	1.011277	-1.0061231	-1.0102123	1.0088102	-1.0079017	-1.0447165	-1.0822263	0.63572115	0.5915401	0.6889722	0.8659075	0.64374995	0.7613322	0.75283957	0.15382902	0.10336215			
APPBP2_8068	303396	appbp2	0.024282560706401765	0.23969455239653645	-1.0314512	1.0314512	-1.008333	1.0183496	1.0045571	1.0138135	1.013348	1.0078396	-1.0010915	-1.0172994	-1.0314512	0.45743492	0.06861028	0.7297428	0.32411128	0.22358963	0.31918326	0.9062598	0.2339885	0.19655637			
ASAH1_8089	84431	asah1	0.02434035590100225	0.23969455239653645	-1.0210491	1.0210491	1.0077374	1.0087379	1.0117077	1.0122687	1.0124259	1.0179037	1.0048895	1.0177397	-1.0210491	0.6303458	0.15667105	0.37555227	0.14967786	0.09775389	0.014827589	0.5377579	0.16628714	0.2597828			
ASCC3_8090	309887	ascc3	0.019944707740916272	0.22934225914425133	1.0335952	1.0335952	1.0040413	-1.0004919	1.0335952	1.0015026	1.0055975	1.0100863	-1.0090573	1.0042385	-1.0305803	0.8009671	0.9726892	0.023407629	0.8964724	0.7017768	0.5672293	0.49308747	0.7837514	0.02633176			
ATIC_8100	81643	atic	0.013794443365067029	0.20804705854504355	-1.0894248	1.0894248	-1.0143273	1.0430344	1.063855	1.0484579	-1.0327041	-1.0058814	-1.0053653	1.0305493	-1.0894248	0.6600691	0.18844892	0.2556846	0.20291929	0.3463309	0.81611925	0.8290087	0.4526886	0.07110977			
ATP1A1_32617	24211	atp1a1	0.031767955801104975	0.2730830146183746	1.053115	1.053115	-1.0067313	1.0081446	1.053115	1.0236696	1.011331	-1.0018152	-1.0014936	-1.0176629	-1.0376115	0.68893754	0.5609353	0.035347335	0.23845908	0.63038796	0.92943025	0.9207717	0.44922584	0.13536847			
ATP5L_33116	300677	atp5mg	0.014147130153597413	0.208893346706787	-1.0382527	1.0382527	1.0218798	-1.0060266	-1.0301833	-1.0023952	-1.0047446	1.003193	1.0110208	-1.0051796	-1.0382527	0.20076981	0.6996255	0.114155754	0.8562551	0.685965	0.79951173	0.3608922	0.78020936	0.004918152			
ATP6V0D1_33093	291969	atp6v0d1	0.019226917684758663	0.22591628279591427	-1.0327405	1.0327405	1.006286	1.00406	-1.019426	1.003384	-1.0145526	1.013833	-1.009121	-1.0217474	-1.0327405	0.6880562	0.7008501	0.10491904	0.83544546	0.10056569	0.24534214	0.35266623	0.09064694	0.033877708			
ATP6V1D_8113	299159	atp6v1d	1.9778481012658228E-4	0.03362437604669691	-1.0354272	1.0354272	1.0193079	-1.0058664	-1.0040511	-1.000235	-1.0076227	-1.0013918	1.0011024	-1.0105932	-1.0354272	0.09828242	0.2839152	0.5814507	0.9659686	0.26764572	0.86174375	0.85035515	0.1513725	2.3434656E-4			
