Williams Trend Test
Data Source: P2_Perfluoro_3_methoxypropanoic_acid_Female_Heart-expression1
Work Source: null
BMDExpress3 Version: BMDExpress 3.20.119 BETA
Timestamp (Start Time): 12/14/2025 07:31.50
Number of Permutations: 10000
Unadjusted P-Value Cutoff: 0.05
Multiple Testing Correction: false
Filter Out Control Genes: true
NOTEL/LOTEL Test: T-Test
NOTEL/LOTEL p-Value Threshold: 0.05
NOTEL/LOTEL Fold Change Threshold: 2.0
Total Run Time: 15 seconds

Chip: BioSpyder S1500_Rat
Provider: BioSpyder

=== Experiment Description ===
Experiment Type: in vivo
Test Article: Perfluoro-3-methoxypropanoic acid | CAS: 377-73-1 | DSSTOX: DTXSID70191136
Subject Type: in vivo
Species: rat
Strain: Sprague-Dawley
Sex: female
Organ: heart
Article Route: oral
Article Vehicle: feed
Administration Means: dietary
Study Duration: 28d
Platform: BioSpyder S1500+ Rat
Provider: BioSpyder
Article Type: chemical
Chip File Creation Date: 10/31/24
Log Transformation: NONE
BMDExpress3 Version: BMDExpress 3.20.119 BETA
Timestamp: 12/14/2025 07:06.33

Probe ID	Gene ID	Gene Symbol	Unadjusted P-Value	Adjusted P-Value	Max Fold Change	Max Fold Change Unsigned	FC Dose Level 1	FC Dose Level 2	FC Dose Level 3	FC Dose Level 4	FC Dose Level 5	FC Dose Level 6	FC Dose Level 7	FC Dose Level 8	FC Dose Level 9	NOTEL/LOTEL T-Test p-Value Level 1	NOTEL/LOTEL T-Test p-Value Level 2	NOTEL/LOTEL T-Test p-Value Level 3	NOTEL/LOTEL T-Test p-Value Level 4	NOTEL/LOTEL T-Test p-Value Level 5	NOTEL/LOTEL T-Test p-Value Level 6	NOTEL/LOTEL T-Test p-Value Level 7	NOTEL/LOTEL T-Test p-Value Level 8	NOTEL/LOTEL T-Test p-Value Level 9	NOTEL	LOTEL
ALDH1A1_8022	24188	aldh1a1	0.0013616028010114763	0.0673554567864346	1.0818474	1.0818474	-1.0169202	-1.0114114	-1.0214442	1.0083442	1.0037762	1.0335073	-1.0057392	1.0818474	-1.0818383	0.30655053	0.6963756	0.22561634	0.76719636	0.8253464	0.23710047	0.78733295	0.023714706	9.855045E-4			
ALDH4A1_8025	641316	aldh4a1	0.044919145538031544	0.24893596955138372	1.9288354	1.9288354	1.7336812	1.4865673	-1.0959306	1.9288354	1.4093053	1.6774158	1.614709	1.7786906	1.5758301	0.012976939	0.18351473	0.7885002	0.0023726607	0.16329159	0.008209188	0.11768579	0.057146195	0.03691981			
ALDOA_8031	24189	aldoa	0.0119821283509342	0.14111523732157363	-1.063329	1.063329	-1.0072219	-1.01116	-1.0029682	1.0014704	1.0084481	1.0110651	-1.017358	1.0112733	-1.063329	0.52584475	0.5827049	0.8818793	0.9198731	0.6941056	0.36110532	0.20459893	0.45991978	0.07904603			
ANLN_32599	363031;307056	anln;anlnl1	0.011542901115813775	0.1391223345011239	-1.4854144	1.4854144	-1.4854144	-1.0580875	-1.0670007	-1.125902	-1.315049	-1.0645155	1.1244987	1.1700333	1.2450676	0.15294299	0.5408821	0.65703535	0.4807833	0.027952	0.52973336	0.21280244	0.048971932	0.20545574			
ARHGAP30_32923	498282	arhgap30	0.020900974025974024	0.18175910323853361	1.1391745	1.1391745	1.0293674	1.0018833	-1.0018239	1.0559376	1.0479877	1.112653	1.1252276	1.0284957	1.1391745	0.5288049	0.9509547	0.9637132	0.34970722	0.26208267	0.004953793	0.04329444	0.53095245	0.1345925			
ARHGEF12_8080	367072	arhgef12	0.01708722431949136	0.16228925955056078	1.174803	1.174803	1.0154024	1.08706	1.0768096	1.1146232	1.1020339	1.102904	1.081199	1.174803	1.0902308	0.74733067	0.08325021	0.16204192	0.062786214	0.16144761	0.112805195	0.1147821	0.0075460426	0.14354484			
ASAH1_8089	84431	asah1	0.029376498800959234	0.21243847027641047	-1.0427557	1.0427557	1.006446	1.0043427	-1.0006143	1.0027959	1.0018784	1.003504	-1.0181406	1.0267595	-1.0427557	0.6698165	0.73293275	0.9609597	0.87062484	0.89850044	0.7775652	0.08700115	0.26322517	0.16607974			
ASF1B_32459	304648	asf1b	0.035174880763116055	0.22939727036860771	1.5084592	1.5084592	-1.0235776	1.1189106	-1.0185802	-1.1611016	-1.1459968	1.2799371	1.3239653	-1.0035999	1.5084592	0.92277884	0.40911618	0.952794	0.5529732	0.27335638	0.10017382	0.094663054	0.9834746	0.012679023			
ATAD5_32790	303348	atad5	0.0045266679787443415	0.09412827640984908	-2.6472132	2.6472132	-2.6472132	1.4697206	2.256456	1.9988937	1.2453674	1.586753	2.5623536	2.139274	2.247722	0.095835276	0.32564196	0.0013209173	0.09606844	0.61720675	0.086147696	5.420677E-4	0.099181905	0.00811241	0.1	0.3	
ATP11C_33283	317599	atp11c	0.04254898080348308	0.2435929150999406	1.1030746	1.1030746	-1.0574647	1.0548505	1.0359144	1.0208198	1.015282	1.0186237	1.0030583	1.1030746	1.0702264	0.33354846	0.16642292	0.3602681	0.6857939	0.6862741	0.71894246	0.9425747	0.08416004	0.15199561			
ATP5C1_8109	116550	atp5f1c	0.014300736067297582	0.15192689193144493	-1.0760281	1.0760281	1.000002	-1.0069335	-1.0026114	1.0019702	-1.005968	-1.014856	-1.0167896	-1.0288951	-1.0760281	0.9998535	0.5874608	0.78004134	0.7892013	0.61856264	0.075131424	0.019204315	0.03626092	0.30214268			
ATP5L_33116	300677	atp5mg	0.012627291242362525	0.14455920471342967	-1.0736977	1.0736977	1.0168095	1.0014263	1.0112345	1.0052555	1.0014421	-1.0141337	-1.0008026	-1.012874	-1.0736977	0.43915123	0.9101282	0.41816363	0.6637404	0.9256545	0.31102422	0.9594724	0.27600536	0.25863838			
ATP5S_8111	362749	dmac2l	0.0022366815778771857	0.07557050380335868	-1.5288244	1.5288244	-1.0829598	1.0115627	1.0030973	1.0004787	1.0964016	1.0055343	-1.094621	1.0249437	-1.5288244	0.33166084	0.8589076	0.9637962	0.9950346	0.24355024	0.93866414	0.45572457	0.7090816	0.013878108			
ATP6V1D_8113	299159	atp6v1d	0.003964321110009911	0.08887988063099972	-1.0610477	1.0610477	1.0108438	-1.0094376	1.0000342	-1.007133	-1.021459	-1.0157481	-1.0153524	1.0139343	-1.0610477	0.51171225	0.48300916	0.99835813	0.5404404	0.11016551	0.2197364	0.2830681	0.55330044	0.0830366			
AURKA_8116	261730	aurka	0.03408411401235798	0.22811095218635064	-2.2024035	2.2024035	-1.2661778	-1.2714143	-1.0395759	1.0811043	-2.2024035	-1.3264419	1.4931809	1.1409676	1.8503219	0.6376688	0.49514723	0.9188887	0.75298643	0.12332508	0.5642012	0.13821816	0.75052077	0.23479456			
B3GNT2_32526	305571	b3gnt2	0.010468101915860163	0.13075610938538057	1.1462613	1.1462613	-1.0091703	-1.0116322	1.01374	1.0227156	-1.089333	1.1012344	1.1299073	1.0304505	1.1462613	0.83524215	0.7927748	0.7323066	0.4093153	0.1254039	0.032480482	0.049685787	0.6075636	4.974971E-4			
BACE2_8127	288227	bace2	0.0402656704026567	0.23971532789976596	1.1050525	1.1050525	-1.0953166	-1.0114151	-1.0965153	-1.0163519	-1.0849242	-1.0040594	-1.0468489	1.1050525	1.0890697	0.06946991	0.82757795	0.03546479	0.766131	0.074723735	0.91567576	0.3797359	0.12893145	0.36061525			
BAX_8132	24887	bax	0.02150974025974026	0.1836075717167725	1.0893166	1.0893166	-1.0098181	1.0283558	-1.0273722	-1.0132909	1.0195638	1.0380934	1.0471575	1.0255744	1.0893166	0.77003336	0.18998851	0.35222113	0.6807958	0.5124304	0.055622973	0.045028474	0.5037389	0.24130586			
BCL2L1_8137	24888	bcl2l1	0.0118521494576135	0.14081096667060386	1.1152902	1.1152902	-1.0081137	1.0124296	1.0070565	1.0018609	-1.0079077	1.0555693	1.0667765	1.0712243	1.1152902	0.839855	0.7187543	0.826708	0.968498	0.84971833	0.04750088	0.015413979	0.14672141	0.04951589			
BDH1_8139	117099	bdh1	0.024400080661423674	0.19721006369880076	-1.2771621	1.2771621	-1.1257973	-1.0773907	-1.0395092	-1.025732	-1.0528632	1.0083226	-1.0642983	-1.1342262	-1.2771621	0.03403431	0.36187828	0.44977248	0.74313635	0.65414053	0.8816662	0.36520875	0.03425536	0.06597334			
BDNF_32390	24225	bdnf	0.035394629780309196	0.22939727036860771	1.147191	1.147191	1.0550185	1.0196239	1.0650449	1.1076412	1.147191	1.0890324	1.0163425	1.0088259	-1.0966791	0.24819621	0.6575423	0.19688943	0.04535725	0.01563948	0.012998328	0.6704483	0.83120275	0.5033908			
BID_8145	64625	bid	0.035678290667204196	0.23051083719469545	1.2712293	1.2712293	1.1282629	-1.0026004	1.0660664	-1.033503	-1.0463979	1.077132	1.2400937	1.072779	1.2712293	0.06972717	0.98559815	0.29713377	0.785851	0.66079515	0.45539257	0.06931313	0.29655492	0.09236382			
