Williams Trend Test
Data Source: P2_Perfluoro_3_methoxypropanoic_acid_Male_Kidney-expression1
Work Source: null
BMDExpress3 Version: BMDExpress 3.20.119 BETA
Timestamp (Start Time): 12/14/2025 07:34.08
Number of Permutations: 10000
Unadjusted P-Value Cutoff: 0.05
Multiple Testing Correction: false
Filter Out Control Genes: true
NOTEL/LOTEL Test: T-Test
NOTEL/LOTEL p-Value Threshold: 0.05
NOTEL/LOTEL Fold Change Threshold: 2.0
Total Run Time: 15 seconds

Chip: BioSpyder S1500_Rat
Provider: BioSpyder

=== Experiment Description ===
Experiment Type: in vivo
Test Article: Perfluoro-3-methoxypropanoic acid | CAS: 377-73-1 | DSSTOX: DTXSID70191136
Subject Type: in vivo
Species: rat
Strain: Sprague-Dawley
Sex: male
Organ: kidney
Article Route: oral
Article Vehicle: feed
Administration Means: dietary
Study Duration: 28d
Platform: BioSpyder S1500+ Rat
Provider: BioSpyder
Article Type: chemical
Chip File Creation Date: 10/31/24
Log Transformation: NONE
BMDExpress3 Version: BMDExpress 3.20.119 BETA
Timestamp: 12/14/2025 07:06.33

Probe ID	Gene ID	Gene Symbol	Unadjusted P-Value	Adjusted P-Value	Max Fold Change	Max Fold Change Unsigned	FC Dose Level 1	FC Dose Level 2	FC Dose Level 3	FC Dose Level 4	FC Dose Level 5	FC Dose Level 6	FC Dose Level 7	FC Dose Level 8	FC Dose Level 9	NOTEL/LOTEL T-Test p-Value Level 1	NOTEL/LOTEL T-Test p-Value Level 2	NOTEL/LOTEL T-Test p-Value Level 3	NOTEL/LOTEL T-Test p-Value Level 4	NOTEL/LOTEL T-Test p-Value Level 5	NOTEL/LOTEL T-Test p-Value Level 6	NOTEL/LOTEL T-Test p-Value Level 7	NOTEL/LOTEL T-Test p-Value Level 8	NOTEL/LOTEL T-Test p-Value Level 9	NOTEL	LOTEL
ACADL_32776	25287	acadl	0.0316950852557673	0.07518631995868699	1.0942568	1.0942568	-1.0469898	-1.016422	-1.0105618	-1.0031688	-1.0549451	-1.0482415	-1.0202911	-1.0393984	1.0942568	0.4419306	0.7100679	0.81780565	0.9550404	0.37197155	0.38812932	0.694306	0.56512976	0.084959164			
ACADM_7957	24158	acadm	2.0012007204322593E-4	0.005244396776076087	1.1060447	1.1060447	1.0012785	-1.0023336	1.0503082	1.0192505	-1.0058354	1.0192416	1.0324988	1.047882	1.1060447	0.93911517	0.9024337	0.099908784	0.38718662	0.64707667	0.22400868	0.06351647	0.045568746	0.0018346156			
ACADVL_7960	25363	acadvl	6.024096385542169E-4	0.009340324921578725	1.0962015	1.0962015	1.0030911	-1.0041176	1.0379908	1.0005966	-1.0182148	1.0168635	1.0174471	1.031853	1.0962015	0.8736683	0.84088045	0.18134743	0.97926545	0.29873565	0.4533652	0.3982307	0.22932954	0.018716186			
ACAT2_7961	308100	acat2	5.998800239952009E-4	0.009340324921578725	1.0818093	1.0818093	-1.003091	-1.005391	1.0146611	-1.0218441	-1.0382392	1.0057507	-1.0065458	-1.0131116	1.0818093	0.9083216	0.8383619	0.5770536	0.37879604	0.27012545	0.8122346	0.82116294	0.69283617	0.01712092			
ACBD3_7962	289312	acbd3	0.002578341927806426	0.017333958919820668	1.2538462	1.2538462	1.110634	1.0139302	1.1535237	1.0359154	-1.0153052	1.0798672	1.0495687	1.0307491	1.2538462	0.14308293	0.84643406	0.04199406	0.5729749	0.87037593	0.36381865	0.5450306	0.72765976	0.0014445898			
ACD_7963	307798	acd	0.04375126595098238	0.09408529211113867	1.0546345	1.0546345	-1.0350939	-1.0073111	-1.0080442	-1.0141035	1.0065049	1.0017787	1.0320894	1.001545	1.0546345	0.26721933	0.8040223	0.7956997	0.6344954	0.81525445	0.95529467	0.32632	0.9687297	0.12789215			
ACMSD_32377	171385	acmsd	6.048387096774194E-4	0.009340324921578725	1.215031	1.215031	1.0279979	1.106104	1.0033396	1.0306267	-1.0609864	1.0042632	1.0388274	-1.0400383	1.215031	0.45713368	0.024564054	0.9487063	0.3334715	0.3056072	0.9519292	0.43621862	0.4314319	0.03317435			
ACO1_7966	50655	aco1	3.9872408293460925E-4	0.007576131577848074	1.1902287	1.1902287	1.0384775	1.0216184	1.0927955	1.0085537	-1.0037473	1.0259103	1.0524068	1.0600464	1.1902287	0.29786766	0.6611799	0.102156065	0.8589393	0.9176383	0.46901944	0.11822025	0.22971132	0.0064595514			
ACO2_7967	79250	aco2	2.011667672500503E-4	0.005244396776076087	1.0639356	1.0639356	-1.0056341	-1.0174099	-1.0020717	-1.0047766	-1.0137924	-1.0126976	1.011622	1.0281562	1.0639356	0.6655711	0.3415116	0.8647166	0.7788659	0.29004773	0.41337344	0.45899668	0.03699894	0.002827566			
ACOT1_7968	50559	acot1	0.0038283296393310496	0.020711496314768846	1.0766261	1.0766261	1.0093192	-1.0041893	1.0296727	1.0130757	1.009636	-1.0127475	1.0013679	1.0302069	1.0766261	0.51126444	0.8484377	0.39554444	0.40364116	0.55029947	0.4178809	0.9189932	0.21628627	0.015816487			
ACOX1_7973	50681	acox1	6.004803843074459E-4	0.009340324921578725	1.0710629	1.0710629	-1.0036169	-1.0105206	1.0044235	-1.0051986	-1.0202485	1.0055134	1.0165868	1.0377483	1.0710629	0.7667669	0.44656253	0.6995667	0.7428075	0.14051495	0.7096883	0.17266965	0.0068015438	0.07181893			
ACOX2_32902	252898	acox2	0.025186379206125327	0.0638460311514867	-1.3086296	1.3086296	-1.3086296	-1.1088326	-1.0149369	-1.0265968	-1.2539024	-1.1886252	-1.0702102	-1.2288026	1.253183	0.3183767	0.39356023	0.9350462	0.8416357	0.115632	0.23715025	0.59998137	0.09505231	0.049991667			
ACTA2_33040	81633	acta2	8.131734092295182E-4	0.01042891868579942	1.3161215	1.3161215	-1.0415859	1.075273	1.0668789	1.0034612	-1.0630926	-1.000733	-1.028382	-1.0743488	1.3161215	0.6404222	0.23862943	0.362054	0.9538937	0.42276746	0.9936562	0.6567615	0.46704933	6.79276E-4			
ACVRL1_32420	25237	acvrl1	0.0022070626003210273	0.016358505080864463	1.2129822	1.2129822	1.0055214	1.0342782	1.0507262	1.004724	1.0199177	-1.058227	1.0472058	-1.0067993	1.2129822	0.9193261	0.4375333	0.19761612	0.94288325	0.61553943	0.45871904	0.42265478	0.8597675	0.040708303			
ADCK3_7987	360887	coq8a	0.043764988009592325	0.09408529211113867	1.3973559	1.3973559	1.2344378	1.2420131	1.2794108	1.1430683	1.1221673	1.1959478	1.1015525	1.1557943	1.3973559	0.16048917	0.23088925	0.120772764	0.44721332	0.6346697	0.2573846	0.6099558	0.44209814	0.12050736			
ADCY4_7988	54223	adcy4	0.016215147320545777	0.04830494034932488	1.8487412	1.8487412	1.256256	-1.2242894	1.6984736	-1.4230475	-1.2241482	1.2179416	1.040962	1.315125	1.8487412	0.44404304	0.66033614	0.06329277	0.4890879	0.6807243	0.50108254	0.90147316	0.351189	0.051804215			
ADH5_7991	100145871	adh5	1.9936204146730463E-4	0.005244396776076087	1.0779533	1.0779533	1.0038933	1.0164633	1.0407492	1.0031626	1.0095288	1.0115407	1.015507	1.0284641	1.0779533	0.6347256	0.07801784	0.09300154	0.8302613	0.22684239	0.27518743	0.14000621	0.12026553	0.013457778			
ADHFE1_7993	362474	adhfe1	0.003630496167809601	0.020469726352079293	1.0485241	1.0485241	-1.0034719	-1.0018398	1.001975	-1.0056217	-1.0139178	1.00553	1.0134966	1.010981	1.0485241	0.84175044	0.88459754	0.86283815	0.6631789	0.3872447	0.78998405	0.45244887	0.28541392	0.021155054			
ADM_33168	25026	adm	0.012065439672801636	0.0397659489859683	-1.1397392	1.1397392	-1.0260029	-1.0177399	-1.1334466	-1.1356345	-1.0253178	-1.039719	-1.1397392	-1.0185378	1.1389606	0.59552693	0.71437114	0.17161301	0.043031737	0.766847	0.5121479	0.068905696	0.64262843	0.14915739			
ADO_7995	309732	ado	0.012438302073050345	0.040414352826930684	1.5657005	1.5657005	1.0255721	1.1266326	1.3201232	1.1182928	1.0975242	-1.1564293	1.2675204	1.2604941	1.5657005	0.8731626	0.59697646	0.15555048	0.5633779	0.6463394	0.5525222	0.22481416	0.28101605	0.027531499			
ADRB2_7997	24176	adrb2	0.03367614438394838	0.07839429176893467	1.1900489	1.1900489	1.0014732	1.1141003	1.0722402	-1.0006694	-1.0724394	1.034943	1.0925752	-1.1785469	1.1900489	0.98406214	0.14293195	0.2994452	0.9938187	0.5519212	0.7411773	0.31000644	0.15601063	0.04538711			
ADSL_32625	315150	adsl	9.97207818109294E-4	0.011001615776151587	1.154857	1.154857	1.0007585	-1.0160813	1.0614265	-1.0227253	-1.0567323	-1.0075966	-1.0031717	-1.0437243	1.154857	0.97711545	0.64396864	0.13549046	0.5441328	0.2691237	0.71202856	0.94088537	0.38034937	0.007276413			
AGL_8002	362029	agl	2.0374898125509371E-4	0.005244396776076087	2.8711295	2.8711295	1.217658	-1.147597	1.038	-1.1541737	-1.3455905	1.1783307	1.6370326	-1.1871321	2.8711295	0.44225186	0.76318437	0.9371941	0.7038026	0.48963577	0.5804121	0.1269716	0.5921724	7.399118E-6	100.0	300.0	
AGRN_33146	25592	agrn	5.990415335463259E-4	0.009340324921578725	1.2636198	1.2636198	1.0799369	1.0641028	1.2061968	1.0434214	-1.0010763	1.0639946	1.0953869	1.0586325	1.2636198	0.20610905	0.44611737	0.017739069	0.6173037	0.98908544	0.25727358	0.20204277	0.44397354	0.009453204			
AHNAK_32407	191572	ahnak	0.0028	0.0179577193117815	1.11976	1.11976	1.0216621	1.0294282	1.0845089	1.0166711	-1.0121082	1.0103027	1.0242339	-1.0220265	1.11976	0.39250368	0.43017572	0.020546013	0.74239606	0.75995505	0.73466045	0.37404135	0.5733177	0.0108984			
AKAP8_8008	116633	akap8	4.0160642570281126E-4	0.007576131577848074	1.1714035	1.1714035	-1.001103	-1.018152	1.0719304	-1.0071832	-1.0282956	-1.0203199	1.0414381	1.0019886	1.1714035	0.9778783	0.7016839	0.10799848	0.8848735	0.5040931	0.5502946	0.3055241	0.96279436	0.0024628837			
AKAP8L_8009	299569	akap8l	2.014098690835851E-4	0.005244396776076087	1.1992651	1.1992651	1.0410821	1.0258586	1.1217437	1.0198147	-1.0036974	-1.0052422	1.0392789	-1.0097913	1.1992651	0.3337166	0.59493446	0.014007784	0.67928904	0.94652635	0.891839	0.42703184	0.8336183	0.00228399			
AKR7A2_8014	171445	akr7a2	0.012522722682286406	0.04052186265479216	1.091059	1.091059	1.0090867	1.0071033	1.0409112	-1.0287584	-1.0343498	1.0126051	-1.0210611	1.0142459	1.091059	0.6208353	0.71855617	0.27833584	0.22068736	0.20300157	0.4142655	0.3890464	0.5884134	0.13823232			
AKT1_8016	24185	akt1	0.0035870864886408927	0.020469726352079293	1.0801587	1.0801587	-1.0003055	-1.0000186	1.0478449	1.0008303	-1.0222456	1.0003834	1.0139793	-1.0048276	1.0801587	0.988078	0.9994242	0.05438714	0.97912776	0.46747476	0.9865041	0.5349275	0.81935716	0.009663856			
ALAD_8017	25374	alad	0.003790901835594573	0.020711496314768846	1.223826	1.223826	1.0942266	1.0102516	1.1198598	-1.0082308	-1.0770866	1.0620096	1.0251569	1.0635244	1.223826	0.047583256	0.8673945	0.15806265	0.88641334	0.32878968	0.14126307	0.63355935	0.43582332	0.027413491			
ALAS1_8018	65155	alas1	0.0016223889677550193	0.014072460829005495	1.1333994	1.1333994	-1.0014817	-1.0186166	1.0190282	1.0076352	-1.0162201	-1.0329118	-1.0222317	1.0422724	1.1333994	0.97740257	0.54795796	0.5737107	0.77592605	0.72741354	0.39838788	0.46422568	0.14146447	0.010124285			
