Subject Type: In Vivo
Species: Rat
Strain: Sprague-Dawley
Sex: Female
Organ: Adrenal
Test Article: Perfluoro-3-methoxypropanoic acid
CASRN: 377-73-1
DSSTOX: DTXSID70191136
Study Duration: 28d
Article Type: Chemical
Article Route: Oral
Article Vehicle: Feed
Administration Means: Dietary
Platform: BioSpyder S1500+ Rat
Provider: BioSpyder

	A52	A53	A54	A55	A56	A57	A58	A59	A60	A61	A62	A63	A64	A65	A66	A67	A68	A69	A70	A71	A72	A73	A74	A75	A76	A77	A78	A79	A80	A81	A82	A83	A84	A85	A86	A87	A88	A89	A90	A91	A92	A93	A94	A95	A96	A97	A98	A99	A100	A101	A102
ABCC4_32768	1.8925982	3.1503487	3.4045048	3.2852418	3.5102093	2.7070568	4.4253335	1.965035	2.7238863	3.381547	3.554564	1.1416163	3.6939182	4.3652673	2.8639636	4.035502	3.2872112	3.2626343	4.3498588	3.3821292	2.8337228	3.0658927	2.5550888	2.8668723	2.816017	3.179992	2.7570672	2.3731246	3.1345222	2.8379405	3.1302834	2.0950232	3.2995543	2.9577117	2.8740604	1.5241174	3.7263901	2.9856894	4.12489	1.2391014	2.78017	3.2079782	3.4892914	2.8509634	2.5501149	2.7932696	3.8768618	1.2488226	2.975508	3.5009935	1.9709916
ABCC5_7942	9.608815	9.647824	9.486716	9.880171	9.281338	9.680709	9.588338	9.515494	9.8745	9.806474	9.976667	9.410958	9.605443	9.95364	9.613166	9.85318	10.1344595	9.758264	9.899829	9.5358515	9.746642	9.728471	9.644104	9.822675	9.786522	9.441339	10.108628	9.534433	9.954032	9.502497	9.782242	9.723253	9.912959	9.325957	9.817222	9.483406	9.728498	9.565043	9.876868	9.9583435	9.670012	9.764359	9.311209	10.067511	9.734973	9.786896	9.738779	9.918823	9.619319	9.0998335	9.250351
ABCF1_7945	7.0612473	7.212094	6.9307966	7.3081617	7.0148754	6.4696803	7.2076707	6.681558	7.18356	6.776972	7.033146	6.727191	6.3715305	7.2734833	7.0035496	6.702806	6.862568	6.977189	7.19409	6.746587	7.0004487	6.8864455	6.941645	7.0298204	7.079699	6.995365	6.9234858	6.7294536	7.4707665	7.0833874	6.775906	7.021589	6.6534357	6.731918	6.9877944	6.8971767	7.0418973	7.200005	7.3288436	6.8232713	6.965665	6.912745	6.9387994	6.8653703	7.3004174	7.055139	7.0233297	6.5637717	6.9608827	6.9340167	5.975262
ABCF3_7946	6.309074	6.5316024	6.455464	6.620654	6.525879	6.2291136	6.6765566	6.26667	7.0218077	6.849488	7.3333316	6.7353806	6.5008063	6.7280293	6.9038997	6.637366	6.759387	6.6467395	6.5831165	6.825786	6.8342814	6.8864455	6.9898906	6.8525696	6.863843	6.1196814	6.8747497	6.6372504	6.8471646	6.821027	6.826078	6.706056	7.0240674	6.280108	6.706123	6.919708	6.9196415	6.3449	6.9514422	6.857527	6.736713	6.912745	6.6831627	6.947572	6.6948814	6.8571386	6.9642954	7.011362	6.8791013	6.6395125	6.497668
ABCG2_32656	3.1920521	2.0108764	1.7150645	3.6628006	2.8066478	2.393349	3.5621963	2.4212456	2.7238863	2.2536147	2.5573542	2.9325418	2.672112	2.4404335	3.2575853	4.101696	3.2872112	3.358772	2.8545568	4.100898	2.9422903	3.1769946	2.1646566	3.1990073	3.7819533	2.5454278	2.3311732	3.0297668	2.7732315	2.8379405	3.365592	3.6000228	3.9216058	2.6472468	3.2390428	3.9433105	1.7199461	3.508626	3.4575353	3.799594	2.78017	2.148466	2.7913256	2.9701731	3.9607368	3.7661157	3.9995418	3.815217	4.271094	2.2840886	3.4501257
ABCG8_7948	1.5547758	0.0	0.0	0.0	1.9253916	1.1865808	0.0	0.0	0.0	0.0	0.9834985	0.0	0.0	0.0	1.4397624	0.0	0.0	0.0	0.0	1.2305641	0.0	1.2269412	0.0	0.0	0.0	0.85303915	0.0	1.4811409	0.72114176	0.0	2.0364778	0.72636575	0.0	0.0	0.0	0.0	0.81946135	1.6212015	0.0	0.0	0.79382646	0.75421387	0.62145245	0.0	0.0	0.0	0.7241726	0.0	1.4416606	0.0	1.4605983
ABHD1_7949	3.064184	2.8197784	2.9725714	2.5023532	3.608052	1.6447227	1.4367893	2.2846017	1.6334022	3.196237	0.9834985	2.684429	1.7605504	2.057586	2.3209019	2.839848	1.9711275	1.8660513	2.7093518	1.5944917	3.0432568	2.3282924	3.2266061	1.8147258	1.2281728	2.732077	2.4875288	2.6724439	3.2373066	2.1429553	3.1302834	2.30065	1.469481	0.0	2.3842812	2.4269578	2.978694	3.1065395	1.4657948	3.195834	3.0594704	1.6135961	2.0808415	2.038229	3.050539	3.508553	2.0907738	3.5863793	2.4794607	2.0791116	2.7741544
ABHD4_7950	5.2990265	6.350589	6.2969317	6.0258865	6.073864	5.9600964	6.506388	5.5688696	6.234312	5.226176	6.1570907	6.3221335	5.0021424	6.4539	6.142665	6.7344456	5.532053	6.0109596	6.7594604	5.6674304	6.334112	5.857479	6.5058403	6.6684184	5.892573	5.2513366	6.1553144	6.1102877	6.4788766	5.2699027	6.36525	5.9961343	6.015516	5.725058	6.3681197	6.003653	5.8477783	6.1193204	5.8573933	6.7153354	6.4524083	6.5917544	5.6896286	6.1543617	6.0435157	6.314676	6.1841774	6.2482657	6.2684865	5.960788	5.262313
ABHD6_7951	5.828098	6.227637	6.3544207	5.709483	6.442128	5.847369	6.6925197	6.1436653	5.7803774	6.2785697	6.234029	5.880232	6.4622483	5.9915276	6.328369	6.341146	6.56169	6.2173867	6.740898	5.991325	6.3926888	6.439705	5.6770515	6.108191	5.6246047	6.2167163	6.532742	6.3403664	6.012382	6.674307	6.507325	6.3717027	6.492668	6.1938047	5.52426	6.5573483	6.3853045	6.0903044	6.5334406	6.178456	6.51161	5.9082665	6.2138443	6.0634403	6.1084266	6.341307	6.0767984	6.0676117	6.668056	6.471395	6.401267
ABL1_7952	4.0781507	4.433349	4.827685	4.254072	4.619795	4.1013365	5.063346	2.1336486	4.5925655	4.310617	5.0122175	3.0422387	4.147137	4.4923444	4.1339498	4.7643485	3.8946757	3.8305264	4.2483754	4.100898	3.8452504	4.7625446	4.4063234	3.764435	4.7285366	3.619205	4.403317	4.637451	4.9763107	3.5769222	2.9964721	3.3451872	2.7860544	4.361391	4.555272	2.9780233	4.795255	3.8227272	4.263706	4.50895	5.0244823	3.7399368	4.8844237	3.9923668	4.1698313	5.3848243	4.533962	3.884084	5.020863	4.0428414	2.7741544
