Subject Type: In Vivo
Species: Rat
Strain: Sprague-Dawley
Sex: Female
Organ: Thymus
Test Article: Perfluoro-3-methoxypropanoic acid
CASRN: 377-73-1
DSSTOX: DTXSID70191136
Study Duration: 28d
Article Type: Chemical
Article Route: Oral
Article Vehicle: Feed
Administration Means: Dietary
Platform: BioSpyder S1500+ Rat
Provider: BioSpyder

	A52	A53	A54	A55	A56	A57	A58	A59	A60	A61	A62	A63	A64	A65	A66	A67	A68	A69	A70	A71	A72	A73	A74	A75	A76	A77	A78	A79	A80	A81	A82	A83	A84	A85	A86	A87	A88	A89	A90	A91	A92	A93	A94	A95	A96	A97	A98	A99	A100	A101
CGRRF1_8300	6.9870167	7.1158676	6.7744637	6.2572637	7.175869	7.154359	7.1405945	7.0720944	6.903718	6.857441	7.2987847	6.985838	6.6465173	6.891092	6.97625	7.2408967	7.326127	7.093499	7.179482	6.81716	6.959816	6.8231144	6.872789	7.0796475	7.200301	7.1883864	6.9024463	7.1057367	7.3574347	7.053345	7.0464916	7.069688	7.1624966	7.206384	6.819087	7.185749	6.8923965	6.5693064	7.2439857	6.978508	6.8780866	7.285919	7.285427	6.7825413	7.1270485	7.1946325	6.413683	6.730827	7.1866083	7.3841133
CH25H_32637	3.5120895	3.941964	2.6242175	3.1281142	3.9410546	4.0079575	4.2450237	3.4384506	4.906591	5.076784	4.0741134	3.7241788	4.076349	2.9640415	4.1419787	4.0166707	3.7243426	4.4652367	3.3989213	3.6060135	3.5287352	4.4288692	1.7369374	3.8226986	4.154116	3.9285393	2.7654781	3.6097162	4.0435605	3.0990763	4.855304	2.957591	5.1778564	3.5969973	4.2875385	4.5893188	3.6322734	2.7964063	4.4161205	2.7553277	3.2219641	3.6698112	3.4900603	6.2085567	4.6954274	4.1859045	3.975409	3.9260592	4.011236	6.1183834
CHCHD4_8302	6.452583	6.5047326	5.9443245	5.769644	6.571892	6.5260634	6.1725016	6.635346	6.459125	6.069678	6.461706	6.410623	6.328185	6.54723	6.6892877	6.525376	6.6160994	6.389713	6.6877885	6.522012	6.0877304	6.3126607	5.946379	6.1477337	6.330828	6.185482	6.342373	6.560673	6.3662057	6.418142	6.9410667	6.453414	6.28534	6.7340994	6.4301667	6.406509	6.4966598	6.4269896	6.5218954	6.310555	6.9768043	6.075801	6.7709537	6.661444	5.4958863	6.523863	6.2333727	6.034487	6.694708	6.5371118
CHDH_8303	1.5323318	3.319142	2.6242175	1.1956536	3.289129	1.8134216	2.5919912	2.3834002	2.8505895	3.1731637	2.310589	1.2851884	2.9283342	3.4860196	2.965928	2.3208613	3.5766625	2.0045633	1.679615	3.0791085	2.9591317	3.1809173	1.5193479	3.418088	2.286233	2.6260598	1.6364478	2.9494607	0.74286735	1.5321549	2.0374303	2.5204928	3.396833	1.3706044	3.5079443	1.7256354	2.1127045	1.1305459	3.4821615	1.6585646	2.9381824	2.9097645	2.2190056	2.9668243	4.0581093	3.2630703	2.5143669	3.231322	2.9214613	1.439266
CHEK1_8304	5.7162075	5.9969525	5.692533	4.8125086	5.6107244	5.365832	5.797113	5.545079	6.026811	6.771794	5.5407047	5.46317	5.7521725	5.3138804	5.8897505	5.298824	5.7647333	5.8068724	5.7517366	6.4500675	5.7671123	6.1130824	5.3457355	5.9519567	5.7020426	5.511606	5.7189193	5.5871315	5.2495375	5.57512	6.556952	5.6938195	6.7260423	6.128908	6.286885	5.6721587	5.5125484	5.584419	6.5844164	6.1297927	5.7409964	5.7311735	6.138707	7.0433903	7.1270485	5.7558174	4.900625	5.488414	5.1101236	4.085515
CHEK2_8305	4.877153	4.741181	4.6409173	4.778995	5.005047	4.9624095	4.9623556	4.863823	5.45287	6.457558	4.284218	5.314796	5.06179	4.7830358	5.132017	4.9714017	4.3877273	4.9945745	5.089641	5.848673	4.959679	5.290704	4.6322293	4.695727	5.0858226	4.972398	4.774124	5.316626	4.537635	4.966929	6.7038455	5.4916506	6.6647997	4.720969	5.5757	4.63469	4.355797	4.763791	6.187868	5.3156533	4.5541296	4.7580805	5.487637	6.6120205	5.959005	4.8193665	6.103416	5.946624	5.726598	5.0671544
CHERP_8306	2.5188687	2.8047018	2.1000137	2.4638057	2.5326867	1.5291022	1.65783	3.4384506	3.5052454	5.934321	3.0464158	2.5921547	2.9283342	3.299243	3.535858	1.7645935	2.2803793	2.648966	1.9774263	5.140543	2.812212	2.6169958	2.2428248	3.1065123	3.8651593	1.1974528	2.5223663	1.995923	2.3337076	2.0543709	4.855304	2.1322904	6.112638	3.0243285	4.1131525	2.2766244	1.2779881	1.9904245	5.1257997	2.7553277	2.9381824	2.778936	2.429447	6.098022	5.518462	1.9511201	4.353539	3.6574912	3.7543156	3.6336858
CHIC2_8307	1.5323318	3.403189	1.7432796	1.8403511	0.84619015	2.2546313	3.0329328	2.1746328	2.9824512	3.7759664	2.7952027	2.4090967	3.3585696	2.3453512	1.7097727	2.5349493	2.762792	2.464409	1.679615	3.3134062	2.4640684	2.4332752	2.378479	2.9856625	3.01958	2.9004745	2.6490371	2.4549835	2.1268055	2.5959332	4.1128645	2.826077	3.67048	1.3706044	2.7926984	2.4891615	1.7548914	2.667295	3.4821615	1.9545798	3.2219641	1.2035087	2.2190056	3.7303836	4.0581093	2.7513552	3.2983289	2.2847803	3.0415485	3.0734644
CHKB_8309	5.594347	5.713954	5.7937016	5.0835276	5.9824066	5.343667	5.7205515	5.6294436	6.1857495	7.316503	5.9785028	5.3908896	5.3223834	5.623568	5.649817	5.659758	5.8314166	5.6641726	5.6708484	6.6559577	5.7470264	6.097712	5.441798	6.0456257	5.9179025	5.7028537	5.432287	5.674148	5.4846992	5.4763827	6.807466	5.7310634	7.502968	5.779176	6.5261025	5.6937566	5.5422635	4.969477	6.701874	5.661394	5.7632947	5.6016717	5.7453027	7.5893855	7.3321223	5.9688983	5.8470354	5.4029584	5.653088	5.741361
CHMP6_8311	4.350386	3.6294222	3.089744	3.1281142	3.782823	4.0079575	3.5579097	3.1263714	1.9112358	3.7038028	3.3564253	3.4672759	2.9283342	3.3956518	2.6551723	4.086208	3.2263734	3.2148783	3.902558	1.9929019	3.7866135	3.29313	2.9132533	2.708565	4.045376	3.8659298	3.0672047	3.3170345	3.47281	3.6267955	4.1128645	3.3889556	3.180516	2.8764	3.914752	2.9858232	2.6380785	2.7964063	2.3419492	4.1323442	3.0870397	3.4292722	2.7759268	3.3021104	2.7427983	3.8695798	4.176827	3.501787	4.068904	4.224109
CHP1_33118	3.3871763	4.4564767	3.7738855	3.230842	3.5072508	3.6225052	3.0329328	4.4652076	4.077033	4.3957872	3.5313544	3.0331047	4.23674	3.8685026	4.0787506	2.0693734	3.2263734	3.09283	3.294797	3.3134062	2.9591317	3.5853179	2.9132533	3.891592	3.8651593	3.8659298	3.6552906	3.7763176	3.47281	3.4713957	5.2868047	3.9272652	3.9004054	3.6885626	3.4107516	3.2418315	3.5759225	2.667295	3.5671792	3.7249916	4.2089996	2.4752064	3.5810106	5.04637	3.3578646	2.8972752	4.176827	4.3015156	4.011236	4.1793747
CHPT1_33298	5.314583	6.354494	5.718498	5.487889	6.21709	5.6266994	5.261551	5.6497855	5.96438	6.3552737	5.5610204	5.9050307	5.480305	6.295631	5.9616117	5.43832	5.7984605	5.3809743	5.5173693	6.5680566	5.4064107	5.9342685	5.2428174	5.885952	5.7547994	6.051239	5.534291	5.7955594	5.1975284	5.555906	6.193662	5.3551826	6.5565715	5.6021023	5.966152	5.627969	5.5422635	5.3309426	6.511207	6.1149025	4.953732	5.582185	6.029911	6.181707	6.834936	5.48278	5.657966	5.946624	5.5555987	5.771814
CHSY1_8317	6.6215434	6.842421	6.517764	5.8363314	6.785176	6.413528	6.4817514	6.583416	6.9687705	7.3104415	6.982162	6.434791	6.7913494	6.658284	6.7206926	6.633854	6.785441	6.639015	6.7966394	7.5717783	6.349891	6.939768	6.327887	6.6333823	6.575312	6.8350096	6.2252517	6.2138033	6.7827597	6.470387	7.294925	6.7809525	7.198955	6.396672	7.132755	6.6357975	6.248882	6.3967605	7.0800796	6.5727377	6.7160587	6.615782	6.985921	7.164897	7.3573885	6.5350556	6.403678	6.4079103	6.961522	6.7043233
CHUK_8318	1.9406534	2.8047018	2.2499688	1.5537186	3.166309	1.5291022	0.7811262	1.6363695	2.8505895	3.8446915	2.104576	3.0331047	2.4927802	3.0846384	2.2585654	2.3208613	2.2803793	2.648966	3.0608685	3.5149162	2.9591317	2.779941	2.0930786	2.708565	1.5552782	2.081803	2.6490371	2.8026946	2.8199723	1.8167635	3.3667293	2.3394096	3.180516	1.756461	3.072373	2.6743705	2.5235665	1.9904245	3.4821615	1.9545798	1.8070123	2.4752064	2.2190056	3.573982	3.7877216	1.9511201	1.7470583	2.7675169	2.9214613	1.7147678
CIAPIN1_8319	3.3871763	3.13476	3.4411387	3.1281142	3.5072508	3.5469172	2.7544117	2.5657415	4.077033	4.7583957	1.5755196	2.5921547	4.1852326	3.6513636	2.6551723	1.3776911	2.619196	2.959494	3.0608685	3.9218886	1.3253298	3.1809173	2.8209953	2.9856625	2.899758	2.9004745	2.2298152	1.995923	3.47281	2.5959332	4.5553403	3.078112	5.468087	3.3943403	4.1736536	2.6743705	3.1819026	3.0244071	4.6678486	2.592888	2.3688471	3.594002	2.6130633	5.2921023	4.734522	3.0297825	4.782055	3.501787	4.011236	3.6336858
CIB1_33206	7.728037	7.9901376	6.960029	7.348338	7.7468247	7.85629	7.739225	7.683388	7.586621	7.051648	8.017453	7.659635	7.7542195	7.750182	7.594592	7.620725	7.565306	7.873334	7.590197	7.3393145	7.7968025	7.560591	7.4783926	7.7332134	7.764944	7.5734572	7.6230507	7.6740685	7.762834	7.655141	7.136798	7.619139	7.1250925	7.974728	7.3383427	7.4369216	7.7997727	7.649772	7.2822094	7.797365	7.686023	7.706165	7.84912	7.0582275	7.6560817	8.105862	7.1657352	7.365909	7.3640966	7.7858424
CIDEC_32477	2.3945668	1.1358157	1.7432796	2.4638057	1.7626641	1.1746458	0.0	1.6363695	1.6187009	2.8104782	2.104576	0.0	2.1064	3.1959274	1.3300202	0.0	1.5504222	0.80996424	1.679615	1.3162525	2.2524018	0.0	0.5525282	2.1571875	3.4187996	1.555824	1.0387852	1.3186675	1.2308161	1.5321549	2.850054	0.74573284	1.3025253	3.3943403	1.9871837	1.3437897	3.2555058	1.7565243	1.8926816	0.0	1.8070123	1.8503922	0.79172647	2.8351803	1.2770437	3.0297825	2.3573506	3.017978	2.9214613	3.6985297
CIRBP_8321	6.9488497	6.8119946	5.805863	5.66345	6.377956	6.195722	6.614617	6.74341	7.2165537	8.053478	7.179024	6.386043	6.363371	6.4154553	6.7412558	6.4215875	6.3465347	6.6819787	6.558854	7.037724	7.3071256	6.6859503	6.4329195	6.8651624	6.9593477	7.116252	6.304379	6.076791	7.2969317	6.520806	7.4882045	7.0328784	7.9634113	6.78685	7.3710065	6.6579423	6.3277826	5.7999454	7.263224	6.813091	6.494048	6.778731	6.423121	8.403002	7.6662273	6.9065294	7.327945	6.3969016	6.4011674	7.7969904
CISD1_8322	9.700129	9.873425	9.548029	9.395198	9.966617	9.81281	9.965317	9.974711	9.633334	9.621412	9.9692955	9.647827	9.830028	9.742859	9.975983	9.769827	9.925684	9.939028	9.994991	9.54321	9.748389	9.642199	9.573859	9.846723	9.809639	9.652511	9.762965	9.725887	9.896828	9.64295	9.14104	9.810241	9.7817335	9.957823	9.622249	9.682318	9.740672	9.72465	9.76586	9.949705	9.817571	9.765029	9.721116	9.467688	9.349201	9.825927	10.00141	9.770983	10.103119	10.0730295
CKAP2_8324	6.9543643	7.05221	7.129271	6.482175	6.9982157	6.919808	6.812025	7.0796113	7.2561817	6.9998527	6.8061175	6.9693866	6.8831058	6.4154553	7.108761	6.829035	6.768523	6.9426694	6.9587474	7.1095376	7.132329	7.015335	6.993936	7.042259	6.758703	6.9144964	6.8637824	7.167027	7.025823	7.1779704	7.168284	6.883754	6.9564586	6.8771977	7.109714	7.033153	6.402591	6.8477955	7.013473	7.034968	7.1219206	6.9931097	7.216176	6.852307	7.0746913	6.817663	6.914137	6.8726683	6.9151096	5.59576
CKM_32556	9.072745	3.13476	1.2682979	0.7183006	2.0672905	3.1973834	1.2850729	1.2665668	2.1543367	1.5873922	0.0	1.9539274	1.2156549	0.0	0.81313956	0.84740436	0.71634084	2.2527306	2.6185498	1.6938889	0.80978554	2.6169958	1.2630109	1.9139352	1.5552782	1.8426522	1.6364478	0.80502665	1.2308161	1.8167635	1.3519496	0.0	0.7935224	0.8422905	0.0	2.0272756	1.7548914	1.4772232	4.705842	0.78157586	0.8742511	0.0	0.0	1.2410022	3.3578646	3.1511369	3.012605	2.6238353	2.3061686	2.745473
CKS2_8325	9.807623	10.008694	10.016778	10.124929	9.889844	10.099914	9.82266	10.153631	10.003008	10.279377	9.796935	10.071435	10.10411	9.942578	10.101575	9.898629	10.036712	10.04568	9.970908	9.927912	10.100727	9.976426	9.839374	10.067496	9.965114	10.050187	9.916465	10.120948	9.719172	10.3027315	10.313511	10.023206	10.0919895	9.991923	10.053023	9.935574	9.962937	10.45157	10.051483	10.229185	10.197147	10.091372	10.127892	10.2127075	10.257893	9.95028	10.351636	10.3639	10.234138	8.968246
CLEC10A_32620	4.6513247	5.0844584	3.8696868	3.9855537	4.014105	4.8090825	4.7857313	3.6948812	5.0029163	4.090892	5.115503	4.4955087	3.830318	6.2186484	4.1419787	4.54716	3.9808679	4.1955733	4.5257087	4.6773977	3.7056699	4.6131177	4.2274976	4.532744	5.241809	6.536479	4.159625	3.7763176	5.2997365	4.6779747	5.4748225	4.3665285	4.655291	4.14166	5.0057836	3.733937	4.7866015	3.9880207	3.8645566	4.299699	3.5643456	3.6698112	3.1767366	5.214751	4.387353	5.174632	4.3113484	4.520198	3.8229606	6.473687
CLEC12A_33112	3.5707114	4.80437	3.4411387	3.5812464	3.166309	4.1165204	4.626998	3.771141	4.730212	4.4846067	4.0741134	3.8005633	4.018662	4.8526273	3.3340492	3.5097454	4.631765	4.1350174	4.5257087	4.1808734	4.3629413	4.523933	3.4329228	4.695727	3.5834134	4.67658	3.7712479	2.6392894	3.3825264	4.2219005	4.5553403	4.05024	3.396833	4.433978	4.583509	3.9646418	4.2517242	3.3104298	4.0532136	3.8013797	3.840856	3.1404426	4.4243884	4.173554	3.8602157	4.346995	3.7412355	4.203831	3.7543156	5.272778
CLEC4A_32636	4.478387	5.557685	4.162312	4.0985436	5.7455416	5.1529055	5.178122	5.028232	5.7953486	5.3134065	5.115503	4.6685367	4.8793592	6.1233144	5.4643664	5.077657	5.3067203	4.8132195	4.778266	6.195228	4.773642	5.7499146	4.857942	4.9750757	4.480778	6.320015	5.1829166	4.8773894	4.9684334	4.7808585	6.253603	4.268606	5.262973	5.479269	5.744755	4.917683	5.156847	4.8555546	5.9553146	5.681745	5.4967175	5.1242356	5.3650265	5.3414583	4.8810954	5.48278	4.956445	5.2644625	4.93511	6.0203304
CLEC4A1_32387	2.9305205	4.6408844	3.5022027	3.4166565	3.6050746	3.5469172	4.1313305	3.1263714	5.1781855	4.5270467	3.1573207	3.2664616	2.653025	4.2240386	3.3340492	3.7853594	3.6523914	2.959494	3.1825688	5.3394895	3.5287352	4.655724	3.3691974	3.6741796	3.01958	4.1548967	3.825909	3.3170345	3.47281	2.8693285	4.5553403	3.1893358	3.67048	3.8559105	4.393087	3.6480381	3.738773	3.549021	4.705842	3.3711543	4.072798	3.9985924	3.1767366	4.4232016	3.8602157	3.938637	4.353539	4.479033	3.5262954	4.76808
CLEC4A3_8330	6.8634963	7.520483	6.6177287	6.51308	6.8364305	6.753241	6.283116	5.821006	7.175806	5.018481	7.679368	7.002104	5.392191	6.3922734	7.0440264	5.76952	7.0107675	7.109325	6.9587474	7.4844365	7.3275576	6.4761167	6.463757	6.972417	7.053605	7.9316163	5.64484	6.526002	5.9452066	6.831621	6.922722	6.641207	4.8874645	5.84035	7.3116684	7.01611	5.695582	6.578313	7.087294	5.956885	6.231548	7.065067	6.8734694	5.8477592	6.6632166	7.5714135	6.804344	5.753006	7.028456	7.1374965
CLEC7A_32927	2.7393274	4.1508837	2.5099256	3.1281142	3.4023082	3.7627468	2.7544117	2.1746328	4.4854374	3.6278389	3.5313544	3.4672759	2.3124866	2.9640415	2.6551723	2.3208613	3.5766625	2.0045633	3.1825688	3.6060135	3.4314036	4.1595645	2.378479	3.5085979	3.3288677	2.7697818	2.873219	3.3170345	3.0718458	2.7390974	3.7463715	3.1893358	1.6780286	3.6885626	3.072373	3.3545973	3.5759225	3.2212443	2.9603484	3.3711543	3.0870397	3.2432795	3.3929882	3.3985403	3.5454297	3.3669412	3.6081572	3.7980156	3.255345	4.4667935
CLIC1_8331	8.775361	9.037474	8.908249	8.684308	8.666244	8.751618	8.918306	8.773228	9.143864	9.990904	8.8006935	8.622262	8.857551	9.313805	8.856568	9.065296	8.511529	9.113287	8.7206	9.136477	8.95985	9.039489	8.645498	8.596882	8.995161	9.376094	8.864288	9.176344	9.101261	8.644753	9.701134	8.799847	10.00097	8.823207	9.291252	9.149281	8.57545	8.80231	9.457489	8.744193	9.036153	8.792353	9.290316	10.143952	9.522551	8.775376	10.136673	9.245811	9.070422	9.29485
CLIC4_8332	8.044731	8.050027	7.9514894	7.4043617	8.113849	7.746539	7.851193	7.8856077	8.385553	8.792625	7.808181	7.612738	8.001325	7.913777	8.257781	7.694945	8.089318	7.9144483	8.106922	8.504282	7.6903863	8.230166	7.360441	7.8064055	7.7081113	7.9693313	7.535563	7.642047	7.8284254	7.497905	8.539407	7.9544373	9.145615	7.961021	8.4697695	8.048739	7.6912255	7.4532657	8.657916	8.025481	7.4452276	8.250757	7.9029975	8.834317	8.731926	8.086972	8.221769	8.021473	8.430166	8.567249
CLK1_32739	6.39697	7.2860208	6.9158273	6.7390356	7.15179	6.7018914	6.4104295	6.8874187	6.886986	7.9519954	6.7183967	6.2699375	7.270581	7.248194	6.3033094	6.766863	6.95204	6.70299	6.6139836	7.093885	6.3365116	7.2900968	6.276705	6.882191	6.3538113	6.9451046	6.741156	6.931244	7.333537	6.8864875	7.63064	6.3732295	8.204834	6.723314	6.6695538	6.833594	6.3615108	6.8477955	7.2113404	6.5617995	7.147577	7.297915	6.943701	8.236874	7.6813126	6.722961	7.022714	6.329024	6.4344563	6.6063385
CLK2_32549	2.633305	3.4826076	3.1672041	2.8977108	4.2741265	3.2930205	3.8003814	3.0052953	3.9539063	4.4846067	3.4465394	3.6435227	3.830318	3.6513636	3.535858	3.607585	3.4121234	3.2148783	3.5870197	3.9218886	3.5287352	3.1809173	2.9132533	3.9573452	2.286233	3.3296127	2.873219	3.8529184	3.920624	2.8693285	4.046638	3.3889556	4.655291	3.8559105	3.7654974	3.3545973	3.738773	2.9149063	4.220029	3.4680758	3.9223843	2.4752064	3.7473297	4.9541864	4.772585	3.938637	3.4615443	3.231322	3.1524036	3.9851222
CLPX_8334	4.6782346	6.101286	4.978351	4.8452616	5.634087	5.2514367	5.3404183	5.545079	6.1993666	6.457558	5.477982	5.3908896	5.273895	5.237891	5.5130115	4.6425757	4.8076844	5.3278575	5.209035	6.3080597	4.8509583	5.7100387	4.685528	5.5868263	4.814789	5.1405177	5.074223	4.6812735	5.1708035	4.966929	6.296979	5.204445	5.9510283	5.0319147	5.948946	5.215175	5.0156994	5.2202206	5.579045	5.391748	5.0656238	4.890729	5.3903966	6.154348	6.215408	5.174632	5.1839237	6.0057898	5.3844647	6.0329576
CLSTN1_8335	3.9254274	5.4824	4.162312	3.4166565	4.4423747	3.6943295	3.4670975	4.418548	4.803371	4.8942914	4.705172	4.071121	4.4698462	4.4201593	3.0993474	4.54716	4.2962575	3.8636436	4.219354	4.49874	3.6199133	4.099099	4.297642	4.695727	3.8651593	4.2063417	3.9784663	3.8529184	3.920624	4.0123363	5.315212	4.05024	4.814148	3.5969973	4.4431	4.16349	3.9749932	3.4737911	5.009094	4.2460423	3.9995503	3.5139868	4.4243884	5.075834	3.8602157	4.1859045	4.61867	4.6370816	4.6249237	4.429076
CLTC_8337	8.499846	8.970177	8.764546	8.255286	9.029913	8.591547	8.97296	8.716497	9.154388	9.283634	8.996135	8.603728	8.841003	9.070825	8.893782	8.608218	8.9432745	8.879512	8.9021	9.415234	8.68689	9.323367	8.493148	8.800942	8.670739	8.968314	8.506791	8.804342	8.557702	8.651558	9.421397	8.5042305	9.379604	8.682736	9.042263	8.748695	8.385653	8.671648	9.284686	8.6414385	8.753852	8.96967	8.864211	9.367007	9.281518	9.045709	8.493463	8.579243	8.79303	9.011955
CLU_32773	2.3945668	3.319142	2.6242175	2.8977108	3.5072508	2.735129	3.0329328	1.93046	2.9824512	3.0621002	2.4908266	3.37036	3.448698	3.727433	3.3340492	4.444984	3.2263734	3.09283	3.496034	3.7725787	3.863256	2.222697	2.5024672	3.6741796	2.7690759	5.030642	2.9734697	3.3170345	3.47281	2.258323	2.9975739	2.5204928	0.0	3.1584895	3.6846497	3.1194987	1.2779881	1.7565243	2.523106	3.6443317	2.77218	3.339271	3.0551	5.704208	3.1422179	3.1511369	3.012605	3.3272223	2.9214613	5.612683
CMA1_8338	5.9439435	5.2524858	4.6678195	6.911331	6.153841	6.244388	6.9691925	5.669845	7.1196218	5.5581546	7.632142	6.1582522	6.010739	9.271552	6.383987	6.6221957	5.6948175	5.481678	7.000723	6.348196	7.1477323	5.985275	6.6629252	5.885952	7.321839	6.643002	5.7189193	3.9949021	5.589311	5.455797	5.5243297	5.6938195	3.396833	6.192853	5.9999604	5.2737103	6.909599	6.2238812	5.3582697	5.3668265	5.169459	4.44942	6.7709537	5.435376	3.9951131	6.6527653	5.0619965	5.288488	5.5146804	7.2445154
CMPK2_33290	4.094785	4.5330906	3.8696868	3.230842	4.2133813	3.4671485	3.2662861	4.1595163	3.819283	4.722323	3.5313544	3.8731062	3.6895404	4.7099166	4.1419787	4.086208	4.4737425	3.9364204	4.219354	5.466475	2.2524018	4.3788805	3.3691974	4.2474957	4.10077	4.046153	3.7712479	3.7763176	4.5788755	2.8693285	4.734297	3.5642822	4.922771	4.2050543	3.8420541	3.8917637	4.287256	3.549021	5.009094	3.8739257	3.4589956	4.3142157	3.4900603	5.4579306	4.8810954	4.7822723	4.900625	3.12859	4.5859513	4.608513
CMTM3_33221	4.4474354	4.2449946	4.084582	3.797517	4.8136992	3.9504504	3.9419923	4.5967607	4.61301	5.132822	4.3788085	3.558089	4.4261413	3.9969988	4.3165636	4.774819	4.7398686	4.8513603	4.5709925	4.7590613	4.4648395	4.851707	4.1154394	4.9429755	4.7812734	4.7820706	4.242332	4.9136047	4.65798	4.3162727	4.855304	3.5642822	5.0237856	3.5969973	4.583509	4.282296	4.8592296	4.665792	4.3695393	4.62803	4.2725635	4.44942	4.094674	5.2667766	5.401874	4.445191	4.2230754	4.0990496	4.2789636	4.133208
CMTM7_32862	3.5120895	3.319142	2.7301157	2.2843535	3.6050746	1.1746458	2.4089377	2.5657415	2.3623204	2.941768	2.7952027	2.5921547	3.2624335	3.299243	1.7097727	2.3208613	2.4597113	1.3255799	2.6185498	3.8491642	2.812212	2.779941	2.9999647	2.9856625	4.3947434	1.8426522	2.873219	3.204604	2.9513988	3.3869317	3.131399	2.6813607	3.8277605	3.7746618	2.2344337	2.6743705	3.1819026	2.368197	3.5671792	3.155277	3.2219641	2.9097645	2.2190056	3.8714757	3.8602157	2.8972752	3.4615443	2.4642453	3.4415095	3.49454
CNDP2_8341	2.2585368	3.8846388	3.007888	3.1281142	3.0320523	3.0949533	3.4670975	3.3417356	4.244014	4.4846067	4.182987	2.9005527	3.448698	3.7996914	2.6551723	3.2915843	4.147164	3.09283	4.478957	4.29479	3.214507	3.494342	2.8209953	3.891592	3.7997117	3.5042074	3.1552193	2.8026946	3.2862132	2.5959332	3.977225	3.8616097	4.326669	3.6885626	4.050003	3.8150077	3.0223727	3.3944216	4.1109886	3.6443317	3.3453424	3.029709	3.1767366	4.512102	4.285731	3.938637	4.3113484	3.231322	4.011236	4.309621
CNKSR3_32548	4.5959506	4.569924	4.3062353	3.8629572	4.8933086	3.7627468	4.9623556	4.678239	5.3589244	5.8862243	4.8770638	4.708735	4.8793592	4.7830358	4.9672256	4.0166707	4.903782	4.071808	4.478957	5.2575617	4.959679	4.99133	4.5193357	4.080491	4.7118115	4.395531	4.3581285	4.840241	4.8042574	4.8768916	5.618521	4.585688	6.112638	5.0664625	5.0386863	4.8804984	4.656788	4.5606475	5.42812	4.929758	4.9144197	4.649922	4.3744073	5.795587	6.100397	4.004539	4.5109487	5.05633	4.8054028	3.49454
CNN1_32759	2.9305205	3.4826076	1.5252485	1.8403511	1.3760093	1.5291022	3.0329328	1.93046	0.7573031	1.8771195	0.0	2.5921547	2.3124866	0.7487247	2.470455	2.0693734	2.075549	2.0045633	1.3038975	1.9929019	0.80978554	1.6783384	0.0	2.5471098	1.1969863	1.8426522	1.3683467	1.6966769	2.8199723	1.5321549	2.0374303	2.1322904	1.9757054	3.1584895	3.5079443	3.1194987	3.1819026	0.6732921	2.3419492	2.592888	2.77218	1.5629075	1.6751089	3.0874538	1.9436728	0.77962667	3.6081572	3.6574912	3.351428	4.133208
CNN2_32878	10.564674	10.007854	10.149152	9.9913845	10.558368	10.264541	10.548414	10.234984	10.200443	10.168965	10.391319	10.17101	10.253813	10.415421	10.363562	10.261937	10.385665	10.254004	10.439995	10.355491	10.011986	10.114563	10.012957	10.439455	10.456779	10.355202	10.124971	10.382314	10.420903	10.09629	10.226449	10.247811	10.368153	10.65549	10.503271	10.427202	10.370039	10.043597	10.427622	10.2403755	10.259264	10.34511	9.879558	10.420764	10.368433	10.484762	11.45132	10.766954	11.201264	11.525618
CNN3_32615	8.793935	9.393942	8.555367	8.578707	9.611014	8.698027	9.281879	8.905998	8.989795	8.781712	9.229803	8.909906	9.195223	9.099734	9.078853	8.978808	9.127046	9.182243	9.416432	9.17604	9.120699	9.278062	8.449521	9.256025	8.900777	8.847946	8.720224	9.103749	8.969846	8.669547	8.536393	8.919619	9.220235	9.163573	9.157218	9.260196	8.88471	8.729389	9.070241	9.3352785	9.161073	9.386799	9.036808	8.851455	9.170078	9.076677	8.691494	8.869391	9.289402	9.21814
CNOT4_8342	5.0312133	4.864907	5.0414257	4.709537	5.3251567	5.019451	4.9623556	5.257611	5.1220956	4.9884214	4.9711556	4.8944674	5.2983427	5.454812	5.3618608	5.043101	5.676796	4.8132195	5.470342	5.0460963	5.4317985	5.0242224	5.2068124	5.4102507	4.7812734	4.8803706	5.264335	5.3697324	5.1708035	5.3922186	5.198065	5.122726	5.689237	5.693354	4.972113	5.436286	4.8592296	5.3521028	5.1807933	5.2353206	5.3570843	5.3938355	5.3129077	5.2667766	5.7459497	5.1162095	5.3803716	5.0280685	5.8468623	4.884133
CNPY3_8345	5.314583	5.941813	5.5113134	5.424277	5.8688297	5.492113	5.5092287	5.257611	6.0719233	6.500789	5.7320323	5.340609	5.501518	6.3567867	5.6926804	5.851687	5.39755	5.8639574	6.003711	6.4252663	5.4317985	5.8992343	5.426225	6.0606623	5.3139014	5.887537	5.8166275	5.2614894	5.462835	5.7028995	6.325188	5.5759473	6.7847905	5.6021023	6.340648	5.874832	4.7615566	5.3935137	6.3997245	5.5102806	5.7409964	5.5624313	5.6644216	6.958938	6.673312	5.387195	6.288784	6.220815	5.9270144	6.2754107
