Subject Type: In Vivo
Species: Rat
Strain: Sprague-Dawley
Sex: Female
Organ: Liver
Test Article: Perfluoro-3-methoxypropanoic acid
CASRN: 377-73-1
DSSTOX: DTXSID70191136
Study Duration: 28d
Article Type: Chemical
Article Route: Oral
Article Vehicle: Feed
Administration Means: Dietary
Platform: BioSpyder S1500+ Rat
Provider: BioSpyder

	A52	A53	A54	A55	A56	A57	A58	A59	A60	A61	A62	A63	A64	A65	A66	A67	A68	A69	A70	A71	A72	A73	A74	A75	A76	A77	A78	A79	A80	A81	A82	A83	A84	A85	A86	A87	A88	A89	A90	A91	A92	A93	A94	A95	A96	A97	A98	A99	A100	A101	A102
ABCC2_32541	5.8069367	5.4207582	4.120669	4.961365	5.0019016	5.7769933	6.0895844	4.6508408	4.806459	4.8654885	6.0542097	6.2950153	5.878607	4.2605095	5.50287	6.1674247	4.130398	5.1397095	5.54974	5.0176687	4.5760407	4.976199	4.8959436	5.464017	4.817409	4.8708196	5.4161053	5.09357	5.737554	5.3277516	4.7345457	6.4042153	5.8911467	5.509791	5.13246	5.390514	4.794485	6.6059575	5.690059	4.6427383	6.3496985	4.868228	6.1192417	5.0326085	5.1347394	4.383953	5.0019946	5.9456635	5.0429745	5.440571	5.6629543
ABCC3_7941	1.8856847	3.4336748	0.0	2.5139024	2.881201	3.6535742	2.9636004	2.2187026	1.9412099	1.2268404	3.5356498	4.055658	2.5534418	2.125702	2.0134	2.658931	1.7851106	3.284761	2.574325	2.2306483	2.7816195	3.8304188	1.8309125	4.055756	1.8691806	0.72874016	2.579879	2.292582	3.7095048	2.8914123	3.3172593	3.388875	3.611281	1.7032578	2.2380252	1.4362402	1.4977168	2.6283505	2.7279735	2.746243	2.1788576	2.378789	1.9737837	3.2355075	2.69724	2.4564686	3.0538995	2.845426	2.886259	3.5476182	2.3208134
ABCF1_7945	4.689109	4.5776806	4.3114448	3.919806	4.3293314	5.4346046	4.885714	4.4240203	4.0549803	4.651321	5.30914	5.3797684	4.9745092	4.042216	4.793296	5.7590623	3.4310606	4.3182406	4.380154	4.2366204	5.0723534	4.9225	3.85075	5.464017	4.385388	4.4614058	4.509865	4.9793253	5.367131	4.737679	4.6994085	5.429984	5.3517084	4.117576	4.912673	5.0625014	4.729844	5.1378736	5.273856	4.540259	5.4177647	4.2019587	4.77356	5.0037794	4.314323	4.51111	4.9461155	4.9688826	4.6113415	4.889017	5.0921593
ABCF3_7946	4.3123007	5.074014	4.582204	3.9640336	5.071853	4.8549457	4.9076715	5.0192933	4.5681663	4.8982844	5.2862773	5.4433336	5.2298756	4.4500732	4.971463	5.1873584	4.3190384	4.767496	5.157507	5.2686615	4.4087377	5.002317	4.766362	5.3580437	4.385388	4.4614058	4.9189115	5.0087457	5.02871	4.702539	4.088628	5.6874304	5.2701583	5.3393583	4.422657	4.7329316	4.477643	5.7924247	5.1421676	4.6093807	5.133543	4.573219	5.0277767	5.0885944	4.6656456	4.5900526	5.132899	5.1047883	4.309273	5.106846	5.395856
ABCG2_32656	4.689109	4.797081	4.120669	4.590182	4.8901715	4.8885236	5.4765234	5.5561166	4.6107163	5.1907835	5.632862	4.349108	4.946299	4.4938126	4.069882	5.321258	4.704656	4.090322	4.755881	5.6331525	4.167984	5.4060574	4.380006	6.1116323	3.8345344	5.910426	4.762306	4.310829	4.923238	4.8702583	4.1419463	4.5628324	4.8037543	6.1486697	5.624324	5.2027736	5.523276	4.932825	5.0954576	5.4722776	4.7792397	4.6091385	4.7423368	4.603653	3.9086936	4.627961	4.439369	5.74392	6.0521517	5.204552	6.465063
ABCG5_7947	2.2550159	2.7830825	1.7905107	1.7466631	4.1469026	2.3472807	2.0613103	2.6127405	0.77405447	2.6695151	3.4559414	4.4761147	0.6859772	3.1817336	3.7169144	2.906295	2.2233217	1.9690943	1.5152438	3.3552449	1.564986	2.7549443	2.612409	2.7283485	2.4965103	2.4855142	2.579879	2.292582	3.4303684	3.4100626	2.4551878	2.9714127	2.9509447	0.64532226	3.2741406	3.2525873	2.942577	3.5710325	3.1498024	3.074262	1.4667442	2.378789	3.2013695	1.1985972	2.3968658	1.1906087	3.6513977	2.0333667	1.2754717	2.4553113	1.4396927
ABHD1_7949	2.7927766	2.2992866	2.5652916	2.2537787	3.399369	3.488207	3.045104	1.9722505	3.251087	2.5089064	3.3715703	3.7552574	3.5799336	2.8187435	2.0134	3.679486	2.7014403	2.9182432	2.966134	2.5667174	2.0924027	1.9542458	2.7558799	2.044776	3.8345344	3.440669	3.3695264	3.6665256	3.831128	2.4578505	2.4551878	3.236064	3.7380126	3.153358	2.717268	2.613164	2.551855	3.8556197	2.9542506	2.864066	3.379602	3.0359254	2.7773542	3.4213889	2.3968658	3.3186686	2.825198	3.3618765	3.1968403	4.2166343	3.9857554
ABHD4_7950	1.8856847	2.6391218	0.0	1.5283972	0.0	2.8345015	3.1222486	1.6748438	2.1859758	2.1214616	2.8546715	2.7282596	2.825361	2.125702	2.822659	3.1173892	1.5032656	1.671935	2.4158757	1.5093029	1.8526627	2.153857	2.069367	3.1902735	2.4965103	1.5712272	2.4212997	2.632058	2.755594	2.4578505	2.4551878	3.388875	3.235067	2.3070264	2.5745082	2.1415288	2.694181	2.5020423	2.8455436	1.4398373	2.653501	2.0002575	2.8955998	1.1985972	2.017051	2.2772322	2.2179341	2.5728278	2.2948835	3.266589	2.9727888
ABHD6_7951	1.3880074	3.1447456	3.3244796	1.9362055	3.6936889	1.8975352	2.0613103	2.775597	2.5778475	3.1768382	2.0414863	2.7282596	2.9442408	2.8187435	3.1533265	1.7495389	2.8310912	2.7719796	2.4158757	3.1703212	3.2460887	2.8728864	3.4893477	3.2858546	3.6178055	2.7896712	3.08208	3.4260373	1.723044	2.4578505	3.4916978	2.9714127	1.9279836	2.731376	2.2380252	2.1415288	2.694181	2.6283505	1.7004828	2.477092	2.3549993	2.8076494	3.4535303	1.557163	3.3423653	2.2772322	1.7802451	1.1618465	2.4899368	2.6262543	2.6177433
ABL1_7952	1.0552741	2.7830825	2.0973291	1.9362055	1.7603751	3.8019207	3.2651665	2.4291327	2.1859758	1.8801278	2.8546715	3.7552574	2.825361	2.3325603	2.6931381	3.2123806	1.5032656	2.2153766	2.237852	1.1577872	2.0924027	2.8728864	1.1882806	3.5396197	2.4965103	2.30543	2.579879	0.7223672	3.4303684	3.4100626	1.1897289	3.7122562	3.3974993	1.93374	2.5745082	2.613164	1.4977168	2.8519638	3.3219843	1.4398373	3.2066245	2.5363371	2.8955998	2.4680812	2.017051	1.8338943	2.5532844	2.0333667	2.7405214	3.630319	2.7460482
ACAA1A_7954	6.4291296	6.2388005	5.7405667	5.6574144	5.9423385	6.91807	6.711822	5.744924	6.2663627	5.541586	6.757747	7.3590484	6.6646333	6.020567	6.0443673	6.9797177	5.624024	5.854166	6.572322	5.9091773	5.5655055	5.979634	5.668845	6.6041255	5.7388134	6.0020356	6.6251364	6.4176044	7.1953344	6.660373	6.0517206	7.0509033	7.0897107	6.2376347	5.8268695	5.9639664	5.846558	6.8063264	7.12289	5.6135693	7.197923	5.9591804	6.600469	6.1616144	5.739253	6.147627	5.635084	6.579902	6.448114	8.331571	7.114589
ACAA2_7955	11.658739	12.147717	12.223405	11.804585	12.48138	11.692945	10.5671	11.277195	12.141388	12.36615	11.376961	11.628275	11.588554	12.085742	11.32958	10.846121	12.553611	11.741244	11.499785	12.134206	11.705918	11.993625	12.466192	11.358811	12.138551	12.41771	11.64943	12.654027	10.941711	11.936544	12.4176655	11.393276	11.743333	11.874384	11.901274	11.771389	11.918652	11.15747	12.394408	11.709089	11.374282	12.439499	11.719252	12.069786	12.100636	12.556558	11.858103	11.352641	12.258626	11.531361	12.021718
