Williams Trend Test
Data Source: P2_Perfluoro_3_methoxypropanoic_acid_Male_Lung-expression1
Work Source: null
BMDExpress3 Version: BMDExpress 3.20.119 BETA
Timestamp (Start Time): 12/14/2025 07:33.40
Number of Permutations: 10000
Unadjusted P-Value Cutoff: 0.05
Multiple Testing Correction: false
Filter Out Control Genes: true
NOTEL/LOTEL Test: T-Test
NOTEL/LOTEL p-Value Threshold: 0.05
NOTEL/LOTEL Fold Change Threshold: 2.0
Total Run Time: 16 seconds

Chip: BioSpyder S1500_Rat
Provider: BioSpyder

=== Experiment Description ===
Experiment Type: in vivo
Test Article: Perfluoro-3-methoxypropanoic acid | CAS: 377-73-1 | DSSTOX: DTXSID70191136
Subject Type: in vivo
Species: rat
Strain: Sprague-Dawley
Sex: male
Organ: lung
Article Route: oral
Article Vehicle: feed
Administration Means: dietary
Study Duration: 28d
Platform: BioSpyder S1500+ Rat
Provider: BioSpyder
Article Type: chemical
Chip File Creation Date: 10/31/24
Log Transformation: NONE
BMDExpress3 Version: BMDExpress 3.20.119 BETA
Timestamp: 12/14/2025 07:06.33

Probe ID	Gene ID	Gene Symbol	Unadjusted P-Value	Adjusted P-Value	Max Fold Change	Max Fold Change Unsigned	FC Dose Level 1	FC Dose Level 2	FC Dose Level 3	FC Dose Level 4	FC Dose Level 5	FC Dose Level 6	FC Dose Level 7	FC Dose Level 8	FC Dose Level 9	NOTEL/LOTEL T-Test p-Value Level 1	NOTEL/LOTEL T-Test p-Value Level 2	NOTEL/LOTEL T-Test p-Value Level 3	NOTEL/LOTEL T-Test p-Value Level 4	NOTEL/LOTEL T-Test p-Value Level 5	NOTEL/LOTEL T-Test p-Value Level 6	NOTEL/LOTEL T-Test p-Value Level 7	NOTEL/LOTEL T-Test p-Value Level 8	NOTEL/LOTEL T-Test p-Value Level 9	NOTEL	LOTEL
APBB2_8056	305339;305338	nsun7;apbb2	0.012424849699398798	0.18439770110839415	-1.0912225	1.0912225	1.0318292	1.0045669	1.0268813	1.0245236	-1.0074986	1.0003779	-1.0300117	-1.010143	-1.0912225	0.3268103	0.8752982	0.3721015	0.33035707	0.81997436	0.99349797	0.36694327	0.7562504	0.09150711			
ARF1_32413	64310	arf1	0.012971698113207548	0.18439770110839415	1.0416212	1.0416212	-1.014458	-1.0152913	-1.0099506	-1.0042682	1.0089847	-1.0022933	1.0121214	1.0022566	1.0416212	0.56638175	0.40826374	0.49429312	0.7688904	0.60649693	0.8895964	0.47651303	0.9030227	0.0015381693			
ASF1B_32459	304648	asf1b	0.023148148148148147	0.1905360020154676	-1.3382366	1.3382366	-1.0311421	-1.189936	-1.085272	-1.2717667	-1.0779738	-1.2188641	-1.1029736	-1.3382366	-1.1294551	0.654948	0.053996913	0.39105523	0.0014821223	0.2936982	0.045873117	0.2874623	0.0071030525	0.08276657			
ASNS_8091	25612	asns	0.02458366375892149	0.1905360020154676	-1.0711167	1.0711167	1.0462183	-1.0181042	1.0114564	1.0141431	-1.0311753	-1.0113633	-1.0429535	-1.0111735	-1.0711167	0.044477098	0.6649389	0.72610354	0.6651632	0.33757463	0.76281357	0.33498445	0.787994	0.035356656			
ATF1_8094	315305	atf1	0.04064064064064064	0.20412185370797906	-1.1966271	1.1966271	1.0782508	-1.0682799	1.019642	1.0096186	-1.0240557	1.034034	-1.0545833	1.032357	-1.1966271	0.14559038	0.66502476	0.8267342	0.903545	0.737992	0.5940593	0.5034829	0.61736864	0.006015526			
ATF3_8095	25389	atf3	0.01586357326987904	0.18751778185862453	-1.1536012	1.1536012	1.1513143	1.0375779	-1.0511258	-1.0542613	-1.00538	-1.0062492	-1.0091605	-1.1536012	-1.0864767	0.027853481	0.51803803	0.5696256	0.52044725	0.91752684	0.91078764	0.85977525	0.0434207	0.12954672			
ATF6B_32767	406169	atf6b	0.012421135646687698	0.18439770110839415	-1.2081822	1.2081822	1.0567226	1.0158136	-1.0070131	1.0640905	-1.0245785	-1.0082484	-1.0248461	1.0098577	-1.2081822	0.37219056	0.83507913	0.935351	0.26362327	0.70174605	0.90040463	0.71244586	0.8957397	0.04985188			
ATIC_8100	81643	atic	0.012815457413249211	0.18439770110839415	-1.17766	1.17766	1.0897406	1.0373907	1.0148873	1.027157	1.0074227	-1.0120234	-1.0267327	-1.0364382	-1.17766	0.13272408	0.5981321	0.8550635	0.60854703	0.9022901	0.8760022	0.7118123	0.58882767	0.0069827726			
ATP11C_33283	317599	atp11c	0.013929762605454189	0.18439770110839415	-1.0736265	1.0736265	1.0067402	-1.0246661	1.0036739	-1.0001047	1.0018328	-1.0423378	-1.0327418	-1.020209	-1.0736265	0.7819365	0.40999943	0.89849	0.997559	0.9446008	0.0962762	0.50139594	0.371417	0.0069529354			
ATP1B1_8103	25650	atp1b1	0.04721115537848605	0.2140181583647549	-1.0588102	1.0588102	1.042716	-1.002788	1.0115656	1.0102184	-1.0262431	-1.0037585	-1.0332956	-1.0043693	-1.0588102	0.10699845	0.93899775	0.7847266	0.76823217	0.42392594	0.87223667	0.45719332	0.8789363	0.11202873			
ATP5C1_8109	116550	atp5f1c	0.03178049743387288	0.1934461769365463	1.0470467	1.0470467	-1.0352077	-1.0194408	-1.0220379	-1.028085	1.006903	-1.0219548	1.0056784	-1.0243952	1.0470467	0.22383413	0.49233583	0.37908784	0.3278674	0.74666476	0.46937573	0.76197374	0.5621391	0.0017698632			
ATP6V1F_8114	116664	atp6v1f	0.027838104639684107	0.1905360020154676	1.0351049	1.0351049	-1.0203941	-1.012307	-1.0115519	-1.013371	1.0077295	-1.01612	1.0081019	-1.0033207	1.0351049	0.31340465	0.5784873	0.45437473	0.45299074	0.6076886	0.44628263	0.6120699	0.8824886	0.0041674273			
AXIN1_8118	79257	axin1	0.004018485031143259	0.14831890417457305	-1.2970394	1.2970394	1.028065	-1.1160531	-1.0235034	-1.0159315	1.0448618	-1.0369519	-1.0791265	-1.0574157	-1.2970394	0.554518	0.33470342	0.6780643	0.8745241	0.41026908	0.5815948	0.3891217	0.11917761	3.7853734E-4			
B4GALT1_8124	24390	b4galt1	0.01413705085411349	0.18439770110839415	-1.130225	1.130225	1.0594387	1.0226763	1.0086668	1.0416063	-1.0131472	-1.0244019	-1.0256845	-1.0102911	-1.130225	0.18827371	0.6742498	0.89182943	0.40188116	0.7533082	0.68469226	0.6446105	0.8428053	0.0089719575			
