Williams Trend Test
Data Source: P2_Perfluoro_3_methoxypropanoic_acid_Female_Liver-expression1
Work Source: null
BMDExpress3 Version: BMDExpress 3.20.119 BETA
Timestamp (Start Time): 12/14/2025 07:31.21
Number of Permutations: 10000
Unadjusted P-Value Cutoff: 0.05
Multiple Testing Correction: false
Filter Out Control Genes: true
NOTEL/LOTEL Test: T-Test
NOTEL/LOTEL p-Value Threshold: 0.05
NOTEL/LOTEL Fold Change Threshold: 2.0
Total Run Time: 12 seconds

Chip: BioSpyder S1500_Rat
Provider: BioSpyder

=== Experiment Description ===
Experiment Type: in vivo
Test Article: Perfluoro-3-methoxypropanoic acid | CAS: 377-73-1 | DSSTOX: DTXSID70191136
Subject Type: in vivo
Species: rat
Strain: Sprague-Dawley
Sex: female
Organ: liver
Article Route: oral
Article Vehicle: feed
Administration Means: dietary
Study Duration: 28d
Platform: BioSpyder S1500+ Rat
Provider: BioSpyder
Article Type: chemical
Chip File Creation Date: 10/31/24
Log Transformation: NONE
BMDExpress3 Version: BMDExpress 3.20.119 BETA
Timestamp: 12/14/2025 07:06.33

Probe ID	Gene ID	Gene Symbol	Unadjusted P-Value	Adjusted P-Value	Max Fold Change	Max Fold Change Unsigned	FC Dose Level 1	FC Dose Level 2	FC Dose Level 3	FC Dose Level 4	FC Dose Level 5	FC Dose Level 6	FC Dose Level 7	FC Dose Level 8	FC Dose Level 9	NOTEL/LOTEL T-Test p-Value Level 1	NOTEL/LOTEL T-Test p-Value Level 2	NOTEL/LOTEL T-Test p-Value Level 3	NOTEL/LOTEL T-Test p-Value Level 4	NOTEL/LOTEL T-Test p-Value Level 5	NOTEL/LOTEL T-Test p-Value Level 6	NOTEL/LOTEL T-Test p-Value Level 7	NOTEL/LOTEL T-Test p-Value Level 8	NOTEL/LOTEL T-Test p-Value Level 9	NOTEL	LOTEL
C4BPB_8177	24236	c4bpb	0.005385252692626346	0.2315658657829329	1.0668383	1.0668383	1.0064081	-1.0078932	-1.030549	-1.0086915	1.0238338	-1.0105181	1.0191208	1.0069098	1.0668383	0.641941	0.61063826	0.043412924	0.62956434	0.22766979	0.5209053	0.18530844	0.74099475	0.18638556			
CALR_8190	64202	calr	0.0028039254956939716	0.21817210761733094	1.0533146	1.0533146	1.0122775	1.0089372	-1.00572	1.0078244	1.0016505	-1.0359433	1.0228826	-1.0015522	1.0533146	0.39456162	0.5864296	0.6829484	0.5280328	0.92169875	0.03510276	0.25083604	0.91348654	0.014975215			
CAR14_8195	791259	car14	0.0479285134037368	0.5078415876249688	-1.1049423	1.1049423	-1.0292656	-1.0530511	-1.0607605	-1.0379454	-1.0435933	-1.0936049	-1.0013187	-1.0542227	-1.1049423	0.39409176	0.43212163	0.090642326	0.08649227	0.2868681	0.0029095362	0.9653755	0.01242571	0.0015912			
CHPT1_33298	362866	chpt1	4.092490280335584E-4	0.10972334139135106	1.1263229	1.1263229	1.0332357	-1.0181707	1.0258646	1.0462146	1.0697533	1.0327263	1.0207018	1.0717992	1.1263229	0.307736	0.34562698	0.24247868	0.040845554	0.016199613	0.24576835	0.28752667	9.5086324E-4	0.08433338			
CLU_32773	24854	clu	0.022713687985654513	0.413291252574089	1.0897353	1.0897353	1.0611533	1.04923	-1.0329988	-1.0026888	1.0324708	-1.0609622	1.0113537	-1.0177556	1.0897353	0.043684173	0.16777727	0.29521182	0.9267348	0.3898113	0.12118889	0.7278915	0.69769883	0.104637556			
CP_8366	24268	cp	0.00708502024291498	0.2692307692307692	1.0586096	1.0586096	-1.0028625	-1.01056	1.0063553	-1.0086836	1.0312787	1.0079118	-1.0003424	1.0433464	1.0586096	0.8882196	0.3898456	0.7115905	0.66001135	0.02170872	0.67791086	0.9855043	0.037860204	0.12741329			
CPQ_33239	58952	cpq	0.004744958481613286	0.2315658657829329	1.044454	1.044454	1.044454	1.0312346	1.0250459	-1.0081599	1.0222734	-1.0246559	1.010344	1.0099849	-1.0334475	0.025065271	0.15318333	0.21171626	0.6291219	0.2828458	0.18343705	0.57412875	0.5676999	0.06364579			
CRAT_8375	311849	crat	5.893909626719057E-4	0.10972334139135106	1.1870378	1.1870378	1.1050497	1.0404712	1.0632348	1.0891157	1.1382475	1.0729444	1.0421242	1.0433791	1.1870378	0.048174635	0.45095673	0.14352663	0.099864274	0.009223928	0.15733936	0.484998	0.29521132	0.0013443823			
CREG1_8380	289185	creg1	0.04507480085486691	0.504467291759264	1.0616341	1.0616341	1.043911	1.007941	1.00147	1.0616341	1.0455358	-1.014254	-1.0238985	-1.0090783	1.0042526	0.062182818	0.6157802	0.89968634	0.021123352	0.022154769	0.27067116	0.15036069	0.45809188	0.83864623			
CRP_8385	25419	crp	0.03194888178913738	0.4814170738718022	1.0244567	1.0244567	-1.0036229	-1.0153162	-1.0061145	-1.0212059	1.0059316	-1.00786	-1.0090197	-1.0029395	1.0244567	0.82332534	0.22815418	0.49514455	0.059174787	0.5808289	0.5044639	0.46483892	0.78540856	0.107466124			
