Williams Trend Test
Data Source: P2_Perfluoro_3_methoxypropanoic_acid_Male_Spleen-expression1
Work Source: null
BMDExpress3 Version: BMDExpress 3.20.119 BETA
Timestamp (Start Time): 12/14/2025 07:33.26
Number of Permutations: 10000
Unadjusted P-Value Cutoff: 0.05
Multiple Testing Correction: false
Filter Out Control Genes: true
NOTEL/LOTEL Test: T-Test
NOTEL/LOTEL p-Value Threshold: 0.05
NOTEL/LOTEL Fold Change Threshold: 2.0
Total Run Time: 14 seconds

Chip: BioSpyder S1500_Rat
Provider: BioSpyder

=== Experiment Description ===
Experiment Type: in vivo
Test Article: Perfluoro-3-methoxypropanoic acid | CAS: 377-73-1 | DSSTOX: DTXSID70191136
Subject Type: in vivo
Species: rat
Strain: Sprague-Dawley
Sex: male
Organ: spleen
Article Route: oral
Article Vehicle: feed
Administration Means: dietary
Study Duration: 28d
Platform: BioSpyder S1500+ Rat
Provider: BioSpyder
Article Type: chemical
Chip File Creation Date: 10/31/24
Log Transformation: NONE
BMDExpress3 Version: BMDExpress 3.20.119 BETA
Timestamp: 12/14/2025 07:06.33

Probe ID	Gene ID	Gene Symbol	Unadjusted P-Value	Adjusted P-Value	Max Fold Change	Max Fold Change Unsigned	FC Dose Level 1	FC Dose Level 2	FC Dose Level 3	FC Dose Level 4	FC Dose Level 5	FC Dose Level 6	FC Dose Level 7	FC Dose Level 8	FC Dose Level 9	NOTEL/LOTEL T-Test p-Value Level 1	NOTEL/LOTEL T-Test p-Value Level 2	NOTEL/LOTEL T-Test p-Value Level 3	NOTEL/LOTEL T-Test p-Value Level 4	NOTEL/LOTEL T-Test p-Value Level 5	NOTEL/LOTEL T-Test p-Value Level 6	NOTEL/LOTEL T-Test p-Value Level 7	NOTEL/LOTEL T-Test p-Value Level 8	NOTEL/LOTEL T-Test p-Value Level 9	NOTEL	LOTEL
ASF1B_32459	304648	asf1b	0.0304356475034812	0.3610731454718818	-1.1171081	1.1171081	1.0427402	-1.0497292	1.0058725	1.0285451	-1.112662	-1.1047395	-1.0405024	-1.0833251	-1.1171081	0.44378	0.37291476	0.9234567	0.5723946	0.024094535	0.19432788	0.39983544	0.099054836	0.047306247			
ASPM_8092	289054	aspm	0.03832477281706835	0.3709090909090909	-1.2359945	1.2359945	1.1596501	-1.0739598	-1.0626847	1.0795215	1.0069906	1.0657941	1.1174253	-1.2359945	-1.1408145	0.088974275	0.33806998	0.6540619	0.28368092	0.9190213	0.5356024	0.21098894	0.16427206	0.19315535			
ATAD5_32790	303348	atad5	2.002803925495694E-4	0.03580081255358008	-1.4090029	1.4090029	1.1284819	-1.033574	-1.0637966	-1.0467372	-1.1315122	-1.0902603	-1.071614	-1.1882403	-1.4090029	0.07784824	0.6332409	0.64914525	0.5351275	0.14216673	0.37872565	0.31750655	0.046727024	0.0011941273			
ATF3_8095	25389	atf3	0.004631494160289972	0.18771615731191915	1.7843972	1.7843972	1.2077591	1.1511089	1.4488151	1.1195778	1.4400727	1.1923616	1.0264679	1.6022933	1.7843972	0.42945987	0.39471936	0.045980904	0.5768638	0.20981833	0.41279384	0.92996186	0.005494951	0.035771012			
ATP1B1_8103	25650	atp1b1	0.019403880776155232	0.297155275926289	1.1267041	1.1267041	1.060351	1.0574235	1.008703	1.0140686	1.0478662	1.0681667	1.0564802	1.1267041	1.1108556	0.19422026	0.29144207	0.7739898	0.62303543	0.3400007	0.02524405	0.43999702	0.0018159632	0.0885048			
BCL2A1_8136	170929	bcl2a1	0.008450704225352112	0.21573671674223274	-1.0429924	1.0429924	1.0228372	1.034346	1.0043358	1.0138152	1.0412935	-1.0024692	1.0046755	-1.0147487	-1.0429924	0.26799157	0.06994476	0.87309104	0.57929516	0.022589354	0.8978295	0.8401541	0.5394123	0.08086998			
BGN_32910	25181	bgn	0.017554358667464593	0.2944046748007673	-1.0953344	1.0953344	1.0338417	-1.0235326	-1.0264931	1.0060877	-1.013673	-1.0577631	-1.0220479	-1.0280639	-1.0953344	0.43759748	0.5364333	0.5098852	0.8361411	0.7427804	0.2091632	0.55556583	0.5899236	0.002099334			
BRCA1_8158	497672	brca1	0.0018036072144288577	0.17327119663259172	-1.6595157	1.6595157	-1.1018925	-1.3028927	-1.2257811	-1.1248997	-1.0768992	-1.1549318	-1.2185224	-1.1685219	-1.6595157	0.29887214	0.031135067	0.04227649	0.34824938	0.31497678	0.12732986	0.23136194	0.19590332	0.019641593			
BTG2_8161	29619	btg2	0.008535132989281461	0.21573671674223274	-1.0993199	1.0993199	1.0354443	-1.0609916	-1.0282145	-1.0566729	-1.0187128	-1.0359561	-1.0769812	-1.0584109	-1.0993199	0.39956456	0.091405325	0.5817368	0.16495065	0.60831976	0.4418783	0.04946438	0.1279452	0.032715924			
BUB1_8163	296137	bub1	0.028882294757665676	0.35202536700772435	1.9757327	1.9757327	1.1821325	1.0379436	-1.4165041	-1.1525494	1.5948265	1.3920296	1.5664182	1.7813765	1.9757327	0.5660511	0.91165364	0.3987416	0.73474145	0.3693822	0.40667808	0.3235229	0.031708464	0.005986263			
BUB1B_8164	171576	bub1b	0.008481421647819063	0.21573671674223274	-1.48177	1.48177	1.2301954	1.0897042	1.0361707	-1.0496647	-1.0529454	-1.0748566	-1.0308694	-1.3089107	-1.48177	0.039442863	0.37787125	0.8056432	0.7446342	0.74762833	0.4858398	0.86590004	0.19043994	0.068469055			
C1QA_8167	298566	c1qa	0.02464718743788511	0.32982164564003597	1.3365226	1.3365226	1.1462535	1.2322944	-1.0202259	1.1909218	1.1305809	1.2723846	1.114544	1.2209504	1.3365226	0.272283	0.15982206	0.84127766	0.09017935	0.33506674	0.08316217	0.47766024	0.098816656	0.058227494			
C1S_8172	192262	c1s	0.04359944256420466	0.39295712891413315	-1.0795522	1.0795522	1.0524405	1.0137194	-1.0013523	-1.0058198	1.0767144	-1.0323857	1.0497416	1.0502663	-1.0795522	0.32011992	0.67949164	0.9688979	0.8605984	0.07152744	0.45930812	0.41086444	0.14978427	0.17729063			
C2_32411	24231	c2	0.005366726296958855	0.18771615731191915	1.2923695	1.2923695	1.220763	1.1314312	1.1288395	1.0920247	1.1629188	1.1806071	1.0085317	1.2923695	1.2155068	0.0019734856	0.18209223	0.0142441215	0.05609571	0.13184376	0.054038275	0.9436122	0.0036264833	0.054215908			
C7_8179	117517	c7	0.004213483146067416	0.18771615731191915	-1.0729715	1.0729715	1.0141082	-1.0278853	1.0125526	1.0110747	1.0057043	-1.027604	-1.0037183	-1.0136917	-1.0729715	0.68299234	0.16448022	0.60760117	0.5317853	0.84209466	0.24351288	0.91174054	0.582438	0.003719136			
CALCOCO1_32442	246047	calcoco1	0.03548895899053628	0.3709090909090909	1.2860075	1.2860075	1.2860075	1.0800288	1.1861694	1.2549099	1.2679319	1.2385222	1.2057611	1.2293545	1.2375346	0.046730366	0.5009597	0.09900021	0.035900187	0.04938338	0.06517082	0.11520105	0.05216307	0.105852865			
CAMP_33271	316010	camp	0.036313400434181964	0.3709090909090909	1.322082	1.322082	1.1425984	1.2200572	1.3179625	1.1489576	1.1065936	1.0878392	1.322082	1.1516821	1.1586578	0.06667174	0.018708361	0.021527259	0.11133535	0.21240343	0.39283034	0.012749483	0.0399136	0.16932425			
CCL11_33230	29397	ccl11	0.026562812063111643	0.3401810798215831	2.0568695	2.0568695	1.1813602	1.3835638	1.0717568	1.2923002	1.375793	1.0491353	1.094036	2.0568695	1.625424	0.59044415	0.28469586	0.7860241	0.3420098	0.17740612	0.806156	0.7708254	0.0727069	0.023189468			
CCL21_33005	298006	ccl21	0.033658633738299144	0.3709090909090909	-1.0760953	1.0760953	1.0027481	1.0005381	-1.0065875	1.0302329	1.0250276	1.0001267	1.0310259	-1.0396464	-1.0760953	0.94045883	0.98954856	0.79987913	0.23879087	0.28506148	0.9948097	0.48516408	0.46891642	0.00950365			
CCL24_33270	288593	ccl24	0.002180376610505451	0.17577490563879675	1.3431473	1.3431473	1.1345361	1.2305639	1.1045134	1.2019103	1.1576654	1.2503896	1.1630741	1.2908803	1.3431473	0.1395642	0.0396663	0.18520871	0.013697283	0.29888695	0.06785879	0.24529427	0.001073508	0.015478993			
CCNA2_8221	114494	ccna2	0.0050110242533573865	0.18771615731191915	-1.1978092	1.1978092	1.0836407	-1.0289025	1.0155411	1.034048	-1.0343876	-1.016929	1.0430442	-1.0857213	-1.1978092	0.11404786	0.6322686	0.82048166	0.57203263	0.55995053	0.8244349	0.56696814	0.15295418	0.07839657			
CCNB2_8223	100364016;363088	ccnb2-ps2;ccnb2	0.025153495741731036	0.3303052013182405	-1.0928886	1.0928886	1.0583727	-1.008126	1.0041867	1.0403614	-1.0234975	1.0100186	1.0136341	-1.0593858	-1.0928886	0.17788924	0.85446084	0.9361321	0.39859372	0.5788573	0.84351665	0.8390932	0.18433128	0.13475165			
CCND2_33278	64033	ccnd2	0.027872468417886504	0.34995432569124163	1.259048	1.259048	1.1896988	1.1965058	1.0045269	1.1442506	1.1008053	1.1139585	1.0742402	1.1047359	1.259048	0.045764707	0.04798897	0.9725323	0.20801996	0.414338	0.33534932	0.5363938	0.4525243	0.021148425			
CCNG1_32302	25405	ccng1	0.012782694198623401	0.24806495793386812	1.5223513	1.5223513	1.3257601	1.3202697	1.1374562	1.0052928	1.5223513	1.4154588	1.4408078	1.4088018	1.1319704	0.045501012	0.07601768	0.2429305	0.9635826	0.0052445754	0.04683448	0.036743455	0.017073004	0.31000206			
CCT2_8233	299809	cct2	0.03861464968152866	0.3709090909090909	1.0540284	1.0540284	1.0161893	1.0540284	1.0389146	1.0329506	1.0357955	-1.0007768	-1.0081164	-1.0039426	-1.0450453	0.6823272	0.080010474	0.2670541	0.15464126	0.16670266	0.9786025	0.8099302	0.8983812	0.27566323			
CD4_8246	24932	cd4	0.016025641025641024	0.2864036363636364	1.1766068	1.1766068	1.1123791	1.155049	1.0850998	1.0664107	1.154833	1.1716167	1.052208	1.1766068	1.1726271	0.12980711	0.04252319	0.089617275	0.16475536	0.05653993	0.027894156	0.33813182	0.008905149	0.09040922			
CD53_8250	24251	cd53	0.038117927337701016	0.3709090909090909	1.0798775	1.0798775	1.0426842	1.0647902	1.0000895	1.02264	1.0569642	1.0754889	1.0406846	1.0524509	1.0798775	0.27306148	0.08341115	0.99662876	0.3634673	0.098030254	0.03676626	0.4282624	0.03903409	0.10884642			
CDCA8_33310	500545	cdca8	0.0031859816806053365	0.17577490563879675	-1.7464197	1.7464197	1.2414914	-1.1971881	-1.3161528	-1.2133795	-1.5580281	1.0140454	-1.099456	-1.2265428	-1.7464197	0.09188091	0.3567235	0.2363591	0.32954508	0.028390206	0.92462015	0.69042814	0.22585449	0.03609251			
CDH1_8262	83502	cdh1	0.043174095542674394	0.39295712891413315	1.2130777	1.2130777	1.087303	1.1845062	1.0002093	1.1039948	1.1116363	1.1986802	1.0913798	1.1738937	1.2130777	0.36641893	0.084977955	0.99673945	0.13831817	0.30507556	0.052953422	0.49137563	0.022272417	0.08565843			
CDK2_8266	362817	cdk2	0.044129392971246004	0.39295712891413315	1.1579651	1.1579651	1.0980266	1.0509834	1.0083901	1.09172	1.0442091	1.058975	1.1579651	-1.0472572	-1.1309505	0.27795684	0.40024292	0.9079707	0.18747263	0.47715646	0.47113582	0.18667084	0.6251716	0.18098047			
CDKN3_8274	289993	cdkn3	0.006797281087564974	0.2043145048560211	-1.1082616	1.1082616	1.0493591	-1.0149574	-1.0071492	1.0271043	-1.0385317	-1.0112509	1.0224502	-1.0767463	-1.1082616	0.13472871	0.71868134	0.88753843	0.5319146	0.392416	0.7875535	0.6677497	0.0450081	0.060207658			
CENPE_8286	362044	cenpe	0.04588607594936709	0.3989828251897218	-1.3323457	1.3323457	1.1731818	1.0490601	-1.0532888	1.1321737	-1.2920512	-1.0172652	-1.0569246	-1.1975003	-1.3323457	0.23282422	0.76909816	0.7656968	0.29347116	0.1854837	0.9074901	0.76608026	0.3345464	0.13851508			
CENPF_8287	257649	cenpf	0.028953674121405752	0.35202536700772435	-1.1452991	1.1452991	1.0727377	1.0158943	-1.0102744	1.0675936	1.0102693	-1.0261755	1.0035572	-1.052466	-1.1452991	0.13808042	0.7881717	0.89474034	0.28201059	0.8931612	0.66892445	0.9692963	0.36679745	0.056272205			
CES1D_32914	113902	ces1d	0.008792965627498001	0.2165549611592777	1.8308253	1.8308253	1.1861068	1.1389935	1.1241995	1.4543791	1.4705878	1.4043725	1.0385971	1.7466596	1.8308253	0.5968174	0.6856338	0.6939462	0.19820459	0.2934183	0.181484	0.9026209	0.058619726	0.030723657			
CHEK1_8304	140583	chek1	0.0031853474019510252	0.17577490563879675	-1.2395669	1.2395669	1.1953634	1.0793766	-1.0945736	-1.0224875	-1.0575265	-1.0617323	1.0865816	-1.2395669	-1.1273726	0.049124815	0.36337787	0.4742995	0.803207	0.5047926	0.48610678	0.37259337	0.056941457	0.18838795			
CKM_32556	24265	ckm	2.0329335230737954E-4	0.03580081255358008	-1.7300961	1.7300961	1.0822116	1.0546706	1.0552543	1.0314869	1.0575844	1.0423946	1.0750982	1.0310855	-1.7300961	0.317093	0.60485286	0.4792123	0.69846874	0.63341755	0.6346324	0.32426462	0.7277042	3.6359625E-4			
CKS2_8325	498709	cks2	0.03044968743698326	0.3610731454718818	-1.0569743	1.0569743	1.042754	-1.0034318	1.0081961	1.0380248	-1.0155734	1.0242769	1.0420365	-1.0569743	-1.0370656	0.05073897	0.9079243	0.79911673	0.16664673	0.47299093	0.37995768	0.25185382	0.027778482	0.21830559			
CLK1_32739	301434	clk1	0.007258064516129033	0.20810062590274436	-1.1101091	1.1101091	1.018938	1.0277218	-1.0417428	-1.0189362	1.045416	1.0070218	1.0049381	-1.0237476	-1.1101091	0.6139438	0.4271692	0.16812302	0.5089377	0.1253787	0.83439326	0.9101548	0.34538192	0.09420968			
