Williams Trend Test
Data Source: P2_Perfluoro_3_methoxypropanoic_acid_Male_testes_NoOutlier-expression1
Work Source: null
BMDExpress3 Version: BMDExpress 3.20.119 BETA
Timestamp (Start Time): 12/14/2025 07:32.38
Number of Permutations: 10000
Unadjusted P-Value Cutoff: 0.05
Multiple Testing Correction: false
Filter Out Control Genes: true
NOTEL/LOTEL Test: T-Test
NOTEL/LOTEL p-Value Threshold: 0.05
NOTEL/LOTEL Fold Change Threshold: 2.0
Total Run Time: 15 seconds

Chip: BioSpyder S1500_Rat
Provider: BioSpyder

=== Experiment Description ===
Experiment Type: in vivo
Test Article: Perfluoro-3-methoxypropanoic acid | CAS: 377-73-1 | DSSTOX: DTXSID70191136
Subject Type: in vivo
Species: rat
Strain: Sprague-Dawley
Sex: male
Organ: testes
Article Route: oral
Article Vehicle: feed
Administration Means: dietary
Study Duration: 28d
Platform: BioSpyder S1500+ Rat
Provider: BioSpyder
Article Type: chemical
Chip File Creation Date: 10/31/24
Log Transformation: NONE
BMDExpress3 Version: BMDExpress 3.20.119 BETA
Timestamp: 12/14/2025 07:06.33

Probe ID	Gene ID	Gene Symbol	Unadjusted P-Value	Adjusted P-Value	Max Fold Change	Max Fold Change Unsigned	FC Dose Level 1	FC Dose Level 2	FC Dose Level 3	FC Dose Level 4	FC Dose Level 5	FC Dose Level 6	FC Dose Level 7	FC Dose Level 8	FC Dose Level 9	NOTEL/LOTEL T-Test p-Value Level 1	NOTEL/LOTEL T-Test p-Value Level 2	NOTEL/LOTEL T-Test p-Value Level 3	NOTEL/LOTEL T-Test p-Value Level 4	NOTEL/LOTEL T-Test p-Value Level 5	NOTEL/LOTEL T-Test p-Value Level 6	NOTEL/LOTEL T-Test p-Value Level 7	NOTEL/LOTEL T-Test p-Value Level 8	NOTEL/LOTEL T-Test p-Value Level 9	NOTEL	LOTEL
AK2_33292	24184	ak2	0.02899134286289511	0.37104624029715705	1.0224493	1.0224493	1.0033227	-1.0187464	-1.004558	-1.0165968	-1.0199777	1.003145	1.0102196	1.0089426	1.0224493	0.76192224	0.15460634	0.67376995	0.23269197	0.1154407	0.84545964	0.28763995	0.5080591	0.15996231			
ALDOB_8033	24190	aldob	0.022843157250662858	0.3343849401799159	1.2905322	1.2905322	-1.0573882	-1.2669573	-1.2123281	1.0001632	1.094401	1.0216178	1.1251779	1.1141605	1.2905322	0.7174641	0.15590188	0.24862337	0.9992901	0.5825684	0.9075605	0.45227167	0.5494735	0.0660786			
AMPD1_32743	25028	ampd1	0.001402524544179523	0.09649368863955118	1.6930939	1.6930939	1.1486257	1.0211518	-1.048228	1.0949363	1.1292548	1.3379979	1.2839948	1.2513859	1.6930939	0.38319457	0.92063385	0.83017755	0.63387465	0.14279103	0.012126706	0.17110835	0.017542517	0.023685751			
AMY1A_8041	24203	amy1	9.821253191907287E-4	0.07196401799100449	2.482287	2.482287	1.2789673	1.3927958	1.1101569	1.3159528	1.584669	1.351141	1.4687572	1.7146703	2.482287	0.31186685	0.22001997	0.80507	0.5209612	0.25165078	0.28721756	0.2757075	0.04070119	0.0026584864	100.0	300.0	
APBB1IP_33101	307171	apbb1ip	0.028479095132296506	0.37104624029715705	-1.365839	1.365839	-1.0860584	-1.365839	-1.2339976	1.0062437	-1.047799	1.0988696	1.0276252	1.0346239	1.0740409	0.45120206	0.014712527	0.09050241	0.94811535	0.60257816	0.26532915	0.7648846	0.6743116	0.39231902			
APOA2_33095	25649	apoa2	0.014193025141930252	0.26860254083484575	2.511176	2.511176	1.5220855	1.514138	1.3494786	1.5614632	1.76745	1.3456291	-1.6329434	1.4790672	2.511176	0.20688541	0.3187668	0.61123985	0.3348283	0.4117816	0.30183297	0.33506477	0.21036905	0.0010113957	100.0	300.0	
APP_8067	54226	app	0.003816793893129771	0.16077270602897648	-1.0581292	1.0581292	1.003948	-1.0331836	-1.0161842	-1.0204126	-1.0417575	1.0025506	-1.0289419	-1.0217386	-1.0581292	0.8347833	0.014199146	0.26333675	0.09395799	0.00810356	0.7901844	0.32030362	0.18208735	0.08971797			
AR_32869	24208	ar	0.03821281599059377	0.38741737232379214	-1.0579535	1.0579535	-1.0023533	-1.0461885	-1.0486422	-1.0253472	-1.0309491	1.0064464	-1.0049229	1.0057158	-1.0579535	0.94423026	0.12135083	0.059233923	0.2718591	0.29733163	0.79805166	0.8373617	0.8557703	0.04978236			
ARF1_32413	64310	arf1	0.003162680371614944	0.15128914624983966	1.0208566	1.0208566	-1.0004653	-1.0007527	1.0055901	1.0000591	1.0014793	1.018174	1.0152421	1.0138205	1.0208566	0.9590912	0.90660006	0.4744007	0.99375814	0.876056	0.03698154	0.083785065	0.053652138	0.011548097			
ARHGAP1_8078	311193	arhgap1	0.0034109149277688606	0.15304626980249844	-1.0876622	1.0876622	-1.026907	-1.0285288	-1.0573246	-1.0405211	-1.0876622	-1.0258805	-1.0486763	-1.0661385	-1.0810326	0.43939587	0.21242914	0.035970073	0.13068436	0.00685894	0.2893108	0.13253519	0.023711942	0.03611771			
ARHGDIB_32723	362456	arhgdib	0.01049089469517023	0.23536094185686254	-1.1562344	1.1562344	1.0460154	-1.0417105	-1.1345782	-1.0262564	-1.083969	-1.0476702	-1.1151006	-1.0162259	-1.1562344	0.4971963	0.16642998	0.031371415	0.6786358	0.028778939	0.21468991	0.03856584	0.7293327	0.11146626			
ARHGEF12_8080	367072	arhgef12	0.047696038803556995	0.4190582819138492	-1.077803	1.077803	-1.042286	-1.0252116	-1.0104926	1.005324	-1.030801	-1.0381501	-1.0732203	-1.077803	-1.065533	0.07223992	0.16367805	0.57761604	0.6420991	0.28318515	0.05024437	0.114124104	0.03280867	0.2617964			
ARNT2_8085	25243	arnt2	0.002604688439190543	0.134401923462232	-1.3280077	1.3280077	-1.0179687	-1.0631375	-1.0429523	-1.0271828	-1.1839666	-1.0305758	-1.055822	-1.1709299	-1.3280077	0.8285273	0.26803675	0.3594802	0.66907454	0.010266309	0.694599	0.6041282	0.039317485	0.041982718			
ATP1B1_8103	25650	atp1b1	0.0035398230088495575	0.15545095085671248	-1.0470017	1.0470017	-1.0082377	-1.0280663	-1.0280979	-1.0306954	-1.0147208	1.0061377	-1.0046751	-1.002151	-1.0470017	0.61442816	0.1046368	0.05670834	0.031877678	0.26264423	0.7135167	0.81655717	0.8733245	0.029002259			
ATP6V1F_8114	116664	atp6v1f	0.025717703349282296	0.3586577007629639	1.0153654	1.0153654	-1.0072093	1.0015768	1.0016705	1.0003355	1.0101982	1.0053331	1.0052967	1.0067234	1.0153654	0.2714274	0.7931254	0.733468	0.9506249	0.19008203	0.4199821	0.69902855	0.47418156	0.0133215925			
AURKA_8116	261730	aurka	0.008199921905505662	0.22676075358033057	1.0427009	1.0427009	-1.005325	1.0344555	1.0361546	1.005629	1.0219175	1.0062746	1.0143172	1.000194	1.0427009	0.85123676	0.025909767	0.016966214	0.7462021	0.1069681	0.67934734	0.404156	0.99159676	0.0065965643			
B3GNT5_32540	116740	b3gnt5	0.006812262071729113	0.2189920424403183	1.1335315	1.1335315	1.0172224	1.0033292	1.0479951	1.0664114	-1.0072436	-1.0092344	1.0238594	1.0012642	1.1335315	0.67187923	0.93893623	0.3111329	0.12219143	0.89276654	0.87488693	0.5863151	0.9801601	0.048480153			
BIRC5_8148	64041	birc5	0.01244230383303231	0.2522799588365408	1.0715313	1.0715313	1.0206155	-1.003547	1.0120301	1.0057184	1.0133384	1.0462351	1.022362	1.0284991	1.0715313	0.4138581	0.8083251	0.46438807	0.75536954	0.6836806	0.19762054	0.43017095	0.30410957	0.0030538284			
BNIP3_8154	84480	bnip3	0.038905775075987845	0.38741737232379214	1.0670396	1.0670396	1.0670396	1.0057856	-1.0200378	1.0008751	-1.0667331	1.0363047	1.0122662	1.0044625	-1.0525085	0.15475306	0.85913247	0.45267367	0.9757625	0.057414483	0.23048039	0.7625507	0.8965325	0.31641573			
BNIP3L_8155	140923	bnip3l	0.04120443740095087	0.39741102240917103	-1.0403099	1.0403099	1.005255	-1.033798	-1.0365452	-1.0211254	-1.0123951	-1.001581	-1.001197	1.001651	-1.0403099	0.81122166	0.12043133	0.057964012	0.28158978	0.53051347	0.9149729	0.94079757	0.9119713	0.14260277			
C9_8183	117512	c9	0.007187063286085047	0.2220250100847116	1.5242027	1.5242027	1.1748772	1.1161813	-1.1618742	-1.0417438	1.1245989	1.1792021	1.1315633	1.1941042	1.5242027	0.33712423	0.5004162	0.53377825	0.8310382	0.5960838	0.23746741	0.55807495	0.2491783	0.013804144			
CCL22_33187	117551	ccl22	0.00436334787782626	0.16677685221913705	-1.6662862	1.6662862	1.1588824	-1.0888047	-1.1909795	-1.1606705	-1.0808169	-1.0880351	-1.159203	-1.2113812	-1.6662862	0.5264656	0.33256492	0.21989782	0.3161264	0.4479514	0.26644874	0.28517488	0.25385484	0.036578827			
