Williams Trend Test
Data Source: P2_Perfluoro_3_methoxypropanoic_acid_Male_Brain_NoOutlier-expression1
Work Source: null
BMDExpress3 Version: BMDExpress 3.20.119 BETA
Timestamp (Start Time): 12/14/2025 07:34.39
Number of Permutations: 10000
Unadjusted P-Value Cutoff: 0.05
Multiple Testing Correction: false
Filter Out Control Genes: true
NOTEL/LOTEL Test: T-Test
NOTEL/LOTEL p-Value Threshold: 0.05
NOTEL/LOTEL Fold Change Threshold: 2.0
Total Run Time: 15 seconds

Chip: BioSpyder S1500_Rat
Provider: BioSpyder

=== Experiment Description ===
Experiment Type: in vivo
Test Article: Perfluoro-3-methoxypropanoic acid | CAS: 377-73-1 | DSSTOX: DTXSID70191136
Subject Type: in vivo
Species: rat
Strain: Sprague-Dawley
Sex: male
Organ: brain
Article Route: oral
Article Vehicle: feed
Administration Means: dietary
Study Duration: 28d
Platform: BioSpyder S1500+ Rat
Provider: BioSpyder
Article Type: chemical
Chip File Creation Date: 10/31/24
Log Transformation: NONE
BMDExpress3 Version: BMDExpress 3.20.119 BETA
Timestamp: 12/14/2025 07:06.33

Probe ID	Gene ID	Gene Symbol	Unadjusted P-Value	Adjusted P-Value	Max Fold Change	Max Fold Change Unsigned	FC Dose Level 1	FC Dose Level 2	FC Dose Level 3	FC Dose Level 4	FC Dose Level 5	FC Dose Level 6	FC Dose Level 7	FC Dose Level 8	FC Dose Level 9	NOTEL/LOTEL T-Test p-Value Level 1	NOTEL/LOTEL T-Test p-Value Level 2	NOTEL/LOTEL T-Test p-Value Level 3	NOTEL/LOTEL T-Test p-Value Level 4	NOTEL/LOTEL T-Test p-Value Level 5	NOTEL/LOTEL T-Test p-Value Level 6	NOTEL/LOTEL T-Test p-Value Level 7	NOTEL/LOTEL T-Test p-Value Level 8	NOTEL/LOTEL T-Test p-Value Level 9	NOTEL	LOTEL
ATP6AP1_33058	83615	atp6ap1	0.014027241309209189	0.6031713762959952	-1.023391	1.023391	-1.0131646	1.000963	-1.023391	-1.0095922	-1.0008516	-1.0182533	1.005664	-1.0106366	1.0222435	0.29975855	0.8839981	0.09533203	0.4481094	0.9604101	0.085421294	0.46808076	0.31248224	0.0211401			
BCL2L11_32608	64547	bcl2l11	0.0216742891230861	0.6715842232697413	1.6792828	1.6792828	1.2654214	1.1651021	1.351716	-1.0821499	1.5735562	-1.0679364	1.1610672	1.280533	1.6792828	0.37404633	0.4901731	0.3326392	0.8351992	0.04311487	0.8383751	0.6413977	0.29594025	0.021178938			
C9_8183	117512	c9	0.03749745261870797	0.7562932097320412	1.926217	1.926217	1.1394497	-1.1746889	-1.1037291	-1.0159014	1.3705208	-1.8487242	1.8579273	1.7190404	1.926217	0.78602403	0.7784066	0.8133997	0.97364753	0.31961745	0.2600228	0.03492111	0.06785332	0.04624402			
CALR_8190	64202	calr	0.009437751004016065	0.4971335341365462	1.0309899	1.0309899	-1.0086783	1.0154048	1.016212	1.0107594	1.0050147	1.0237446	1.028045	1.0252198	1.0309899	0.42138883	0.07838172	0.1062358	0.35406774	0.6688099	0.081422515	0.0101086795	0.14272039	0.037894443			
CALU_8191	64366	calu	0.04518503373543243	0.7822193115645805	1.0394307	1.0394307	-1.0063947	1.009743	1.0394307	1.0006839	1.0215083	-1.0000024	1.0115001	1.0162206	1.0329438	0.60791326	0.4427086	0.03249952	0.9748014	0.11945597	0.99977946	0.40219253	0.25202677	0.013229689			
CAR3_8196	54232	car3	0.04758048187892286	0.7822193115645805	-1.731649	1.731649	-1.731649	1.2585251	1.2510864	1.0017502	1.2569147	-1.3614771	1.014712	-1.3264993	1.3624003	0.07632754	0.15057132	0.29380175	0.992831	0.40617913	0.19003256	0.9236625	0.29568002	0.21548888			
CASP3_8201	25402	casp3	0.03520261972984036	0.7562932097320412	1.0901951	1.0901951	-1.0329554	1.0742455	1.0641135	1.0368043	1.0707461	1.0308558	-1.0153093	-1.0135387	1.0901951	0.35577378	0.02620769	0.22792666	0.36931458	0.23137881	0.23616669	0.7067889	0.56925184	0.07159619			
CCDC80_8213	64387	ccdc80	0.041212121212121214	0.7562932097320412	1.5987592	1.5987592	-1.1046408	1.1266676	1.5987592	1.1727704	1.4302595	1.398435	-1.4423928	1.5701418	1.5478501	0.5688548	0.7275087	0.051602736	0.40892488	0.13954766	0.039410934	0.10854076	0.018958898	0.13389112			
CCL7_32689	287561	ccl7	0.02994385527136619	0.743875161719419	3.523656	3.523656	1.7386588	-1.2169861	3.523656	1.1952064	1.7327683	1.2117704	1.6362987	2.1082807	2.844826	0.10160281	0.72261304	0.05174383	0.6021192	0.41928005	0.61567193	0.21614368	0.037625972	0.040013533	30.0	100.0	
CD81_32607	25621	cd81	0.002843216896831844	0.31529778955919446	1.0848253	1.0848253	1.0407984	1.0339563	1.0315825	1.0167409	1.0461271	1.0455922	1.0627263	1.0848253	1.0667651	0.09338497	0.11813348	0.09286508	0.47984168	0.044985045	0.10047214	0.024659831	0.001506404	0.009355148			
CDC6_32573	360621	cdc6	0.007619811509925807	0.4835341365461847	1.944904	1.944904	1.430922	1.6232029	-1.4101909	1.0113895	1.4227396	1.3422921	1.0352759	1.6015706	1.944904	0.22863293	0.026429188	0.27888185	0.9779877	0.18179747	0.3157649	0.9029604	0.017342975	0.0036278192			
CFI_32585	79126	cfi	0.04776611076796376	0.7822193115645805	1.8039502	1.8039502	-1.221853	1.0496948	-1.1169747	-1.3399376	1.0403615	-1.3658295	1.6533921	1.2338859	1.8039502	0.6023559	0.85980093	0.7870839	0.5133643	0.9263749	0.504868	0.16994195	0.6554275	0.019902736			
CHAT_32514	290567	chat	0.04144656643640796	0.7562932097320412	-2.6840997	2.6840997	-1.1143337	-1.0153544	-1.2754611	-1.2846076	-1.6353753	-1.2042227	-1.1128672	-1.3341665	-2.6840997	0.6836829	0.951244	0.5383656	0.38764128	0.18679574	0.41593772	0.768976	0.1268119	0.0017729872	100.0	300.0	
CKM_32556	24265	ckm	0.04174192253662452	0.7562932097320412	2.4508703	2.4508703	-1.4171009	2.0148726	1.7294661	1.0645062	1.2646531	1.1283516	1.1966093	1.7060772	2.4508703	0.55394596	0.029226635	0.21301895	0.90960187	0.56846863	0.87244517	0.5995587	0.3883361	0.16088995	0.01	0.1	
COL1A1_8352	29393	col1a1	0.0073200488003253355	0.4835341365461847	-3.168906	3.168906	-3.168906	1.5615515	1.8370452	1.2857052	1.6882507	1.4922539	1.8622276	1.150104	1.7890306	0.08563054	0.18096603	0.080635376	0.444366	0.100216754	0.16632454	0.07845402	0.7687454	0.051101215			
COL1A2_8353	84352	col1a2	0.008825944170771757	0.49383584118501855	-1.1621475	1.1621475	-1.1621475	1.1241999	1.1435372	-1.0491964	1.0678535	1.1018015	1.1511662	1.08574	1.1548934	0.09128496	0.02748134	0.029056894	0.60035694	0.41205	0.113244124	0.11412705	0.27383175	0.053234998			
