Williams Trend Test
Data Source: P2_Perfluoro_3_methoxypropanoic_acid_Male_Liver-expression1
Work Source: null
BMDExpress3 Version: BMDExpress 3.20.119 BETA
Timestamp (Start Time): 12/14/2025 07:33.56
Number of Permutations: 10000
Unadjusted P-Value Cutoff: 0.05
Multiple Testing Correction: false
Filter Out Control Genes: true
NOTEL/LOTEL Test: T-Test
NOTEL/LOTEL p-Value Threshold: 0.05
NOTEL/LOTEL Fold Change Threshold: 2.0
Total Run Time: 11 seconds

Chip: BioSpyder S1500_Rat
Provider: BioSpyder

=== Experiment Description ===
Experiment Type: in vivo
Test Article: Perfluoro-3-methoxypropanoic acid | CAS: 377-73-1 | DSSTOX: DTXSID70191136
Subject Type: in vivo
Species: rat
Strain: Sprague-Dawley
Sex: male
Organ: liver
Article Route: oral
Article Vehicle: feed
Administration Means: dietary
Study Duration: 28d
Platform: BioSpyder S1500+ Rat
Provider: BioSpyder
Article Type: chemical
Chip File Creation Date: 10/31/24
Log Transformation: NONE
BMDExpress3 Version: BMDExpress 3.20.119 BETA
Timestamp: 12/14/2025 07:06.33

Probe ID	Gene ID	Gene Symbol	Unadjusted P-Value	Adjusted P-Value	Max Fold Change	Max Fold Change Unsigned	FC Dose Level 1	FC Dose Level 2	FC Dose Level 3	FC Dose Level 4	FC Dose Level 5	FC Dose Level 6	FC Dose Level 7	FC Dose Level 8	FC Dose Level 9	NOTEL/LOTEL T-Test p-Value Level 1	NOTEL/LOTEL T-Test p-Value Level 2	NOTEL/LOTEL T-Test p-Value Level 3	NOTEL/LOTEL T-Test p-Value Level 4	NOTEL/LOTEL T-Test p-Value Level 5	NOTEL/LOTEL T-Test p-Value Level 6	NOTEL/LOTEL T-Test p-Value Level 7	NOTEL/LOTEL T-Test p-Value Level 8	NOTEL/LOTEL T-Test p-Value Level 9	NOTEL	LOTEL
ACOT12_32718	170570	acot12	0.036297640653357534	0.12999040645882046	-1.1261808	1.1261808	-1.0358913	-1.1261808	-1.0732679	-1.0556659	-1.051386	-1.0105528	-1.1040423	-1.0095917	1.0183272	0.30554166	0.003809714	0.017464487	0.09470696	0.12508544	0.7163566	0.0019053572	0.81660247	0.4385658			
ACOT2_7969	192272	acot2	1.9924287706714485E-4	0.0036967747116988152	1.6464745	1.6464745	-1.0198702	-1.2334472	-1.0369725	-1.0021806	-1.1122099	-1.0409418	-1.1755893	-1.034553	1.6464745	0.8860953	0.21783052	0.7790625	0.9854667	0.33106142	0.762409	0.04776462	0.8127326	0.0039040325			
ACOT4_7971	681337	acot4	2.0308692120227456E-4	0.0036967747116988152	1.5675471	1.5675471	-1.0392888	1.1193384	-1.0009902	1.11449	1.1034313	1.1805617	1.1656036	-1.0511236	1.5675471	0.5894833	0.16791287	0.98593575	0.2298528	0.2750972	0.13692527	0.0313534	0.52956575	0.0077668466			
ACOX1_7973	50681	acox1	2.0008003201280514E-4	0.0036967747116988152	1.2353671	1.2353671	1.0143361	-1.1160269	-1.0600454	-1.0507609	-1.0778934	1.0034077	-1.0448877	1.0480168	1.2353671	0.7438318	0.027745072	0.21880426	0.32670864	0.082181916	0.93180585	0.13022888	0.31772462	2.810116E-4			
ACSM3_7976	24763	acsm3	0.00787878787878788	0.046883281484041944	1.319473	1.319473	1.0681953	1.0935385	1.0436739	1.1449598	1.1479015	1.098311	1.0341471	1.1716146	1.319473	0.19407128	0.31211218	0.6679142	0.14804702	0.08434543	0.525385	0.7170266	0.15001012	0.0130755855			
ACY3_32489	293653	acy3	6.107491856677524E-4	0.007541514471033837	1.2619389	1.2619389	1.013102	-1.059679	1.0139493	-1.0144622	1.051906	1.1018702	1.0562966	1.0409374	1.2619389	0.8066125	0.3953262	0.7778024	0.82135737	0.3885212	0.22049277	0.22656706	0.6191534	0.0024398884			
ADCK3_7987	360887	coq8a	0.002635313196837624	0.020621325765254408	-1.4141353	1.4141353	-1.058047	-1.4141353	-1.002007	-1.1724634	1.0483654	1.1169629	-1.0320107	1.1550701	1.2453213	0.59370476	0.06823307	0.9785817	0.20407428	0.5620132	0.36267596	0.7954964	0.12106149	0.058104187			
ADH5_7991	100145871	adh5	2.0060180541624874E-4	0.0036967747116988152	-1.0766425	1.0766425	-1.0159411	-1.0766425	-1.0247256	-1.055856	-1.0062313	-1.001086	-1.0153823	1.0051476	1.0704851	0.5240069	0.009197135	0.2961474	0.023098333	0.81314856	0.9694945	0.4320321	0.8392234	0.008779497			
ADHFE1_7993	362474	adhfe1	0.014527363184079602	0.07194722589583727	-1.1067755	1.1067755	-1.0096909	-1.1067755	-1.0261091	-1.0555867	-1.0611832	1.0098755	-1.0488188	1.0315773	1.0589777	0.81118715	0.0026905676	0.39945883	0.06780782	0.19996573	0.81388295	0.13447711	0.51015145	0.1003954			
ADI1_7994	298934	adi1	2.0312817387771684E-4	0.0036967747116988152	1.1636994	1.1636994	-1.0235988	1.0537751	1.0473592	1.0393476	1.0397155	-1.0018463	1.0524608	-1.0279012	1.1636994	0.6120044	0.22212374	0.28295743	0.3649833	0.4381543	0.97196317	0.28697434	0.5877165	0.005411066			
ADK_32788	25368	adk	0.03822293376025615	0.134123074741706	-1.0942191	1.0942191	-1.0072294	-1.0942191	-1.060457	-1.0373977	-1.0575323	-1.0039057	-1.0531498	1.0364932	1.0536171	0.8840348	0.06705283	0.20036608	0.41945052	0.24044532	0.93550724	0.25592628	0.4789447	0.15473533			
AFP_32524	24177	afp	0.0012053033346725592	0.011352219848612888	-1.4623977	1.4623977	-1.0328461	-1.3788778	-1.0438277	-1.2178218	-1.1366023	-1.0700581	-1.4623977	-1.135788	1.3934826	0.8185362	0.15965988	0.7543537	0.2735482	0.48649043	0.57275164	0.05469251	0.39784768	0.0072083916			
