Williams Trend Test
Data Source: P2_Perfluoro_3_methoxypropanoic_acid_Female_Thyroid_NoOutlier-expression1
Work Source: null
BMDExpress3 Version: BMDExpress 3.20.119 BETA
Timestamp (Start Time): 12/14/2025 07:29.58
Number of Permutations: 10000
Unadjusted P-Value Cutoff: 0.05
Multiple Testing Correction: false
Filter Out Control Genes: true
NOTEL/LOTEL Test: T-Test
NOTEL/LOTEL p-Value Threshold: 0.05
NOTEL/LOTEL Fold Change Threshold: 2.0
Total Run Time: 16 seconds

Chip: BioSpyder S1500_Rat
Provider: BioSpyder

=== Experiment Description ===
Experiment Type: in vivo
Test Article: Perfluoro-3-methoxypropanoic acid | CAS: 377-73-1 | DSSTOX: DTXSID70191136
Subject Type: in vivo
Species: rat
Strain: Sprague-Dawley
Sex: female
Organ: thyroid
Article Route: oral
Article Vehicle: feed
Administration Means: dietary
Study Duration: 28d
Platform: BioSpyder S1500+ Rat
Provider: BioSpyder
Article Type: chemical
Chip File Creation Date: 10/31/24
Log Transformation: NONE
BMDExpress3 Version: BMDExpress 3.20.119 BETA
Timestamp: 12/14/2025 07:06.33

Probe ID	Gene ID	Gene Symbol	Unadjusted P-Value	Adjusted P-Value	Max Fold Change	Max Fold Change Unsigned	FC Dose Level 1	FC Dose Level 2	FC Dose Level 3	FC Dose Level 4	FC Dose Level 5	FC Dose Level 6	FC Dose Level 7	FC Dose Level 8	FC Dose Level 9	NOTEL/LOTEL T-Test p-Value Level 1	NOTEL/LOTEL T-Test p-Value Level 2	NOTEL/LOTEL T-Test p-Value Level 3	NOTEL/LOTEL T-Test p-Value Level 4	NOTEL/LOTEL T-Test p-Value Level 5	NOTEL/LOTEL T-Test p-Value Level 6	NOTEL/LOTEL T-Test p-Value Level 7	NOTEL/LOTEL T-Test p-Value Level 8	NOTEL/LOTEL T-Test p-Value Level 9	NOTEL	LOTEL
CCL24_33270	288593	ccl24	0.027182866556836903	0.7577163318082355	-1.082452	1.082452	1.0722485	1.0274626	1.0354835	1.0674813	1.0537891	1.0391177	1.0241123	-1.0189152	-1.082452	0.088549644	0.39240703	0.32669255	0.13078596	0.1644354	0.31947303	0.43473503	0.6577468	0.34600842			
CCRN4L_8232	310395	noct	0.048110634982469806	0.7978140139430463	1.7093263	1.7093263	1.4586263	1.2074387	-1.4142905	1.183104	-1.0045881	1.2828087	1.2767593	1.2502711	1.7093263	0.087588415	0.43515608	0.4974457	0.61740273	0.990187	0.3038139	0.29858452	0.56837505	0.024250379			
CD33_33256	690492	cd33	0.010795681727309077	0.6472978303747534	1.1896464	1.1896464	1.0217645	1.0689951	1.0195222	1.0611112	1.0698988	1.0833622	1.0568541	1.1006896	1.1896464	0.80356896	0.27037418	0.66252655	0.36254352	0.23126589	0.17203715	0.2646313	0.072827056	0.043803766			
CDC20_8255	64515	cdc20	0.031936127744510975	0.7577163318082355	1.2757255	1.2757255	-1.029691	1.0466326	-1.0105475	-1.1255456	1.2021564	-1.0057353	1.1007445	-1.0018425	1.2757255	0.7509634	0.65841097	0.93536955	0.32603255	0.16368735	0.95893556	0.4082671	0.9888433	0.058436144			
CDT1_8276	292071	cdt1	0.0019743336623889436	0.4777396569122098	2.1076407	2.1076407	1.8094437	1.6717542	1.6758776	1.7506214	1.8147038	1.4023926	1.6039121	1.9644028	2.1076407	0.015915498	0.11252571	0.040976647	0.02389777	0.022049468	0.22365542	0.08811557	0.03308364	0.014089816	100.0	300.0	
CEBPB_32843	24253	cebpb	0.0019853087155052612	0.4777396569122098	2.7309418	2.7309418	1.9923044	1.7394122	2.3251975	2.1124094	2.6641011	2.7309418	1.9477172	2.0077853	2.5294635	0.06695198	0.2653961	0.027468525	0.04592388	0.0032422498	0.0037989838	0.07887793	0.070100866	0.0052745133	0.1	0.3	
CEBPD_8283	25695	cebpd	0.03136456211812627	0.7577163318082355	1.1237007	1.1237007	-1.0096943	-1.0297147	1.0052519	1.0467229	1.0722982	1.0953774	1.0536993	1.1237007	1.1049455	0.7746484	0.39876193	0.83208823	0.16231553	0.18388765	0.023731561	0.2165553	0.08669866	0.0027462959			
CENPF_8287	257649	cenpf	0.044382801664355064	0.7978140139430463	1.299082	1.299082	-1.0818244	1.1950642	1.1539258	1.0121368	1.1931558	1.0376786	1.1560751	1.2887558	1.299082	0.56727785	0.17816791	0.22941796	0.9169873	0.28124735	0.7313861	0.2843062	0.15763633	0.04231485			
CHEK2_8305	114212	chek2	0.0051231527093596055	0.5044174389672208	2.9326248	2.9326248	1.7970704	1.8972859	1.7988036	1.6614672	1.8970346	2.0231855	1.8673773	1.6128763	2.9326248	0.2338921	0.16329192	0.20787355	0.28437454	0.17976697	0.19140057	0.20084429	0.30247554	0.0024841542	100.0	300.0	
CHPT1_33298	362866	chpt1	0.0118521494576135	0.6472978303747534	1.0950279	1.0950279	1.0354927	1.0254052	1.07139	1.0805709	1.0648848	1.0718789	1.0216496	1.0797926	1.0950279	0.26592737	0.28348687	0.01728389	0.04721004	0.05311914	0.025771817	0.3363525	0.08544153	0.07431125			
CLEC10A_32620	64195	clec10a	0.034725010036130065	0.7577163318082355	1.0941771	1.0941771	1.0060713	-1.0151675	1.0127507	1.0152646	1.0613874	1.051971	-1.0013094	1.0286412	1.0941771	0.86762977	0.7301904	0.7080603	0.66095257	0.1763809	0.06772339	0.9663776	0.30237862	0.121232785			
CLU_32773	24854	clu	0.048164692173237524	0.7978140139430463	1.1246917	1.1246917	-1.0290221	1.0511012	1.0805423	1.0194244	-1.0117136	1.080566	1.071118	1.0501577	1.1246917	0.7561627	0.23072557	0.17262238	0.72955984	0.8636681	0.096449204	0.12865928	0.36980543	0.016893301			
CPT2_8374	25413	cpt2	0.005156683855612852	0.5044174389672208	1.2034106	1.2034106	1.0237068	1.0499572	1.0728734	1.1160201	1.094716	1.0488973	1.0725545	1.0892849	1.2034106	0.7534982	0.48330072	0.3150508	0.06861222	0.10407571	0.5010195	0.24777712	0.18806641	0.030505205			
CRAT_8375	311849	crat	0.008072266000384394	0.5983227616886182	1.0955974	1.0955974	1.029577	-1.0167878	1.0223758	1.0431443	-1.0175096	1.0329741	1.0498458	1.0124456	1.0955974	0.33679107	0.6990723	0.48412856	0.25476795	0.5936632	0.34280458	0.12835026	0.67030466	0.011090031			
CRYAB_33054	25420	cryab	0.03057375421878102	0.7577163318082355	-1.2681005	1.2681005	-1.0665414	-1.0263674	-1.0899299	-1.1602749	-1.2681005	-1.088965	1.0158749	-1.024535	1.2015997	0.53765166	0.8179062	0.44096035	0.1589413	0.033384368	0.34725794	0.88574713	0.7697737	0.2325197			
CSRP3_32915	117505	csrp3	0.004165013883379611	0.500994708994709	1.9236591	1.9236591	-1.0152631	1.0851794	-1.0199894	-1.0306667	-1.0474786	-1.1134186	1.1657451	1.2903202	1.9236591	0.9556839	0.7768702	0.9420459	0.9018703	0.8302339	0.62294734	0.5629599	0.12720017	0.019412765			
CTSD_8403	171293	ctsd	0.020420665713702265	0.7467403654230002	1.0536968	1.0536968	1.0216653	1.0197674	1.0132331	1.0253489	1.0208826	1.0397098	1.0149822	1.0197252	1.0536968	0.10637823	0.19899452	0.37926832	0.22444353	0.07554004	0.14252451	0.24006252	0.22867386	0.08179126			
CXCL12_32815	24772	cxcl12	0.01826015592942142	0.7467403654230002	-1.0799085	1.0799085	1.0007404	-1.0165048	-1.0043411	-1.0446362	1.0053673	-1.0238578	-1.0032032	1.0148027	-1.0799085	0.97451746	0.5125162	0.878805	0.115379974	0.78076	0.3781417	0.90233994	0.6271475	0.0052941097			
CYP4A2_32530	24306;298423	cyp4a2;cyp4a3	0.04396467124631992	0.7978140139430463	-1.8839618	1.8839618	-1.1740384	-1.6171781	-1.8449187	-1.2490556	-1.838117	-1.8454047	-1.5677485	-1.8318377	-1.8839618	0.50741714	0.06007015	0.025955454	0.4231235	0.032072436	0.08979564	0.07721424	0.043417517	0.22193053			
DDIT3_8449	29467	ddit3	0.008618961715774705	0.5983227616886182	1.0778406	1.0778406	-1.015505	1.0135624	-1.0030316	1.0016861	1.0073638	1.0104353	1.026018	-1.0175482	1.0778406	0.4968599	0.4985417	0.8444459	0.9317485	0.8163708	0.69015974	0.40796387	0.50619245	0.036135275			
