Subject Type: In Vivo
Species: Rat
Strain: Sprague-Dawley
Sex: Female
Organ: Brain
Test Article: Perfluoro-3-methoxypropanoic acid
CASRN: 377-73-1
DSSTOX: DTXSID70191136
Study Duration: 28d
Article Type: Chemical
Article Route: Oral
Article Vehicle: Feed
Administration Means: Dietary
Platform: BioSpyder S1500+ Rat
Provider: BioSpyder

	A52	A53	A54	A55	A56	A57	A58	A59	A60	A61	A62	A63	A64	A65	A66	A67	A68	A69	A70	A71	A72	A73	A74	A75	A76	A77	A78	A79	A80	A81	A82	A83	A84	A85	A86	A87	A88	A89	A90	A91	A92	A93	A94	A95	A96	A97	A98	A99	A100	A101	A102
ABCC4_32768	2.4252481	2.92642	3.4444118	3.140541	2.8359857	0.50050646	3.3971446	2.381319	2.0694804	2.9049046	1.9180743	0.0	1.3610916	1.9664943	1.4908371	2.4270532	2.0262887	2.3489285	3.394951	2.709928	2.3152866	2.5373566	3.3458283	1.7558814	1.9137738	1.9806744	1.8837827	2.843525	3.9989173	2.9391413	2.2952955	2.4463825	2.9277973	2.7385187	0.81701523	3.251942	2.358765	1.704575	1.6278664	1.7579578	0.7439918	0.80332476	3.2575564	2.0965743	2.7160895	1.3243449	2.9273834	1.8925543	1.934951	2.6348042	2.2600117
ABCC5_7942	7.233577	7.1872616	6.583554	7.3450356	7.055462	7.0494466	7.4578886	7.212905	7.2934356	7.0665035	6.95395	7.4533896	6.559848	7.406622	6.7765145	7.4179363	7.176809	7.3427114	7.3471885	7.3233714	6.9575443	7.2481356	7.129628	6.9705477	7.151419	7.497878	7.1107297	7.206729	7.5901275	7.5412145	7.0149193	7.3850093	7.1497693	6.8829255	6.800315	7.2493606	6.924079	7.1858373	6.990163	6.5622573	7.1705093	7.3786526	6.7459307	7.1488104	7.3447924	7.249552	6.6871443	7.1573477	6.825039	7.6786127	7.52992
ABCF1_7945	8.18177	7.4818153	7.4237423	7.6866384	7.5567303	7.516155	8.316688	7.8244047	7.7335224	7.765489	7.7435036	7.7749352	7.5701575	7.9721346	7.625281	7.7806835	8.300449	7.979566	8.346272	8.392098	8.138418	7.9668584	8.055718	8.049212	8.040355	8.036318	7.6589856	7.721389	8.366091	8.044812	8.200363	8.151509	7.6597953	8.233643	7.996767	8.133518	8.37817	7.9277854	7.7570715	7.8877497	7.8816133	7.889975	7.665042	8.221012	8.199034	7.889705	7.735844	7.763912	7.811427	7.994533	7.8473215
ABCF3_7946	8.1421385	8.005416	7.1766977	8.240545	7.6643586	7.5128827	8.410638	8.019602	8.367754	8.129573	7.661712	8.095545	7.7648296	7.6295657	7.912254	8.485957	8.580784	7.960721	8.669423	8.374995	8.092912	7.9628944	7.8273134	8.254073	7.998026	7.982704	8.101974	7.5417275	8.652919	8.251884	8.348997	8.281002	8.327294	8.372872	8.353289	8.076663	8.465027	8.412157	7.9725194	8.202638	8.276403	7.791521	7.957864	8.356996	8.399346	8.432374	7.7846937	7.713523	7.9595184	8.354616	8.063719
ABCG2_32656	5.9383507	4.606542	4.774147	4.711115	5.8907604	3.506875	6.504457	4.2872186	5.831718	5.725672	4.948424	4.0977273	5.1180725	4.839337	5.3516088	6.194481	5.3828273	5.0770574	5.9744077	5.623584	5.2013717	4.2879534	5.205715	4.9222145	5.93552	3.4028614	6.005057	4.397637	6.660822	5.038507	5.415865	5.3852944	6.2321434	6.304062	2.973761	6.129013	5.9277782	5.380865	4.498405	4.409297	6.1670036	3.9911692	7.032118	6.387886	6.346603	5.6186533	5.9864616	4.166374	5.4567895	5.5012074	5.9604864
ABHD1_7949	4.766981	5.0218124	3.891468	4.1297626	4.1607456	3.4532597	4.9632325	4.2872186	4.5472946	4.4114437	3.5137353	3.2394793	3.6742303	3.281627	4.506287	4.7691174	5.3828273	4.6761966	5.197588	4.719125	4.2093716	3.582967	4.3828006	4.3792777	4.616325	4.3329973	4.260048	4.9233465	5.3656554	3.765326	4.056079	5.0398	4.2191896	4.4308004	5.010424	5.0684824	5.4933267	4.733665	4.0295186	3.9899282	4.0461836	3.9219356	4.122143	4.766352	5.1053996	4.4632745	3.6720066	4.110824	4.2533364	3.7415648	3.8343914
ABHD4_7950	4.1383734	4.413764	4.3765783	4.6624546	5.0209937	3.506875	5.6051373	2.7853792	5.2082925	4.4654174	3.8968449	3.7315044	3.5827444	4.314923	3.1933522	5.0168185	4.3908134	4.6761966	5.6027637	4.4321494	4.2093716	4.069415	4.669336	4.9222145	4.616325	3.9066195	4.8703327	2.843525	5.910808	3.3063686	4.8905764	4.712561	5.2372317	5.1310577	4.0872	6.3369756	4.6489053	4.6056366	3.6833017	3.9348128	3.923232	3.3134518	5.0493503	5.9832582	5.997101	5.242324	6.003071	3.482003	4.2954364	4.6496415	5.133793
ABHD6_7951	5.958773	5.1093163	4.702919	5.473669	5.299278	5.4084067	5.4822984	5.7784624	5.72675	4.9921336	6.1248403	5.459115	5.5390053	5.7761354	6.365857	5.080425	4.801863	5.760965	5.25865	5.131309	5.762675	5.554375	5.3204823	5.8982253	5.5866113	5.4504933	5.4609594	5.5881176	5.158218	5.221567	5.833459	5.507946	5.3191295	5.535766	5.448188	5.704839	5.2799177	5.185714	5.6374836	5.8769617	5.815931	5.8672566	5.19699	5.6482897	5.1383724	5.183824	5.751098	5.696752	5.380611	5.5012074	5.23405
ABL1_7952	6.037689	5.904775	5.711704	5.2613535	5.532465	4.8263383	6.4132476	4.804509	5.72675	5.6106234	5.293288	5.3547206	3.991277	5.2509313	5.252312	6.0107822	5.755391	5.905933	6.284417	6.8557034	5.9782357	5.9077525	5.347802	4.485165	6.0148573	5.3498416	6.092976	4.994968	6.973118	5.5977664	6.0756454	6.0010915	6.0522504	6.4516425	5.8033957	6.481642	6.420396	6.336812	5.4432077	5.102266	5.551105	5.257611	6.5064936	6.8944464	6.684647	6.400583	6.035726	4.3212385	5.3207154	6.0186706	5.6516085
ACAA1A_7954	5.853641	5.3073397	5.387584	5.293665	5.1198406	4.548088	5.761236	5.3721595	4.497111	4.6631346	5.3186264	5.3273973	4.6165886	4.802224	4.1858616	4.9839315	5.272436	5.14541	5.7159553	5.7979746	5.675552	5.375086	5.684222	4.844761	5.743912	5.3756704	4.6171293	5.220875	5.641205	5.6196756	5.695189	5.745882	5.12026	5.7217517	4.665406	5.0684824	5.3052497	5.1555486	4.919711	4.701161	4.540307	5.2002873	4.575089	5.9454	5.698604	5.40481	5.3186646	5.0684576	5.493422	5.7130833	5.184792
ACAA2_7955	8.94858	9.374519	9.33296	9.406433	9.278846	7.875881	9.358748	8.260474	9.091038	9.222166	8.857154	8.407475	8.08543	8.654833	9.675154	9.186204	9.071741	8.892203	9.191907	8.635582	8.408727	9.044951	9.107966	9.72137	8.541465	8.298436	9.0526	8.7232485	9.115738	7.773943	8.36048	9.073515	9.318424	9.580355	8.189781	9.061484	8.731124	8.289039	8.496943	8.436368	9.3128605	8.634459	9.314807	9.695651	9.470251	9.467545	9.81548	8.152286	9.461926	9.733066	8.399488
ACACA_32532	8.986373	8.64084	8.723851	8.805827	8.6717005	8.49407	9.082474	8.68618	9.167231	9.009289	8.461752	8.559054	8.62486	8.821754	7.949714	9.377183	8.778017	8.950677	9.359817	8.999261	8.9488125	8.786954	9.0695095	8.137116	9.006892	8.389993	9.026787	8.549791	9.263783	9.164505	8.848327	8.909622	9.125154	8.873729	8.674335	9.294812	9.13593	9.293672	8.679664	8.4994545	8.886802	8.318161	8.617598	8.81883	9.204383	9.341084	8.391328	8.357142	8.712407	9.020939	9.124439
ACADL_32776	3.2842813	2.3399646	2.1027782	4.390993	3.645364	1.9645727	3.9357226	2.597449	4.216102	3.7189813	0.7611114	0.821861	2.0487905	3.0479627	3.3294969	3.9628386	2.2755868	2.0961154	4.0064816	3.0226471	2.0640647	4.0091853	3.4503489	3.0236063	3.5935614	1.6826099	2.5130422	1.3473419	4.198064	3.1940348	3.5138428	2.4463825	4.570826	3.4501202	2.8266113	3.4694612	3.5863438	2.4643173	2.8622863	2.5271657	2.516929	0.80332476	4.180087	2.9172127	3.3991852	3.6184072	4.5703692	2.134599	3.8632967	3.5137203	3.473338
ACADM_7957	6.873743	6.4316387	7.0316277	7.092984	7.205547	5.3062634	7.270133	6.1474724	7.479402	7.2391105	6.167301	5.459115	5.9027925	6.1156588	7.266683	7.696917	6.4566083	6.6450944	7.3187966	6.7322	6.414696	6.5174828	7.228477	7.4925895	6.972199	5.675115	7.3255935	5.802897	7.0089035	5.552923	6.130333	6.7018642	7.77553	7.791624	6.2413106	7.052815	6.777926	6.6389046	6.2127533	6.0811124	7.0507917	6.1044574	7.7001214	7.9228716	7.584978	7.5334344	7.2777076	5.7522655	6.4496226	7.44512	6.6553817
ACADSB_7959	7.607936	6.982333	6.5433416	7.630821	7.320849	6.578243	7.2016954	7.6659484	7.233393	7.4208374	7.291256	6.7915397	7.0008154	7.1722026	7.7025504	7.4117675	7.3362236	7.1565204	7.6785593	6.8946285	7.358066	7.324266	7.1217365	8.376085	7.9011226	6.8385844	6.9861474	7.1132646	7.3531594	6.988461	7.133448	6.810725	7.6597953	8.109473	7.01095	7.0943246	7.2776217	7.272717	7.189283	6.7415676	7.485009	6.8076463	7.392236	8.301885	7.4271536	7.461384	7.9088783	6.8700852	7.6585255	8.206606	7.2535934
ACADVL_7960	8.544684	8.2868805	8.705747	8.559029	8.330159	6.946491	9.069731	7.46747	8.749014	8.409756	7.7103844	8.170497	7.4968696	7.8272505	8.71471	8.762933	8.51564	8.542168	9.144161	8.911835	8.266913	8.017422	8.393867	8.389784	8.736638	7.735846	8.290424	7.66212	9.1116295	8.293369	8.491591	8.7841625	8.850062	9.076857	8.208479	8.610627	8.991253	8.791409	7.7617116	8.115481	8.231762	7.27141	9.023827	9.43382	8.99306	8.9071455	8.269624	7.4537244	8.312037	8.84411	8.372245
ACAT2_7961	6.895094	7.022336	6.9416723	7.692709	7.4211683	6.501079	6.789921	6.9921327	7.98636	7.53251	7.136006	6.934212	7.3657894	7.5309286	7.076586	8.422943	7.2873855	7.2526174	7.7494116	7.023146	6.9667478	7.360876	7.6411076	7.2362204	7.2981844	6.712511	8.164186	7.251284	6.991122	7.2283688	7.159977	7.0795493	8.152148	7.3772173	6.800315	7.219658	7.2054563	7.4633164	7.5686927	7.1206737	7.9774337	7.013019	7.07856	7.276269	7.0303607	7.735326	6.786432	7.5560575	7.272458	7.5740013	7.265488
ACBD3_7962	4.766981	4.447736	4.127368	4.803772	4.221365	4.136553	4.383012	3.2357666	3.6993387	4.6631346	4.662083	3.8125641	4.6165886	4.945269	4.7683187	4.469888	4.442712	4.2491126	5.0671177	4.2032413	4.4903126	4.0091853	4.871107	3.687803	5.096566	4.279274	5.14171	4.684306	4.198064	4.1129785	4.1648693	4.114235	4.698726	4.840967	4.3250937	4.4547424	4.6087756	5.0610723	4.0898027	4.1436653	4.3624206	3.6060598	4.849587	4.891084	5.1053996	4.7317944	4.698268	4.166374	4.1652613	4.360428	4.271882
ACD_7963	6.4663706	6.5221095	5.57876	6.0477686	5.9986043	5.745995	6.779524	6.0408044	5.851825	5.657749	6.6084633	6.2523456	5.921584	6.0538473	6.487285	5.7812176	6.4311414	6.3443203	6.4506493	6.17524	6.5432982	6.177762	6.357122	6.475102	6.5180607	6.383872	5.5043607	6.1075807	6.7159915	5.93135	6.353616	5.823519	5.6284676	6.820925	6.4816194	6.06364	6.1950116	4.88841	6.2659783	5.5684185	6.1396484	5.732222	5.6507874	6.714828	6.8629107	6.3746643	6.7075562	5.939285	6.430858	6.71724	6.0037346
