Subject Type: In Vivo
Species: Rat
Strain: Sprague-Dawley
Sex: Female
Organ: Kidney
Test Article: Perfluoro-3-methoxypropanoic acid
CASRN: 377-73-1
DSSTOX: DTXSID70191136
Study Duration: 28d
Article Type: Chemical
Article Route: Oral
Article Vehicle: Feed
Administration Means: Dietary
Platform: BioSpyder S1500+ Rat
Provider: BioSpyder

	A52	A53	A54	A55	A56	A57	A58	A59	A60	A61	A62	A63	A64	A65	A66	A67	A68	A69	A70	A71	A72	A73	A74	A75	A76	A77	A78	A79	A80	A81	A82	A83	A84	A85	A86	A87	A88	A89	A90	A91	A92	A93	A94	A95	A96	A97	A98	A99	A100	A101	A102
ABCC3_7941	6.0147085	5.283418	5.2746363	5.226504	5.534965	5.73946	5.5742574	5.857454	5.5228844	4.6340485	5.9643955	4.9558144	5.0507083	4.875175	5.56945	5.681688	5.6034036	5.7154346	6.006064	5.1471477	5.6357756	5.9713006	6.176332	5.0142875	5.7994857	5.223436	6.0842533	5.1755095	5.645772	5.14314	5.603144	5.7664504	4.893378	5.356048	5.594986	5.367833	5.1154976	5.7563314	5.0802913	5.5681453	6.238879	5.507185	5.452649	5.2831936	5.1548176	5.3850126	5.9369545	6.493073	5.0734267	4.6136413	4.857502
ABCC4_32768	5.2040796	3.9779148	4.562305	4.2063913	4.1708775	5.209208	4.137709	4.906372	5.0597396	4.077848	4.159132	4.769795	5.621088	4.875175	4.54531	4.5099473	4.076602	4.547242	5.2116685	4.2186623	5.0193787	4.8431597	5.0566654	4.8672357	4.458057	4.753373	4.784316	5.0387354	4.397299	5.009713	4.6325226	5.372846	4.7386127	4.4469895	3.7042341	4.7883987	4.700988	4.654574	4.8257604	4.196115	4.26686	5.1810174	4.1902585	3.9776993	4.5176287	4.192431	5.055814	4.686129	4.452061	4.5323195	4.4166126
ABCC5_7942	5.272604	4.6376204	4.2170773	4.4260926	4.3534756	5.081673	4.201093	5.3570285	2.5196848	4.151347	5.305624	5.616348	4.910893	4.53273	4.79801	4.2500606	5.2203298	4.6676216	5.184936	4.549885	5.787157	3.9305067	4.5559545	4.7601533	3.9293916	3.600593	4.5785437	3.637008	4.5877466	4.3022976	4.743519	4.3055544	3.624916	4.788591	5.5708385	4.0624266	4.339021	4.937715	4.122317	4.878764	5.69907	4.159631	4.9063725	4.5960865	4.8358564	3.8900967	4.173464	6.0657086	5.2049365	3.9154365	4.0239186
ABCF1_7945	7.5643616	7.261985	7.1390004	7.284195	6.9744587	7.480759	7.2776704	7.2755914	6.5071096	6.970955	7.278003	7.0405784	7.0430274	6.955769	7.4612246	7.06563	7.6091723	7.150416	7.777302	7.2360806	7.3955708	7.6300216	7.6966476	7.1384172	7.533843	6.9903665	7.3735867	7.005437	7.0345283	7.0792665	7.072202	7.43945	7.0166483	7.2288895	7.4117785	7.0079694	6.9888134	6.957366	7.0981984	7.2621117	7.3818	7.2193003	7.3008547	6.664933	6.8156767	7.3889484	7.670333	7.491669	7.075712	6.990174	6.6472945
ABCF3_7946	7.6697555	7.400435	7.460597	7.2121596	7.452606	7.9420085	7.520639	7.2473946	7.191735	7.413308	7.505458	7.6273723	7.4235215	7.373047	7.7094	7.396701	7.522869	7.6466746	8.019707	7.339571	7.7090273	7.921347	8.02656	7.221498	7.2931895	7.7362375	7.9820127	7.640821	7.159824	7.2590733	7.653587	7.9284987	7.4806895	7.366246	7.566331	7.335301	7.301887	7.591941	7.3470626	7.6182356	7.5137224	7.4645243	7.5174174	7.537479	7.3963637	7.486719	7.962077	7.624228	7.3700356	7.0351467	7.3618493
ABCG2_32656	8.420339	7.956256	7.72341	8.225697	8.293218	8.283743	8.485223	8.374504	9.542849	8.568497	7.598071	8.378878	8.545837	8.317529	8.105646	8.228657	8.14428	8.255087	8.32224	8.380887	8.088032	8.336075	8.312035	8.839991	8.445647	8.416164	8.328712	8.536021	8.364557	8.494921	8.027157	8.776714	8.705441	8.321142	8.404123	9.050598	8.443991	8.617151	8.878976	8.094995	8.007163	9.020789	8.551128	8.125306	8.855297	8.610672	8.673255	8.003836	8.640033	8.845185	8.675141
ABHD1_7949	5.017015	4.9642406	4.961995	4.4260926	4.463514	4.978031	5.1928573	4.643341	4.989806	4.7802296	3.7056496	4.601516	4.62795	4.156351	4.7508874	3.616778	5.1907797	4.547242	4.551546	4.6907535	4.572206	5.029508	5.0566654	4.5187197	5.293217	4.39474	5.0060782	5.0387354	3.918881	4.412139	4.4261446	4.792713	4.31433	4.553113	5.1819143	4.6382337	4.117081	4.654574	4.6572227	4.6187353	4.4785066	4.7588863	5.519299	4.2145114	4.7997108	4.5737114	5.298272	4.5403395	4.3420663	4.9630566	4.458958
ABHD4_7950	5.626857	4.418097	3.9303606	4.9711556	4.9529543	5.4347444	5.422959	5.6433306	4.714302	4.151347	5.584464	5.402512	5.403573	4.875175	4.972468	4.688665	5.098313	5.6966915	5.7011013	4.8987026	5.466627	5.029508	6.3051887	5.104604	5.020972	5.5318465	5.8293433	5.521868	4.9419155	4.974335	4.6704783	5.707864	5.0331373	5.1000414	5.08294	4.5981164	3.271615	5.3774977	4.36054	5.364748	5.3945384	5.150192	5.258212	4.8975577	4.8358564	5.605882	5.753786	5.5603366	4.709985	4.866821	4.616908
ABHD6_7951	5.573531	5.3839545	5.7037115	5.5407047	5.403083	5.5834084	6.0917134	5.9302096	5.4979095	5.146574	5.5477805	4.990304	5.621088	5.0396276	5.6741934	5.723308	5.7725234	5.0972676	5.3624263	5.0804195	5.245399	5.3141537	4.9202423	5.3824606	5.4984374	5.2796364	5.6827307	5.1755095	5.4874353	4.974335	5.8212905	5.241326	5.2492213	5.5733995	5.5708385	5.4147816	5.588985	5.5069003	5.296579	5.364748	5.169165	5.24076	5.283999	5.058297	4.6040044	4.8749995	5.0819774	5.283175	5.162418	5.389757	5.94096
ABL1_7952	5.489655	5.6083465	5.0375595	5.5169826	5.2579207	6.364171	5.644345	5.976752	5.158667	5.0344872	5.7869005	5.9145336	5.403573	5.0779696	5.5963573	5.2689795	5.5807986	5.7880616	6.257676	5.5924425	5.612792	6.631539	6.687913	4.8672357	5.6352134	5.1040077	6.214495	5.300432	5.106616	5.603023	5.787147	6.290267	5.75237	5.3264236	5.6187363	5.46025	5.4371085	5.043891	5.267596	5.4357815	5.6777954	5.507185	6.129736	5.2029095	5.2912407	6.0440464	6.4197464	5.9928412	5.5564446	5.0821323	4.7927556
