Williams Trend Test
Data Source: P2_Perfluoro_3_methoxypropanoic_acid_Female_Thymus_NoOutlier-expression1
Work Source: null
BMDExpress3 Version: BMDExpress 3.20.119 BETA
Timestamp (Start Time): 12/14/2025 07:30.15
Number of Permutations: 10000
Unadjusted P-Value Cutoff: 0.05
Multiple Testing Correction: false
Filter Out Control Genes: true
NOTEL/LOTEL Test: T-Test
NOTEL/LOTEL p-Value Threshold: 0.05
NOTEL/LOTEL Fold Change Threshold: 2.0
Total Run Time: 16 seconds

Chip: BioSpyder S1500_Rat
Provider: BioSpyder

=== Experiment Description ===
Experiment Type: in vivo
Test Article: Perfluoro-3-methoxypropanoic acid | CAS: 377-73-1 | DSSTOX: DTXSID70191136
Subject Type: in vivo
Species: rat
Strain: Sprague-Dawley
Sex: female
Organ: thymus
Article Route: oral
Article Vehicle: feed
Administration Means: dietary
Study Duration: 28d
Platform: BioSpyder S1500+ Rat
Provider: BioSpyder
Article Type: chemical
Chip File Creation Date: 10/31/24
Log Transformation: NONE
BMDExpress3 Version: BMDExpress 3.20.119 BETA
Timestamp: 12/14/2025 07:06.33

Probe ID	Gene ID	Gene Symbol	Unadjusted P-Value	Adjusted P-Value	Max Fold Change	Max Fold Change Unsigned	FC Dose Level 1	FC Dose Level 2	FC Dose Level 3	FC Dose Level 4	FC Dose Level 5	FC Dose Level 6	FC Dose Level 7	FC Dose Level 8	FC Dose Level 9	NOTEL/LOTEL T-Test p-Value Level 1	NOTEL/LOTEL T-Test p-Value Level 2	NOTEL/LOTEL T-Test p-Value Level 3	NOTEL/LOTEL T-Test p-Value Level 4	NOTEL/LOTEL T-Test p-Value Level 5	NOTEL/LOTEL T-Test p-Value Level 6	NOTEL/LOTEL T-Test p-Value Level 7	NOTEL/LOTEL T-Test p-Value Level 8	NOTEL/LOTEL T-Test p-Value Level 9	NOTEL	LOTEL
ANXA1_33262	25380	anxa1	0.0018214936247723133	0.11688224198329292	1.192147	1.192147	1.0746416	1.1003063	1.0853938	1.057273	1.033926	1.0850153	1.078386	1.1058708	1.192147	0.0053391196	0.01605896	0.07883074	0.12507147	0.35470247	0.01217271	0.00521605	0.104744315	0.22512585			
ANXA7_8051	155423	anxa7	0.024905359633393107	0.2045858731651997	1.1882085	1.1882085	1.0940957	1.0776191	1.0451354	1.037433	1.0678713	-1.0255965	1.0712858	1.1005636	1.1882085	0.15246338	0.10680733	0.37856635	0.3208937	0.45901272	0.6539904	0.14026299	0.11051784	0.024874847			
APEX1_8058	79116	apex1	0.0024009603841536613	0.11688224198329292	1.1021234	1.1021234	-1.0001268	1.0192482	-1.0177703	1.0134087	-1.0026817	1.0090357	1.0035341	1.0165371	1.1021234	0.9953898	0.45591798	0.5522014	0.55903774	0.90729105	0.69594944	0.86677605	0.51665795	0.02465174			
APOC1_8063	25292	apoc1	0.008158270446665308	0.15031432805271833	1.2169027	1.2169027	-1.0648435	1.0095236	-1.0452873	-1.057995	-1.0804323	1.0256736	-1.0567082	1.0655559	1.2169027	0.3368406	0.81310886	0.4328522	0.25431797	0.082841374	0.46037534	0.3229708	0.41728103	0.32705954			
APOE_8064	25728	apoe	0.013395575400852447	0.16908363636363638	1.1044097	1.1044097	1.0199318	1.062891	1.0687461	1.0101664	1.0402365	1.023763	1.0186348	1.0049642	1.1044097	0.5138324	0.009985484	0.011730142	0.7132958	0.16216718	0.2170274	0.37786126	0.8362138	0.37423292			
ARHGAP11A_8079	296060	arhgap11a	0.015505436971405558	0.18178708379482003	-1.098128	1.098128	1.0575137	1.0107485	1.0665945	1.0179533	1.0629239	1.0276315	1.0568783	1.0530245	-1.098128	0.042334706	0.5091683	0.014790487	0.2473413	0.008614718	0.29614338	0.0060638767	0.26112667	0.48070088			
ARL11_32961	364396	arl11	0.04657481078983117	0.24487059612229417	1.4982823	1.4982823	1.0097733	1.0864568	-1.0446047	1.2485712	-1.0674912	1.2494378	-1.2791002	1.332076	1.4982823	0.95552033	0.4754838	0.78218305	0.08214867	0.7185305	0.11345938	0.4376768	0.06793331	0.24408303			
ARPC1B_32419	54227	arpc1b	0.022713065221921232	0.20122809273208514	1.0878763	1.0878763	1.035837	1.0194868	1.0236442	1.022884	1.0537362	1.0095341	1.0171247	1.0878763	1.087794	0.19878191	0.03122351	0.27836832	0.05444613	0.09299222	0.6168511	0.26355737	0.01896501	0.06737724			
ASF1B_32459	304648	asf1b	0.03899721448467967	0.23123030479124343	-1.1264163	1.1264163	1.0265285	1.0054284	1.010008	1.0136353	1.0304848	1.0087246	1.0256026	1.0101072	-1.1264163	0.18164107	0.7244459	0.409764	0.30753335	0.120832644	0.6673164	0.1391367	0.684018	0.49083477			
ATF6_8098	304962	atf6	4.0120361083249747E-4	0.07236704900938477	1.2208136	1.2208136	1.0368237	1.0498086	1.0086565	1.0422177	1.0433391	1.0183536	1.0680225	1.1079607	1.2208136	0.42274275	0.33192527	0.83958226	0.25332326	0.25363126	0.6721316	0.08526746	0.022331467	4.0624556E-4			
