Chip: BioSpyder S1500_Rat
Provider: BioSpyder

=== Experiment Description ===
Experiment Type: In Vivo
Test Article: Perfluoro 3 Methoxypropanoic Acid
Species: Rat
Strain: Sprague-Dawley
Sex: Male
Organ: Liver
Chip File Creation Date: 10/31/24
Log Transformation: BASE2
BMDExpress3 Version: BMDExpress 3.20.119 BETA
Timestamp: 12/04/2025 07:38.05

Something	A36	A38	A20	A18	A33	A45	A44	A16	A15	A46	A41	A37	A30	A29	A8	A26	A40	A35	A1	A3	A12	A17	A42	A24	A4	A7	A11	A51	A32	A22	A2	A14	A39	A5	A6	A9	A31	A48	A21	A49	A47	A34	A13	A27	A28	A50	A25	A10	A23	A43	A19
CYP2C6V1_33169	10.921701	11.833911	11.478775	11.637359	11.551904	10.920343	11.467436	11.550754	11.048008	11.512971	10.265426	11.291531	11.390034	11.277837	11.539196	11.2998905	11.335001	11.232525	10.84307	12.084887	10.411458	11.163712	10.426103	11.811104	10.258547	11.084497	10.712902	11.175171	11.489129	10.818675	10.927432	12.097046	11.671502	12.043315	10.928078	11.236449	11.60352	11.329505	11.630635	11.665148	11.684228	11.218623	12.290517	10.635206	11.453359	11.967875	11.249627	11.335796	10.4691305	10.304787	11.645329
CYP2D1_32660	7.6198983	6.805805	6.1816173	6.340426	6.925305	7.409315	6.555659	6.4062953	6.433673	6.599575	6.422137	7.1298904	7.4041266	6.328302	7.2868648	5.967714	6.702415	6.9397597	7.4626307	6.9517508	6.939937	6.5029163	7.441569	6.6718926	7.2927027	7.4031687	7.1179733	7.050313	6.5671234	6.8624463	6.679997	5.5757246	6.588951	6.4650264	6.856474	6.1178966	6.475601	7.274359	6.8848825	6.931593	6.5152245	6.749927	5.9492693	7.1032467	6.7660327	6.872064	6.9126167	6.751025	6.444949	7.5520678	6.6086764
CYP2D3_8420	6.746156	6.96705	6.399189	6.409967	7.046089	7.107908	7.388412	6.754907	6.1763225	7.265406	7.2438793	6.813826	6.875701	6.898726	7.070068	6.33244	7.219493	7.3946652	6.893906	6.6370025	6.8625875	6.4877386	6.9939475	6.556169	6.5965385	6.5685983	6.6839633	7.402267	6.9094367	7.181893	6.5563774	6.376214	6.959917	6.2897654	6.5290318	6.6784306	6.6450567	8.057034	6.828151	8.077422	7.8731375	6.4924216	6.301687	6.9903383	6.733547	7.639144	6.7923603	6.770473	6.680123	6.9240212	6.7960534
CYP2D5_32296	0.0	0.0	0.0	0.0	0.0	4.766741	0.0	0.0	0.0	0.0	4.317193	4.5102053	0.0	0.0	4.4677963	0.0	4.260792	0.0	0.0	0.0	4.614798	0.5602896	0.68006337	4.2119765	0.0	0.0	0.0	5.05673	0.0	5.667165	4.2724814	2.7354863	0.0	2.9062183	0.0	0.0	0.0	0.0	5.096006	4.7140985	5.2362657	4.2167525	4.0729947	4.206825	0.0	0.0	3.8569224	0.0	0.7160639	0.7390483	0.0
CYP2E1_8421	10.239108	10.040423	7.960686	9.027566	8.776225	10.194387	8.874705	8.776489	8.034916	9.441253	8.683861	9.414044	10.481044	9.323715	10.909129	8.624473	8.909613	8.403533	10.788941	9.762578	9.012928	8.754571	10.08425	9.249322	10.379649	9.786973	9.609913	9.728051	9.166616	9.875915	9.318436	8.306225	9.134451	9.28527	9.082619	8.916314	8.991484	8.966486	9.665636	9.213683	8.503346	9.559064	8.597162	9.611866	9.539842	9.649029	9.4759	8.595872	8.933115	9.599519	9.214516
CYP2F4_8422	5.6820793	5.9121675	5.4161816	5.358121	5.715683	6.0374436	5.945275	5.3088636	5.594288	5.396883	5.5950313	6.0099216	5.9238505	5.8850527	6.149468	5.246035	5.536844	6.224912	5.778058	5.9548326	5.976329	5.598619	5.390609	5.607645	6.3018746	6.272541	5.444004	5.5176296	5.885079	5.7573338	6.030979	5.7182517	5.963324	5.6669426	5.9518595	5.568818	6.2835593	6.172674	5.414987	5.9634023	5.8721323	5.9979987	5.1110473	6.1470075	5.592596	5.126309	5.9696035	5.9117594	5.878786	5.2145143	5.399867
CYP2J4_32580	5.5908422	5.155827	4.494753	3.8418446	5.337082	5.816578	4.8662076	4.5600543	4.560497	5.6068783	4.6890273	5.4573073	5.5167127	4.476096	5.1157255	4.4800982	5.0931315	4.7457223	5.2061815	4.855005	5.275932	4.708847	6.2980185	5.0462265	5.3876147	4.984295	5.4224877	7.060765	4.979849	5.629458	4.6873436	4.9072104	5.0336547	5.001751	5.208914	4.391308	4.787609	6.47249	5.32413	7.0550075	7.575894	4.9223433	4.7185583	4.848835	4.724913	7.392573	5.619891	5.3387294	4.3870535	6.27192	5.122574
CYP3A1_32809	10.383384	10.154865	9.927796	10.199027	10.302952	10.174156	9.903921	10.160788	9.620095	9.985975	9.525893	8.940258	9.878702	10.401793	9.806768	10.545125	10.201862	10.219422	9.698121	9.195432	9.759879	9.948507	10.204727	10.051763	9.60607	9.584945	10.368583	10.066916	10.342697	9.241571	10.041673	9.842182	10.0917845	10.476196	9.028202	10.089053	10.413379	10.601031	10.088592	10.531079	10.590137	9.739051	10.394407	9.592655	10.463499	10.883076	10.031697	9.979627	10.193952	9.915588	10.153773
CYP3A2_32374	15.17674	15.286948	14.354324	15.497905	15.240502	14.961511	14.774857	15.299688	14.229311	14.8165655	14.198808	14.045354	15.15413	15.655727	15.00721	15.291349	14.744588	14.386921	14.26594	13.379549	15.172243	15.205578	14.877219	15.523373	14.543391	14.894112	15.730466	14.890223	15.004991	14.603155	15.338715	14.119571	14.227404	15.209587	14.217828	15.511603	15.149277	15.045018	14.977936	15.048783	14.7558155	15.098401	15.276589	14.942496	15.564689	15.383797	15.222994	15.24165	14.962801	14.969226	14.913837
CYP3A23/3A1_33326	5.75113	5.818643	5.673574	5.9469924	6.144603	5.3023205	5.6256146	5.8448124	5.791102	5.1715	4.8997808	4.4266934	5.726485	5.902246	5.030861	6.180541	5.7380347	6.03502	5.158619	4.6590047	5.4967923	5.6403956	5.1910257	5.853724	5.14887	5.303049	5.9888926	5.8663917	5.9568067	5.2366967	6.041866	5.73751	6.0732465	6.24927	4.8420568	5.568818	6.093558	6.4302287	6.2329693	6.444111	6.7453218	5.7346654	5.9929557	5.4494114	6.191674	6.9116936	5.657097	5.7836275	5.8629417	5.019991	6.3394904
CYP4A1_33111	7.9151926	7.4810696	5.925305	5.7993145	5.694719	9.996271	7.909351	5.9732223	6.6620865	9.855245	9.097625	8.091222	6.2858696	6.07897	6.265446	5.768989	7.9690857	6.338905	6.8117304	6.4555206	6.559091	5.540965	10.107275	6.7387524	7.0845027	6.9497004	7.380392	11.133078	5.645643	6.633981	5.673144	5.5322757	5.413955	5.8037276	6.22975	5.227787	6.093558	9.958553	6.4739084	10.999423	10.772339	5.7632694	5.8258595	6.7251678	6.215393	11.140739	6.4227424	5.894137	5.5629745	10.108047	6.2254972
CYP4A2_32530	11.029867	9.257621	6.7176943	9.309679	8.87271	10.468653	7.4553747	6.754907	9.898279	8.174585	6.7161617	9.751993	9.368049	9.41788	10.9867525	9.209948	9.243079	7.368059	7.824471	8.903656	9.465071	8.444525	8.918781	9.509569	8.027161	10.243341	10.629676	10.418852	9.152503	10.15172	9.572297	8.270311	8.813165	7.0796037	8.318945	8.230165	7.267362	9.649935	9.500406	10.287245	9.425074	9.825514	9.2694025	8.771526	9.608628	10.8047285	9.90597	9.493727	8.47479	10.531697	7.619435
CYP4A2_8425	6.622615	4.6763773	2.1619017	4.392873	3.7147906	6.0753393	2.5603254	2.1911569	4.560497	2.719398	1.2341714	5.073909	4.7693586	4.8395705	6.5253515	3.834324	3.6114979	1.5083932	3.2296562	3.5884495	4.696318	3.4549482	5.0141287	4.848497	3.8488257	6.145386	5.8507323	6.373527	4.4651933	5.5100365	4.0746455	3.013425	3.7763257	1.2890483	2.9855762	3.320974	2.2317815	5.074023	3.9375708	5.3017626	4.532502	4.703648	4.819067	4.439678	4.8514056	5.461475	4.7384453	4.518974	3.2257414	5.9515357	2.5660443
CYP4A2_8426	6.233717	4.526692	1.6252826	4.392873	4.204518	6.171783	2.2245977	1.7560883	5.6762624	2.9263053	0.53686917	5.2298574	4.412865	4.728286	6.566133	4.3851724	4.55124	1.1570135	2.375796	4.432127	5.1657577	3.6310537	4.2066507	4.469871	3.1146789	5.4821253	5.9888926	5.4072967	4.253646	5.968379	4.8694844	3.4468794	3.534197	2.204507	3.6740885	2.6995428	0.0	4.7352557	4.7570624	5.0249915	4.320462	5.4998827	4.22728	3.8664052	4.586254	5.9467025	5.481552	4.809582	3.8576405	6.308916	2.4077895
CYP4A8_32747	4.873696	4.403265	5.0123625	3.1704433	4.9338927	3.522194	3.587535	3.1256318	3.7772083	2.4777672	1.8894439	3.5721645	4.452749	3.1364734	3.6116695	4.2116084	2.072621	5.4810195	5.058514	3.400333	3.5462768	3.7375457	4.3835616	2.9355001	3.4874642	4.4072366	4.299267	3.3441162	2.7213259	2.9173408	3.6878698	3.013425	3.0101936	4.305072	4.532649	3.1689827	3.8389206	3.119443	3.9375708	3.1752434	3.8990247	4.4100404	2.4416173	4.3960176	3.573486	2.7807593	2.4585013	4.518974	1.5499562	2.1194797	3.6655471
CYP4F4_32350	8.1884775	7.413371	6.5672135	7.1604505	7.1343703	7.841906	6.76507	7.0419827	7.704628	6.666013	6.524593	8.018213	8.422635	7.0374665	7.991721	6.093144	6.5043354	6.7794023	8.456079	7.465398	7.8740015	7.313157	8.096985	7.7961745	7.8940873	8.126657	7.8760624	8.535486	6.6804214	7.67377	7.40431	6.220675	6.8843737	7.0085926	7.532029	6.399832	6.7676067	7.1626396	7.4497423	7.295304	7.2072706	7.7467947	6.496387	7.60785	7.2174463	6.972921	7.602495	7.4326363	6.6710525	7.976724	7.038136
CYP51_8429	8.085289	7.9017086	6.9299273	7.6468387	6.659242	7.224924	6.8593802	7.5473857	7.4662066	6.7837253	7.5308733	8.077598	7.383639	6.915758	7.453727	6.4148498	6.9153943	7.141746	7.355968	7.495101	7.0448165	7.4209614	7.7098746	7.7764196	7.6174874	7.550978	7.592744	7.250755	6.668263	8.842856	7.1362214	6.9553757	7.136716	6.3420496	7.3542914	6.7336597	7.114091	6.3644214	7.9714923	6.7966256	6.5834355	7.8995585	6.631516	7.673322	6.167558	5.9618835	7.690363	7.2781677	7.185928	7.541744	7.4921074
CYR61_32555	3.6955848	2.257008	2.1619017	3.6250265	1.3312725	2.8894746	1.7862632	1.7560883	2.3886938	1.3353969	1.2341714	2.6150863	2.5302608	4.9092603	3.8283224	3.100898	1.0488179	2.5655518	2.375796	4.779769	3.4555352	2.7430372	4.3835616	3.4953887	2.7541187	2.7802737	3.9238462	3.7055392	1.1960433	2.6423824	3.07545	1.9373132	2.3879235	2.204507	2.3652024	1.5842559	1.9846656	3.6479805	3.1395056	2.4829574	4.365437	4.041002	1.8208362	3.1313937	2.0104735	3.5159345	3.9794827	1.6747757	2.4591324	3.174549	2.708643
CYTB_32443	6.659005	7.819601	7.757908	7.567902	7.941773	7.658505	7.8454933	7.9593453	7.714362	7.7501945	7.132408	6.737904	7.0612917	8.190821	6.905021	7.488584	7.172165	8.001213	6.551262	7.569584	6.086267	7.6289525	6.9871154	7.3381953	6.3478365	6.548634	6.7019353	6.406679	7.39217	6.451536	7.421085	8.515934	7.7469764	8.185754	6.4398417	7.747138	7.7658806	7.8482094	7.119106	8.027534	8.446922	6.676632	7.889894	6.223938	7.654846	8.2467	7.6447845	7.2507353	8.38056	6.773338	7.87521
DAAM1_32393	5.628032	5.155827	4.581067	4.923396	5.070358	5.944945	4.7723575	5.0226336	5.263986	4.665346	4.8997808	5.6537337	5.497773	5.1585584	5.4994187	4.5400805	4.925664	4.8416686	5.2968464	4.8178773	5.302209	5.0967493	6.071315	5.072385	5.8694773	5.899617	5.6054764	5.620121	4.5734663	5.1327214	5.1365104	3.1345942	4.9372616	4.547009	4.8764534	4.4908404	4.968852	5.742866	5.300493	5.2591662	5.2602787	5.279969	4.4937305	5.73874	4.586254	4.614036	5.6009226	5.7250276	4.247581	5.619805	5.1726503
DAB2_33094	4.0645385	4.268282	2.713711	3.77313	2.8206856	3.788687	3.2588525	3.6199527	4.4247885	3.9751415	2.4615827	4.1939507	3.8213115	3.7054071	4.2844353	3.3220272	2.072621	3.1690745	3.697336	4.7003927	3.8610783	3.180722	2.8119028	4.583367	3.7834342	3.595438	3.4996274	4.3754215	2.7213259	4.0644393	4.1164427	3.013425	2.3879235	3.6495402	4.080398	2.4585645	3.911607	3.8538375	4.721904	3.8847218	4.1764603	3.6083453	3.7038848	4.30452	2.8193185	3.142335	4.5924344	3.176305	2.2798173	3.4641607	4.5328317
DAG1_8435	1.8143951	2.053109	1.2570211	1.5853512	2.2602103	3.1950624	1.7862632	0.6730612	2.1797314	0.5924607	0.92724514	2.2764814	2.6721666	1.6441145	2.3107724	0.96157944	2.2451668	1.7907331	2.375796	1.6806879	1.6491554	1.5351875	0.68006337	1.1434783	2.2723026	1.2043949	3.0159018	2.5406258	1.8408495	2.3023815	1.9897953	1.6426728	1.2698381	1.2890483	1.9138626	1.8065978	1.6862907	1.8332981	2.9088483	2.6239195	3.3011763	2.0700042	1.1804214	1.8430203	2.2125611	2.476957	2.617958	1.9721766	1.8362379	2.3260906	1.7911546
DAK_8436	3.8293307	2.737684	1.2570211	3.1704433	2.472159	2.7713106	2.7028143	2.5249715	3.849662	1.59992	2.7783492	3.7198045	4.7693586	2.5752249	3.7596574	1.9419785	1.3803144	2.4073083	4.7082605	3.400333	3.3587008	1.9438806	3.7053368	3.7105362	4.1375628	4.057699	3.65531	4.0790167	2.6239645	4.0644393	2.9880874	2.3909085	1.9345882	1.9587818	2.7084813	2.4585645	2.7898166	2.7587066	3.3383183	2.6239195	1.5350422	3.0813484	2.0586884	3.8009534	1.7753943	2.7807593	3.2250526	3.176305	2.075009	2.6673462	2.2300112
DAO_8437	7.6962996	8.168167	8.453638	7.994934	8.326104	8.367376	7.8416476	8.152558	7.383208	8.224427	7.972724	7.9525523	8.36109	8.024133	8.692284	7.8172617	8.118049	8.742845	8.28943	8.104628	8.093009	7.861632	8.206921	8.232968	8.514033	7.9741044	7.67238	8.239125	8.635898	7.848049	7.4294	7.949551	7.8911777	8.47631	8.121578	8.078428	7.5265226	8.101474	7.607356	8.375405	8.079547	7.335186	7.950238	8.425667	8.013894	8.407806	7.1398835	8.336848	8.315108	7.4060497	7.268585
DAXX_8438	5.628032	5.4332905	3.897257	4.644416	4.6148157	5.7711186	5.0901866	4.8549566	5.594288	4.636182	4.068561	5.2298574	5.248683	4.7663426	5.5409293	3.100898	4.413313	4.4123907	5.501332	5.7920723	5.450551	4.512859	5.2378244	5.12332	5.513941	5.7149057	5.378467	5.1959877	4.436806	5.629458	5.272131	4.0500264	4.5157533	4.0142226	5.8166847	4.425254	3.7623768	4.929807	5.32413	5.074966	5.2362657	5.394112	4.4526014	5.790242	4.820807	4.4077783	5.37393	5.258363	3.980205	5.2145143	5.0968685
DBP_8439	4.169169	4.6403866	5.673574	3.9701722	4.14394	4.3384256	3.659207	4.091718	4.6443586	2.8265579	3.6691785	4.899036	8.763183	4.728286	5.343936	4.014271	3.4086447	3.8609118	5.058514	4.8912005	4.9164205	3.973751	3.8327506	4.754689	3.7149374	4.892242	4.5968914	5.9808826	4.74535	4.8008246	4.7942214	3.7034492	4.0465603	4.590883	3.8226066	3.9990063	4.2285304	3.8538375	4.4047375	4.1869826	4.609299	3.9443858	5.636843	4.523225	5.291575	4.575076	4.630346	4.423926	4.1979237	3.174549	3.5938473
DCK_8440	1.8143951	3.4698832	1.9183995	1.8748931	2.2602103	1.4584783	3.0613632	2.3676975	2.1797314	2.3398588	2.3383918	2.8891323	2.5302608	2.5752249	1.2144328	2.109709	2.6654315	1.1570135	2.675235	3.1839569	3.1430392	2.2619886	2.0039802	2.5451083	2.0677924	2.911122	2.462306	2.7617311	1.4443876	1.8567106	2.159341	2.1818647	2.8779507	2.597612	2.5470278	2.4585645	2.6266706	3.2220936	3.242334	2.7523265	3.7711594	2.2424579	2.2628205	2.7702174	2.2125611	2.0916321	2.8921008	2.4290519	2.6186037	0.7390483	2.708643
DCP1B_33178	2.8664734	4.711492	3.897257	3.77313	4.318538	2.6425977	3.8550549	4.1411605	4.047455	3.2679667	3.0379322	3.2219887	3.9383125	3.62484	3.1575243	3.735168	2.7821121	4.6069818	2.9230795	3.9731874	3.2548962	4.016682	2.5404441	3.8379865	3.4874642	3.4306927	3.2292056	3.273985	3.752821	4.1198797	3.79471	3.7797458	4.1647973	4.305072	3.3214288	3.753906	3.7623768	4.700118	3.6688373	4.0930934	4.7516193	3.840832	4.4102645	3.4200125	3.7133195	4.614036	3.791503	4.2126923	4.0931673	3.0634718	4.2358537
DCUN1D4_8444	3.9517226	4.0660863	3.8283436	4.143508	4.5694714	4.532545	3.659207	3.6199527	4.4247885	4.343196	4.0292673	3.6478724	4.2412953	4.5213094	4.016648	4.014271	3.7893128	3.9781444	4.1011696	4.855005	4.2866096	3.574707	4.058097	4.3889227	4.1889715	4.217966	4.041434	4.234818	4.0809665	3.6778624	4.1164427	3.4468794	4.1647973	4.305072	4.080398	3.642881	3.8389206	4.8991494	4.3597	4.8350415	4.717334	4.514691	3.3920732	3.7323904	3.840789	3.8779073	4.0370674	3.580566	4.0931673	3.9117455	3.4387813
DCXR_8445	7.2180147	7.579388	7.372578	7.3074007	7.5853148	7.31215	7.665757	7.3086114	7.0404058	7.3620915	7.339342	6.8859515	7.1907544	7.3819203	7.3407445	7.1223245	7.500631	7.3946652	7.0322866	7.6135783	6.8888345	7.110085	7.3053946	6.9858365	7.214232	7.18127	6.6097493	6.847952	7.3622937	6.778801	7.0032916	7.043122	7.7517076	7.33313	7.1087775	7.27041	7.5207253	7.985873	7.3087616	7.450075	7.65953	6.974487	7.052119	7.220526	7.615276	7.2202177	7.1332974	7.1724896	7.3986855	7.1310077	7.308327
DDB2_8446	4.117802	3.097608	3.111882	3.4599617	2.6569214	4.114065	1.153547	3.309873	3.243922	2.719398	2.6802902	3.8537283	3.759049	3.2482674	3.8938673	2.5203478	2.8900583	2.837896	3.7624195	3.6740434	3.9301062	2.2619886	3.6371455	3.5707264	3.9713368	3.8118882	3.4996274	4.4085307	2.8125298	4.414069	3.447053	1.9373132	3.1313257	3.5640745	3.5085077	2.905972	2.4426951	4.1940618	2.2945795	3.5731628	3.3011763	3.6083453	2.7439313	3.7323904	3.2451313	3.5959594	3.65103	3.288475	3.321599	3.2776825	3.9212723
DDIT3_8449	5.2527614	5.301219	4.916016	5.3344693	5.4909263	4.82722	4.706218	4.665197	5.2099624	4.4808006	3.3878083	5.1797247	5.1790576	5.6406174	5.343936	3.971344	4.5179744	5.1219983	4.978596	5.6723776	4.9829097	5.1166196	4.781215	5.515315	4.7978716	4.724427	4.299267	5.05673	4.520345	4.6952806	5.0528755	5.0980964	5.389877	4.9688754	5.667523	4.320921	5.328752	5.8747706	5.3702736	5.809545	5.7417493	4.9722033	5.0012403	4.848835	5.1010027	5.5645204	5.37393	4.9181933	4.554239	4.60985	5.5776534
DDX10_8452	5.344994	5.1039143	4.354751	5.2610955	5.416054	5.482351	4.954324	4.8549566	5.316059	4.269137	4.4421306	5.8903265	5.625408	5.1868963	5.390095	4.014271	4.9000707	5.4610167	5.4429708	5.152088	5.275932	4.6001325	5.066922	5.0462265	5.573184	5.563964	5.2377234	5.9474792	4.1171956	5.402364	5.601367	4.646986	4.722696	5.0653367	5.851684	4.168924	5.00252	5.1279006	5.6575656	5.6205697	5.4806943	5.0203977	4.4937305	5.5121055	4.724913	4.535035	5.693367	5.082807	4.807002	5.0782957	4.9322033
DDX18_8453	3.294242	3.6252677	2.9909706	2.3223944	3.223322	3.1002145	3.0613632	3.5484548	3.243922	3.189834	2.7783492	3.2219887	3.3996527	2.7372885	3.446748	3.178435	2.8900583	3.3539796	3.4029472	4.039196	3.9959817	2.5224707	3.1422062	3.7105362	2.7541187	2.7802737	2.8961248	3.273985	3.0559347	3.437199	3.8453023	3.7034492	2.3879235	2.9062183	3.7502577	2.3210802	2.4426951	3.8538375	2.9088483	3.1752434	4.492514	3.1694758	3.4765677	3.8664052	3.3344872	4.000593	3.7229755	2.4290519	2.2798173	2.8118143	2.4077895
DDX21_8454	4.8423924	4.6403866	3.8283436	4.605421	3.7957757	5.0209155	3.7926803	4.091718	5.263986	3.7211092	3.8604286	4.5891457	5.002205	4.476096	4.9406905	3.3887968	4.044227	3.5178556	5.182596	5.447765	5.221896	3.973751	4.9869895	4.3466787	5.14887	4.6514254	5.1618433	5.214828	3.8421152	4.7313266	4.741772	3.7797458	4.0465603	3.9482906	4.488855	3.458468	3.0694053	4.5103173	4.8249087	4.919528	3.8990247	4.9722033	4.366648	5.0023084	3.6450963	4.794461	4.8062587	4.518974	3.321599	4.98993	4.2358537
DDX39A_32661	3.9517226	4.0660863	4.1996894	4.8249907	3.628988	4.1618156	4.406396	5.0226336	4.761664	3.6644573	4.144076	4.700005	4.5293536	4.649022	4.1297936	3.881458	3.6732368	4.4123907	4.8041124	4.616394	4.4364834	4.3876204	4.058097	4.164128	4.7978716	4.613491	4.7077756	4.5926595	4.043804	4.5413523	4.446431	4.837524	3.9835975	3.8792007	4.6565795	4.0433984	4.580281	3.7884288	4.215484	4.973223	4.646217	4.514691	4.572631	4.67707	3.7784617	4.6519713	4.8062587	3.8959892	4.1464963	3.174549	4.1384206
DDX42_8455	5.128505	5.4332905	4.304893	5.235784	5.070358	5.3443136	5.0102134	5.148863	5.8274364	4.802931	4.317193	5.3927565	5.726485	5.2687173	4.971378	4.5691614	4.820448	4.570107	5.5936418	5.495572	5.1657577	5.3358874	5.3271003	5.6254225	5.7547436	5.641408	5.212871	5.1959877	4.9399505	5.530639	5.290505	4.7262454	4.9036446	5.3469877	5.54457	4.425254	4.787609	5.7079153	5.096006	5.5159087	4.817839	5.156013	4.851072	5.5721884	4.789545	5.50358	5.305279	5.439362	4.3870535	5.7510586	5.5207915
DECR1_8458	7.534335	8.116705	7.637186	7.627506	8.182905	8.052886	8.195089	7.744218	7.395361	9.062626	8.403713	7.1032424	6.6195083	7.8130903	7.0629616	7.972258	8.629117	8.300366	6.780648	7.767552	7.0448165	7.368066	8.267382	7.807899	6.6797585	6.2355576	7.317669	9.136548	7.951873	7.0525236	7.0632944	7.569073	7.878255	7.6610065	7.226787	7.5876603	7.726128	9.36453	7.492094	9.939034	9.6598215	7.231519	7.709619	6.751392	7.9375153	9.93137	7.4034033	7.8758273	7.708966	8.310487	7.9632006
DENND2D_8461	1.1754036	3.3854282	2.3701787	2.663456	1.7112163	0.6624132	2.8324869	1.4768263	1.9352914	1.3353969	2.3383918	1.5471903	1.7605959	2.1835182	1.2144328	1.5335042	2.8900583	1.7907331	2.375796	2.7828603	1.9443585	1.5351875	1.488839	2.6873035	2.0677924	1.5639434	2.462306	2.4159133	1.8408495	1.5686922	1.7976378	1.2719984	2.1789894	2.204507	2.157111	2.6995428	2.4426951	2.7587066	2.778033	3.0805616	2.7428484	2.887088	2.6006784	1.1977407	2.6898494	2.7807593	2.4585013	2.2186248	2.2798173	1.8782536	0.6917391
DEPTOR_32826	2.736285	3.200062	2.8589911	2.1159258	3.223322	2.7713106	2.8324869	2.7958763	2.3886938	3.3420844	2.7783492	2.2764814	2.5302608	1.9388802	2.3107724	2.7408507	3.4794793	3.5933034	1.9974787	2.9293032	3.1430392	2.1116846	2.8119028	2.6873035	2.6106799	2.091197	2.077968	3.2002692	3.2641406	2.786402	1.5758953	2.1818647	2.3879235	3.038847	2.7084813	2.8064463	1.6862907	4.1940618	2.9088483	2.4829574	3.2054758	2.5356345	2.7439313	2.6264875	2.5476058	4.1670337	2.8921008	3.0546732	2.762189	2.9431233	3.067424
DERA_8462	5.3224826	5.205937	5.3439584	4.891334	5.4663982	5.36486	5.165958	5.0996885	5.46187	5.1916866	5.102689	5.1539893	5.726485	5.294991	5.32029	5.1337223	5.977105	5.5394154	5.5574236	5.6723776	5.1657577	5.385866	5.390609	5.0980773	5.3654413	5.641408	5.378467	5.7158117	5.24837	5.3798304	5.4624186	5.127592	5.7146325	5.445866	5.54457	5.3208947	5.380885	5.7937536	5.3473864	5.936621	5.374692	5.430238	4.7185583	5.3152056	5.291575	5.544492	5.1311197	5.3899226	4.7391872	5.3626266	5.7850323
DFFA_8463	2.5931726	2.053109	1.9183995	1.8748931	1.3312725	2.5012665	2.0220141	1.4768263	1.9352914	0.5924607	1.8894439	1.8332136	2.372859	2.1835182	2.1047523	1.275699	1.0488179	2.0267587	1.7631619	1.9785899	1.2775879	1.9438806	2.3827975	2.9355001	2.2723026	2.7802737	2.282898	3.3441162	1.4443876	3.251095	2.4482956	0.0	1.9345882	1.6624343	2.157111	1.8065978	0.79861236	0.71446705	2.6341627	1.9519659	2.261813	2.2424579	2.0586884	2.7702174	1.7753943	2.6368403	2.074421	3.0546732	1.5499562	2.3260906	1.1573405
DFFB_8464	2.5931726	1.8155732	2.3701787	2.3223944	0.8140356	3.1950624	0.689121	1.4768263	3.243922	0.5924607	1.2341714	2.8891323	3.6939778	1.2732412	3.1575243	1.275699	1.8765994	1.7907331	3.2296562	2.6198554	3.1430392	1.7539579	3.0402825	2.38735	3.0042105	3.5154157	2.765496	2.9534101	1.8408495	2.9173408	2.159341	2.1818647	1.2698381	1.9587818	2.7084813	1.5842559	2.6266706	2.6151845	2.0891902	2.1514747	2.261813	3.4055345	1.1804214	3.3300724	2.6898494	1.8519349	1.8356827	2.9218345	1.8362379	2.506785	2.2300112
DHCR7_8466	6.0125084	5.050063	2.713711	3.9701722	4.204518	5.3234696	4.2293363	4.1889644	4.6845293	3.7211092	4.4421306	4.700005	4.737421	3.854183	5.1696496	4.0964723	4.178025	4.2352924	5.340128	3.9040134	3.7885811	4.138305	4.3835616	3.8379865	5.7547436	5.523625	5.586253	5.0774655	3.198022	5.2860026	3.07545	3.3501055	4.1647973	3.9482906	4.532649	3.9059012	4.3380756	4.1940618	4.791384	4.231731	4.2740407	4.4100404	2.4416173	5.1672235	4.349544	3.7438102	3.8569224	4.518974	3.7922184	5.265593	2.4077895
DHDDS_8467	4.9043345	3.5496664	2.8589911	3.4599617	3.7957757	4.3793955	3.2588525	3.309873	3.849662	2.1873605	3.617124	4.3380494	4.704761	3.352018	4.0743294	3.3887968	3.0843768	3.5178556	4.456222	4.102316	3.9301062	3.0212092	4.613897	3.8379865	4.8939457	4.6514254	4.201591	5.2334256	3.1287267	4.2744603	3.8453023	3.013425	3.4435291	3.1603029	4.2474017	3.320974	3.5048723	4.589258	3.8094523	3.8847218	3.4754093	3.7861276	3.63202	4.482056	3.2451313	4.860753	3.4107835	3.8959892	3.2257414	3.9744961	3.2650185
DHFR_32436	2.98588	4.779257	4.882416	4.1969485	3.7957757	3.522194	3.9722536	4.1889644	3.9844897	3.7756202	4.068561	3.6478724	3.3996527	4.279584	3.3566325	4.3851724	3.6732368	4.2352924	4.244742	4.740627	4.05898	3.574707	4.0049734	4.114638	3.5673409	3.5154157	2.621851	4.1974163	2.7213259	4.006783	3.5111294	4.7643	3.619502	5.268111	3.5085077	4.3565435	4.109979	3.6479805	4.3597	4.682209	5.2602787	3.8935378	4.126278	4.0466323	4.3917923	4.9241333	3.8569224	3.7468808	3.8576405	3.9744961	3.067424
DHRS3_8468	6.12084	6.148321	5.6337395	5.9625053	6.1290593	6.3575373	6.001509	5.859658	5.438569	5.3072114	5.6216946	5.6719823	6.0720534	5.814154	6.122378	5.6515374	5.503241	6.3498244	6.162596	5.651426	5.7468586	5.981123	6.018685	5.9272313	6.20531	6.118553	5.974179	5.675576	5.9568067	5.77471	5.673144	5.865568	5.963324	6.120481	5.607356	5.628318	6.3504543	6.4515142	5.881191	6.4153028	5.8084135	5.791318	5.580685	5.9943395	6.0271955	5.679182	5.9843163	5.9633703	6.1894636	5.6775246	6.1772523
