Chip: BioSpyder S1500_Rat
Provider: BioSpyder

=== Experiment Description ===
Experiment Type: In Vivo
Test Article: Perfluoro 3 Methoxypropanoic Acid
Species: Rat
Strain: Sprague-Dawley
Sex: Male
Organ: Liver
Chip File Creation Date: 10/31/24
Log Transformation: BASE2
BMDExpress3 Version: BMDExpress 3.20.119 BETA
Timestamp: 12/04/2025 07:38.05

Something	A36	A38	A20	A18	A33	A45	A44	A16	A15	A46	A41	A37	A30	A29	A8	A26	A40	A35	A1	A3	A12	A17	A42	A24	A4	A7	A11	A51	A32	A22	A2	A14	A39	A5	A6	A9	A31	A48	A21	A49	A47	A34	A13	A27	A28	A50	A25	A10	A23	A43	A19
ABCF3_7946	5.493443	4.8119817	4.1996894	4.644416	4.424204	5.5376925	4.364126	4.365758	5.263986	4.1910696	4.6376967	5.2542853	5.497773	4.5651484	5.695968	4.1358805	4.925664	4.712268	5.3821487	5.2389193	5.1073456	4.0988927	5.411172	4.722014	5.666818	5.5439353	4.9068465	5.4556193	4.378299	5.3798304	4.9640923	3.9212065	4.1068897	4.1376824	4.8420568	4.168924	4.488219	4.8678265	4.313212	4.863757	4.1250777	4.703648	3.7038848	4.6401196	4.4727483	4.535035	4.7727504	4.8828907	3.7922184	4.79509	4.570675
ABCG2_32656	3.6955848	3.9532623	3.5993342	4.605421	4.204518	4.532545	4.3205805	4.1411605	4.326662	4.269137	4.6890273	4.2436	3.3996527	4.6891985	5.3672004	3.252017	4.13479	4.370112	5.3612914	5.059695	5.249167	3.8838544	4.6831694	5.3752427	4.830612	4.4072366	5.025772	5.322979	3.3879275	5.610228	4.30899	3.4468794	4.3257575	4.305072	4.488855	4.522548	4.825725	4.8030634	5.4368343	5.3431377	5.2362657	4.817136	4.4937305	4.8808637	4.586254	5.126309	3.5753076	3.6661186	3.980205	4.0923586	4.77899
ABCG5_7947	4.3131304	2.257008	2.8589911	2.1159258	1.7112163	2.7713106	2.2245977	1.7560883	2.8787735	1.823375	1.8894439	1.1900772	3.4790516	2.7372885	3.7596574	3.3220272	1.8765994	2.7081409	3.8843899	2.7828603	2.7435865	2.7430372	2.8119028	2.9355001	4.238611	2.4764907	4.5968914	1.769436	2.8125298	3.6778624	1.7976378	2.8811386	2.8779507	3.7302246	2.157111	1.5842559	1.3096737	0.71446705	1.5622083	1.7203709	1.1797101	1.0470449	2.0586884	3.4200125	3.4981349	2.0916321	2.617958	2.2186248	2.8927681	2.6673462	2.708643
ABHD1_7949	3.6237552	2.737684	2.1619017	2.8078547	2.472159	3.3678806	2.0220141	2.7958763	1.9352914	2.9263053	3.0379322	3.8537283	2.919921	2.5752249	2.6512198	2.7408507	3.7893128	2.0267587	3.318902	1.6806879	2.3986237	2.841842	4.3413258	1.773262	3.7149374	4.00006	3.4149964	4.855332	2.284903	3.52196	2.895092	2.3909085	1.6401663	3.038847	3.3214288	2.1691005	2.2317815	4.2437115	2.6341627	4.891912	4.1250777	2.3964808	2.7439313	3.3300724	2.3897877	4.4514565	2.7615314	2.6126575	2.2798173	3.7052414	1.5087776
ABHD4_7950	2.4342844	1.8155732	1.2570211	1.8748931	0.0	2.6425977	0.689121	1.1302094	3.243922	2.0168164	0.0	2.455695	3.2264056	2.3926249	3.3566325	1.275699	1.3803144	1.1570135	3.318902	3.1839569	1.9443585	2.2619886	2.8119028	2.008209	3.0042105	2.2966683	1.1946218	2.8607516	0.8958736	2.786402	1.9897953	1.2719984	2.3879235	1.2890483	2.5470278	1.8065978	1.3096737	1.8332981	1.5622083	0.6542548	0.0	2.0700042	0.0	2.4668374	1.4944088	0.72461534	2.074421	2.4290519	2.4591324	2.9431233	3.067424
ABHD6_7951	2.2557068	2.053109	1.6252826	1.5853512	2.967741	2.6425977	2.8324869	2.1911569	2.3886938	2.4777672	2.956486	2.455695	1.7605959	2.1835182	2.1047523	2.6348078	2.6654315	1.7907331	1.7631619	3.0622413	1.2775879	2.9343114	2.3827975	2.38735	2.0677924	2.2966683	1.8390311	3.1225834	1.4443876	2.0966876	1.9897953	3.1345942	2.1789894	2.204507	2.157111	1.9992051	3.5959105	3.6479805	2.778033	3.4268885	3.4754093	2.0700042	2.2628205	2.0821931	2.3897877	3.2451882	2.617958	2.2186248	2.2798173	2.506785	1.7911546
ABL1_7952	3.548161	2.053109	1.2570211	2.3223944	1.7112163	3.661585	0.689121	1.9899611	2.8787735	1.0112327	1.4871172	3.1193392	3.315628	1.2732412	2.6512198	1.275699	1.6496927	0.6915133	3.6291769	3.6740434	3.2548962	1.2772086	3.4902585	3.0452297	3.9113815	4.217966	3.1264923	2.8607516	0.5163865	3.1481903	2.6889215	1.2719984	2.1789894	2.7601511	3.1064248	0.58460927	1.9846656	1.8332981	1.8496284	0.6542548	2.0577211	3.0813484	1.1804214	2.9009168	0.6833182	2.911615	3.011828	2.7755125	1.1924393	3.174549	2.027206
ACAA1A_7954	7.5046477	6.13545	5.368437	5.850239	6.437425	8.57562	6.0556335	6.1160746	6.1903405	8.161851	7.5343857	6.592201	6.671139	6.07897	6.780584	5.3163295	6.4699574	6.542978	6.560441	6.0379024	6.243697	5.8916993	8.6917925	5.838562	7.1113987	6.918927	6.674893	10.016802	5.488565	7.135569	5.9865913	5.417558	6.042685	5.2948856	6.5504937	5.6994	5.616557	9.912287	6.4200845	10.546106	9.722745	6.2910557	5.1110473	6.960675	5.763224	9.889309	5.9843163	6.770473	6.111148	8.884773	5.5207915
ACAA2_7955	11.843179	12.376377	12.234042	12.015184	12.48053	12.2908	11.936086	12.203045	12.1480465	13.068221	12.58165	11.635161	10.901094	12.1463785	12.063417	12.170496	11.890224	12.549438	11.247174	12.059763	11.906732	12.171138	11.981008	11.5557995	11.582925	11.105575	11.676284	12.788792	11.534627	11.23665	11.53737	12.244629	11.7344055	12.180204	11.467678	12.250127	12.086903	13.429126	11.548984	14.069509	13.474528	11.318075	12.059852	11.657176	12.077609	13.956989	11.52337	11.872591	11.902467	12.258358	12.338737
ACACA_32532	6.711925	6.055713	5.1876664	6.109099	5.0374327	6.9400506	5.0102134	5.433164	6.867979	5.109188	5.807358	7.4850183	8.13462	5.294991	7.57358	4.2835584	5.3223767	5.4407325	7.697093	6.5491133	6.973027	5.981123	7.359301	6.929708	7.7258873	7.4947023	7.311829	7.4665627	5.24837	7.3935223	6.378858	4.801377	4.722696	5.8037276	7.3358693	4.7269006	5.928219	5.981055	6.8527384	6.672274	5.7417493	6.924707	4.9130273	7.6456256	4.7575912	5.4826813	7.5735974	6.6910577	5.183811	6.8589854	5.923084
ACADL_32776	4.709909	4.6403866	3.111882	3.3697603	4.0807066	5.0209155	3.512115	4.235235	4.4714575	4.343196	3.7194197	4.5502152	4.737421	3.854183	4.424094	3.735168	4.090219	3.7333038	5.2293878	3.9040134	4.5722427	3.9295027	4.9869895	5.0980773	5.14887	4.4933076	5.187583	5.5770845	3.2641406	4.6203685	4.196571	2.7354863	2.570392	3.6495402	4.1938534	3.1689827	2.9363732	5.278421	4.3597	5.050195	4.9418035	4.2167525	3.7038848	4.9428635	4.1174774	4.9548087	3.9195037	3.965136	3.7922184	4.6488495	4.1384206
ACADM_7957	10.002068	8.802222	8.091427	8.664733	8.683501	10.11398	8.606631	8.554971	8.8696165	8.67696	8.344917	9.691784	9.811269	8.609865	9.630517	8.015158	8.6938505	8.583141	9.76813	8.925636	9.689454	8.34907	10.033758	9.1189165	10.033591	9.667099	9.5392	10.366103	8.307839	9.551097	8.819298	8.060761	8.4231205	8.431768	8.943539	8.213263	8.407938	9.558479	8.752625	9.756802	9.431697	9.053874	8.11746	9.662264	8.500141	9.668823	9.07835	8.974781	8.267759	10.086902	8.816129
ACADSB_7959	5.940423	6.6056986	6.363101	5.8994265	6.2051535	6.4079103	6.2653866	5.9732223	6.1903405	5.952752	5.660788	6.1335855	6.274787	5.985267	6.3727903	5.6515374	6.3709626	6.7549667	6.1746016	6.4063444	6.071065	6.3349786	6.464676	6.3145776	5.885148	6.0204997	5.8667536	6.127289	5.5692406	5.8256187	6.0951004	5.698733	6.4561114	6.499964	6.0901766	6.128238	6.1396775	6.3866925	6.2577295	6.424969	6.0752954	5.9111943	5.8258595	6.173109	6.6918845	6.2361183	5.878028	6.9770937	5.7977653	6.1548753	6.088735
ACADVL_7960	9.533395	8.103547	7.390617	7.8057866	7.896589	9.266266	7.4753685	7.691259	8.332229	7.7937665	7.7879057	9.071492	9.169931	7.835639	9.230032	7.3149014	7.789076	7.9872947	9.15399	8.744587	8.960269	7.748387	9.222041	8.480139	9.438294	9.371415	9.116877	9.984229	7.64263	9.254014	8.378736	7.278268	7.5600185	7.6192446	8.538904	7.5688014	7.5720816	8.376488	7.9974513	8.865282	8.591167	8.641187	7.3663454	8.981803	7.560768	8.656668	8.278975	8.2837	7.387654	9.155786	7.8407784
ACAT2_7961	5.3224826	4.8752856	3.5993342	4.605421	4.014574	3.661585	3.587535	4.794435	4.6443586	3.3420844	4.0292673	4.2915974	4.704761	4.052019	4.8445063	4.318231	3.7893128	4.086562	4.834698	4.102316	4.4831705	4.138305	4.2066507	4.6192975	5.1746025	4.3621955	4.7077756	4.341534	3.5019276	5.9378533	3.6878698	4.223962	4.22047	4.251405	4.2990336	3.753906	4.8628597	3.6479805	4.791384	4.231731	4.881152	4.335803	4.4526014	4.6401196	4.166973	4.268201	4.386319	3.965136	5.0502715	4.6488495	4.712838
ACD_7963	2.8664734	2.737684	2.552146	3.77313	2.967741	2.9986892	3.0613632	2.3676975	3.3476372	2.719398	2.8701653	2.6150863	2.1961572	2.8829715	2.4910152	2.8396301	2.5384767	2.2295449	2.8044732	3.831355	2.581391	2.7430372	3.1422062	3.0452297	2.451389	2.7802737	2.765496	1.769436	2.6239645	2.482375	3.1578226	2.3909085	2.570392	0.7839461	2.853671	2.1691005	2.7898166	3.0089254	2.4743395	3.1752434	4.226075	2.2424579	1.5358759	3.0207527	2.2125611	3.5159345	2.617958	2.9218345	3.411482	2.506785	2.5660443
ACLY_7965	7.6563563	8.371207	7.591129	8.138426	6.015299	8.033765	7.833925	8.632651	9.176476	6.91701	8.871908	9.261222	9.238563	6.2896256	8.887943	7.0673313	8.005545	7.851757	8.906537	7.937282	8.500118	7.890772	8.503541	8.027701	8.486047	9.020984	8.425567	8.633263	7.023593	9.338237	8.188548	7.5198693	7.114847	7.9407644	8.528126	7.4040875	8.671311	7.9110203	8.924838	9.194031	8.155135	8.852285	7.5771604	8.780044	6.3500595	7.989562	8.801382	8.252921	7.872201	8.17009	7.844645
